"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.808294949E1
4.687500000E1	7.033871253E0
7.031250000E1	3.279124364E1
9.375000000E1	1.876025221E1
1.171875000E2	1.503005940E1
1.406250000E2	3.194027498E1
1.640625000E2	7.424041062E0
1.875000000E2	7.086415639E0
2.109375000E2	3.739262186E0
2.343750000E2	5.525167228E0
2.578125000E2	5.687316507E0
2.812500000E2	4.916663879E0
3.046875000E2	1.638004725E0
3.281250000E2	4.820139306E0
3.515625000E2	2.514898282E0
3.750000000E2	2.940280639E0
3.984375000E2	2.481992643E0
4.218750000E2	1.703918271E0
4.453125000E2	2.784994459E0
4.687500000E2	7.640768017E0
4.921875000E2	1.257212683E0
5.156250000E2	1.075345441E0
5.390625000E2	1.437639665E0
5.625000000E2	3.817516174E0
5.859375000E2	4.429762473E0
6.093750000E2	3.269960283E0
6.328125000E2	4.542306300E-1
6.562500000E2	3.742569083E-1
6.796875000E2	1.191085699E1
7.031250000E2	3.778638423E0
7.265625000E2	1.781095263E0
7.500000000E2	2.941192407E0
7.734375000E2	1.983423308E0
7.968750000E2	8.248971132E-1
8.203125000E2	3.854064331E0
8.437500000E2	9.996582819E0
8.671875000E2	4.751854862E0
8.906250000E2	3.360335116E0
9.140625000E2	2.929766383E0
9.375000000E2	4.846625492E0
9.609375000E2	2.724710086E0
9.843750000E2	3.526734923E0
1.007812500E3	3.708777968E0
1.031250000E3	1.010999566E0
1.054687500E3	3.572575618E0
1.078125000E3	6.894156126E0
1.101562500E3	2.543229820E0
1.125000000E3	1.865933028E0
1.148437500E3	4.403376505E0
1.171875000E3	5.852857468E0
1.195312500E3	1.278385373E0
1.218750000E3	6.941418336E0
1.242187500E3	1.199828713E0
1.265625000E3	3.853053704E0
1.289062500E3	2.083185855E0
1.312500000E3	3.305731576E-1
1.335937500E3	2.372301178E0
1.359375000E3	3.863664223E0
1.382812500E3	1.957522511E0
1.406250000E3	3.211273539E0
1.429687500E3	2.757666387E0
1.453125000E3	1.778148636E0
1.476562500E3	5.392046155E-1
1.500000000E3	2.379544750E0
1.523437500E3	8.753042758E-1
1.546875000E3	1.353118441E0
1.570312500E3	7.579043543E-1
1.593750000E3	1.377223532E0
1.617187500E3	1.918454948E0
1.640625000E3	9.569073231E-1
1.664062500E3	2.882459131E0
1.687500000E3	7.340210742E-1
1.710937500E3	5.279283802E0
1.734375000E3	1.900936864E0
1.757812500E3	1.205882652E0
1.781250000E3	2.574170303E0
1.804687500E3	1.668854591E0
1.828125000E3	7.478569383E0
1.851562500E3	5.360629933E0
1.875000000E3	5.126601577E0
1.898437500E3	1.640174514E0
1.921875000E3	6.107213988E-1
1.945312500E3	1.745208887E0
1.968750000E3	1.778900020E0
1.992187500E3	1.831236452E0
2.015625000E3	3.734272903E0
2.039062500E3	1.580784545E0
2.062500000E3	4.944214846E0
2.085937500E3	2.520986797E0
2.109375000E3	3.028295816E0
2.132812500E3	5.014737280E-1
2.156250000E3	6.047031566E0
2.179687500E3	4.178797961E0
2.203125000E3	1.134298465E0
2.226562500E3	1.514763258E0
2.250000000E3	3.072356485E0
2.273437500E3	4.917276907E-1
2.296875000E3	1.911166587E0
2.320312500E3	8.949648906E-1
2.343750000E3	1.023073629E0
2.367187500E3	1.155223659E0
2.390625000E3	3.548731413E-1
2.414062500E3	1.341514923E0
2.437500000E3	2.615220689E0
2.460937500E3	9.124574868E-1
2.484375000E3	1.475941087E0
2.507812500E3	5.721524783E-1
2.531250000E3	1.371355986E0
2.554687500E3	1.846523059E0
2.578125000E3	1.945590950E0
2.601562500E3	1.231646847E0
2.625000000E3	1.946482690E0
2.648437500E3	1.118656970E0
2.671875000E3	1.901686247E0
2.695312500E3	1.613571328E0
2.718750000E3	7.979983088E-1
2.742187500E3	1.694972452E0
2.765625000E3	8.986675315E-1
2.789062500E3	1.078006546E0
2.812500000E3	6.449769410E-1
2.835937500E3	9.523676655E-1
2.859375000E3	9.832538845E-1
2.882812500E3	9.717614204E-1
2.906250000E3	1.383991143E0
2.929687500E3	1.073895882E0
2.953125000E3	5.494380793E-1
2.976562500E3	1.429373493E0
3.000000000E3	9.923908623E-1
3.023437500E3	1.041037328E0
3.046875000E3	1.727885100E0
3.070312500E3	2.555384271E0
3.093750000E3	1.326051107E0
3.117187500E3	1.120771749E0
3.140625000E3	5.907697034E-1
3.164062500E3	1.479074016E0
3.187500000E3	5.398073658E-1
3.210937500E3	1.103483094E0
3.234375000E3	1.119662019E0
3.257812500E3	5.866262226E-1
3.281250000E3	1.041193923E0
3.304687500E3	2.390820455E0
3.328125000E3	8.275109252E-1
3.351562500E3	9.045725784E-1
3.375000000E3	9.764481710E-1
3.398437500E3	1.829005216E-1
3.421875000E3	1.167972794E0
3.445312500E3	1.421501180E0
3.468750000E3	1.228001212E0
3.492187500E3	2.298690949E0
3.515625000E3	2.898356556E-1
3.539062500E3	1.796461529E0
3.562500000E3	3.954851592E-1
3.585937500E3	1.691273070E0
3.609375000E3	1.220273800E0
3.632812500E3	8.919552814E-1
3.656250000E3	3.612630799E-1
3.679687500E3	2.399999041E0
3.703125000E3	1.745547368E0
3.726562500E3	1.580749516E0
3.750000000E3	7.332782656E-1
3.773437500E3	2.629897866E0
3.796875000E3	5.040894601E-1
3.820312500E3	8.370870578E-1
3.843750000E3	1.123922857E0
3.867187500E3	1.085635877E0
3.890625000E3	8.334098799E-1
3.914062500E3	7.602690904E-1
3.937500000E3	7.895303039E-1
3.960937500E3	6.823970131E-1
3.984375000E3	9.980493036E-1
4.007812500E3	9.886463936E-1
4.031250000E3	8.335704590E-1
4.054687500E3	1.296845301E0
4.078125000E3	6.192515908E-1
4.101562500E3	8.068877971E-1
4.125000000E3	9.412427999E-1
4.148437500E3	1.747950830E0
4.171875000E3	4.058211884E-1
4.195312500E3	1.009770716E0
4.218750000E3	6.954648423E-1
4.242187500E3	5.332244993E-1
4.265625000E3	1.382562531E0
4.289062500E3	1.270623132E0
4.312500000E3	8.760082205E-1
4.335937500E3	7.521885729E-1
4.359375000E3	9.819941736E-1
4.382812500E3	1.116398426E0
4.406250000E3	1.016578515E0
4.429687500E3	1.289754949E0
4.453125000E3	1.513322481E0
4.476562500E3	4.378547228E-1
4.500000000E3	1.350763280E0
4.523437500E3	4.755519557E-1
4.546875000E3	1.218689780E-1
4.570312500E3	1.681267465E0
4.593750000E3	7.813817716E-1
4.617187500E3	3.114563610E-1
4.640625000E3	1.248283549E0
4.664062500E3	1.711495493E0
4.687500000E3	1.918852986E0
4.710937500E3	6.688999080E-1
4.734375000E3	6.362098149E-1
4.757812500E3	1.284963173E0
4.781250000E3	1.215613087E0
4.804687500E3	1.500877807E0
4.828125000E3	1.266579726E0
4.851562500E3	1.195236757E0
4.875000000E3	7.569405959E-1
4.898437500E3	1.000624631E0
4.921875000E3	1.365526401E0
4.945312500E3	9.932549808E-1
4.968750000E3	1.579106816E0
4.992187500E3	7.084742971E-1
5.015625000E3	1.103295152E0
5.039062500E3	1.227492959E0
5.062500000E3	1.869599262E0
5.085937500E3	9.666155203E-1
5.109375000E3	1.197182941E0
5.132812500E3	6.132892029E-1
5.156250000E3	3.567083822E-1
5.179687500E3	1.196160270E0
5.203125000E3	9.350623507E-1
5.226562500E3	4.385916140E-1
5.250000000E3	7.506210429E-1
5.273437500E3	5.501040436E-1
5.296875000E3	2.088181299E0
5.320312500E3	6.389936080E-1
5.343750000E3	4.361717025E-1
5.367187500E3	7.570058983E-1
5.390625000E3	7.344904623E-1
5.414062500E3	4.480102280E-1
5.437500000E3	7.067864777E-1
5.460937500E3	8.432496849E-1
5.484375000E3	3.924871834E-1
5.507812500E3	7.695571560E-1
5.531250000E3	2.687958427E-1
5.554687500E3	8.461349670E-1
5.578125000E3	1.625471760E0
5.601562500E3	1.121818823E0
5.625000000E3	5.794801328E-1
5.648437500E3	4.240836186E-1
5.671875000E3	8.247752287E-1
5.695312500E3	9.420867763E-1
5.718750000E3	3.119170107E-1
5.742187500E3	1.176608833E-1
5.765625000E3	1.195467913E0
5.789062500E3	7.806775945E-1
5.812500000E3	4.838607000E-1
5.835937500E3	4.109296800E-1
5.859375000E3	7.224982997E-1
5.882812500E3	4.467399087E-1
5.906250000E3	5.730102928E-1
5.929687500E3	1.184314410E0
5.953125000E3	7.926256779E-1
5.976562500E3	1.070085146E-1
6.000000000E3	3.037960488E-1
6.023437500E3	2.193925826E-1
6.046875000E3	3.844408977E-1
6.070312500E3	3.634860932E-1
6.093750000E3	3.848805215E-1
6.117187500E3	6.869272328E-1
6.140625000E3	2.250286873E-1
6.164062500E3	4.886903872E-1
6.187500000E3	4.649341959E-1
6.210937500E3	6.656179977E-1
6.234375000E3	2.272052002E-1
6.257812500E3	4.715466125E-1
6.281250000E3	4.417054313E-1
6.304687500E3	1.294463143E-1
6.328125000E3	8.751165292E-1
6.351562500E3	6.756592104E-1
6.375000000E3	6.462298651E-1
6.398437500E3	2.560141492E-1
6.421875000E3	4.265556324E-1
6.445312500E3	2.553164861E-1
6.468750000E3	6.196194600E-1
6.492187500E3	4.598456968E-1
6.515625000E3	7.104385775E-1
6.539062500E3	2.081740972E-1
6.562500000E3	3.604759009E-1
6.585937500E3	1.025860397E-1
6.609375000E3	6.962064849E-1
6.632812500E3	6.322857308E-1
6.656250000E3	3.960492690E-1
6.679687500E3	2.340288746E-1
6.703125000E3	3.801226016E-1
6.726562500E3	6.786145798E-1
6.750000000E3	1.266612021E-1
6.773437500E3	5.322650394E-1
6.796875000E3	6.528048852E-1
6.820312500E3	5.988444086E-1
6.843750000E3	5.951232790E-1
6.867187500E3	8.965577210E-2
6.890625000E3	1.430495092E-1
6.914062500E3	2.344133529E-1
6.937500000E3	6.365871411E-1
6.960937500E3	6.430010279E-1
6.984375000E3	6.632567947E-1
7.007812500E3	5.226261200E-1
7.031250000E3	2.497591184E-1
7.054687500E3	1.247757518E-1
7.078125000E3	4.938330651E-1
7.101562500E3	3.057314984E-1
7.125000000E3	2.553518477E-1
7.148437500E3	1.609128596E-1
7.171875000E3	4.877935536E-1
7.195312500E3	3.454451811E-1
7.218750000E3	8.346276373E-2
7.242187500E3	1.976580960E-1
7.265625000E3	7.487895623E-1
7.289062500E3	3.782626590E-1
7.312500000E3	2.666190521E-1
7.335937500E3	3.443367132E-1
7.359375000E3	6.625830518E-1
7.382812500E3	8.604117529E-2
7.406250000E3	1.897628699E-1
7.429687500E3	3.699409537E-1
7.453125000E3	3.359728214E-1
7.476562500E3	2.817563715E-1
7.500000000E3	4.212035607E-2
7.523437500E3	2.421908087E-1
7.546875000E3	8.400390139E-2
7.570312500E3	1.061961435E-1
7.593750000E3	1.335800563E-1
7.617187500E3	6.489132011E-1
7.640625000E3	8.387108807E-2
7.664062500E3	1.591674317E-1
