"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	2.718892918E-2
4.687500000E1	1.045005850E-1
7.031250000E1	1.231768640E-1
9.375000000E1	4.402758918E-2
1.171875000E2	3.329415296E-2
1.406250000E2	3.691597672E-2
1.640625000E2	1.452361370E-2
1.875000000E2	5.144633382E-2
2.109375000E2	3.422165885E-2
2.343750000E2	3.021269901E-2
2.578125000E2	4.565586796E-2
2.812500000E2	4.561799168E-2
3.046875000E2	1.837906658E-2
3.281250000E2	2.048593331E-2
3.515625000E2	3.643014639E-2
3.750000000E2	4.333402734E-2
3.984375000E2	3.370805721E-2
4.218750000E2	2.461291172E-2
4.453125000E2	2.122674280E-2
4.687500000E2	2.658774723E-2
4.921875000E2	6.168595340E-3
5.156250000E2	2.083363307E-2
5.390625000E2	1.687380453E-2
5.625000000E2	2.105469660E-2
5.859375000E2	2.233754755E-2
6.093750000E2	3.583698535E-3
6.328125000E2	1.854469833E-2
6.562500000E2	8.960951978E-3
6.796875000E2	2.206362462E-2
7.031250000E2	1.651831091E-2
7.265625000E2	1.001859468E-2
7.500000000E2	2.078180159E-3
7.734375000E2	8.310147245E-3
7.968750000E2	6.397266405E-3
8.203125000E2	1.523634590E-2
8.437500000E2	1.311126448E-2
8.671875000E2	1.898836782E-2
8.906250000E2	1.639335434E-2
9.140625000E2	1.069674266E-2
9.375000000E2	1.062971271E-2
9.609375000E2	1.720599134E-2
9.843750000E2	8.419297800E-3
1.007812500E3	1.964616415E-2
1.031250000E3	1.190780220E-2
1.054687500E3	7.186541880E-3
1.078125000E3	1.447212457E-2
1.101562500E3	2.143070236E-2
1.125000000E3	8.979569675E-3
1.148437500E3	1.992593440E-2
1.171875000E3	9.622882321E-3
1.195312500E3	1.243677479E-2
1.218750000E3	1.087121939E-2
1.242187500E3	1.162070967E-2
1.265625000E3	2.185388364E-2
1.289062500E3	1.654161477E-2
1.312500000E3	5.538086092E-3
1.335937500E3	1.500911923E-3
1.359375000E3	1.221994651E-2
1.382812500E3	4.910339165E-3
