"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	3.117921048E-1
4.687500000E1	5.958359582E-1
7.031250000E1	8.331734436E-1
9.375000000E1	3.268602670E0
1.171875000E2	3.907876966E-1
1.406250000E2	1.129034736E0
1.640625000E2	9.538546832E-1
1.875000000E2	5.422174370E-1
2.109375000E2	6.351252910E-1
2.343750000E2	3.666802404E0
2.578125000E2	7.918490831E-1
2.812500000E2	3.902920883E-1
3.046875000E2	4.351002054E-1
3.281250000E2	8.876880122E-1
3.515625000E2	1.352189951E-1
3.750000000E2	6.666445793E-1
3.984375000E2	9.417815450E-1
4.218750000E2	4.951009588E-1
4.453125000E2	1.065255113E0
4.687500000E2	2.458763043E0
4.921875000E2	1.215839325E0
5.156250000E2	3.199802274E-1
5.390625000E2	1.082542363E0
5.625000000E2	7.677557322E-1
5.859375000E2	1.329151880E0
6.093750000E2	6.641019136E-1
6.328125000E2	1.428906139E0
6.562500000E2	5.292670704E-1
6.796875000E2	1.536193030E0
7.031250000E2	5.001100753E-1
7.265625000E2	3.817244175E-1
7.500000000E2	7.663600846E-1
7.734375000E2	1.769784358E-1
7.968750000E2	7.660794269E-1
8.203125000E2	8.905638791E-1
8.437500000E2	4.751095976E-1
8.671875000E2	4.770988473E-1
8.906250000E2	7.168495936E-1
9.140625000E2	5.919084387E-1
9.375000000E2	4.379608721E0
9.609375000E2	2.127198368E0
9.843750000E2	7.713905545E-1
1.007812500E3	1.280022094E0
1.031250000E3	1.277274375E0
1.054687500E3	6.472342553E-1
1.078125000E3	5.623264611E-1
1.101562500E3	1.848551202E0
1.125000000E3	1.367373031E0
1.148437500E3	1.145130218E0
1.171875000E3	5.696346148E-1
1.195312500E3	2.734124652E-1
1.218750000E3	8.965400070E-1
1.242187500E3	6.144121132E-1
1.265625000E3	1.446048915E0
1.289062500E3	4.018644864E-1
1.312500000E3	1.257379490E0
1.335937500E3	9.994770078E-1
1.359375000E3	7.665876271E-1
1.382812500E3	8.040145739E-1
1.406250000E3	9.483050297E-1
1.429687500E3	4.343892260E-1
1.453125000E3	1.943105109E0
1.476562500E3	1.115803923E0
1.500000000E3	1.650356482E0
1.523437500E3	1.050465421E0
1.546875000E3	1.346201554E0
1.570312500E3	4.338901088E-1
1.593750000E3	1.638417308E0
1.617187500E3	4.351360081E0
1.640625000E3	1.491897790E0
1.664062500E3	6.509358707E0
1.687500000E3	7.575953237E-1
1.710937500E3	4.411209361E0
1.734375000E3	2.551881521E0
1.757812500E3	4.678209577E0
1.781250000E3	3.216056603E0
1.804687500E3	1.453361277E0
1.828125000E3	2.144941607E0
1.851562500E3	2.228887792E0
1.875000000E3	7.228111397E-1
1.898437500E3	6.001732791E-1
1.921875000E3	1.252707141E0
1.945312500E3	1.342913377E0
1.968750000E3	1.044739407E0
1.992187500E3	5.032587910E-1
2.015625000E3	3.693506871E-1
2.039062500E3	4.390875380E-1
2.062500000E3	9.178153310E-1
2.085937500E3	5.762451709E-1
2.109375000E3	3.753799114E-1
2.132812500E3	7.019566267E-1
2.156250000E3	4.514777169E-1
2.179687500E3	6.837089190E-1
2.203125000E3	7.328486833E-1
2.226562500E3	2.727000004E-1
2.250000000E3	1.128645771E-1
2.273437500E3	5.790345218E-1
2.296875000E3	3.420172125E-1
2.320312500E3	7.788506193E-1
2.343750000E3	8.222977588E-1
2.367187500E3	1.294508260E-1
2.390625000E3	1.278097464E-1
2.414062500E3	7.185382030E-1
2.437500000E3	6.674438466E-2
2.460937500E3	7.470087372E-1
2.484375000E3	7.728650722E-1
2.507812500E3	3.478567351E-1
2.531250000E3	5.301990107E-1
2.554687500E3	5.465021587E-1
2.578125000E3	5.132505131E-1
2.601562500E3	7.397119173E-1
2.625000000E3	3.149763842E-1
2.648437500E3	3.053441121E-1
2.671875000E3	1.055018870E0
2.695312500E3	5.865420696E-1
2.718750000E3	4.649068523E-1
2.742187500E3	5.893229176E-1
2.765625000E3	5.350917522E-1
2.789062500E3	1.451393662E0
2.812500000E3	1.250291148E0
