"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	3.504972240E-1
4.687500000E1	1.239457528E0
7.031250000E1	3.364461888E0
9.375000000E1	2.438919010E0
1.171875000E2	1.633166755E0
1.406250000E2	2.461646262E-1
1.640625000E2	5.609240817E-1
1.875000000E2	4.212856570E-1
2.109375000E2	6.883284890E-1
2.343750000E2	2.325382512E0
2.578125000E2	5.075673377E-1
2.812500000E2	3.464875807E-1
3.046875000E2	2.853416252E-1
3.281250000E2	5.632601800E-2
3.515625000E2	4.544481285E-1
3.750000000E2	4.878204574E-1
3.984375000E2	1.728037848E-1
4.218750000E2	9.506554065E-2
4.453125000E2	1.009681377E-1
4.687500000E2	7.611622564E-1
4.921875000E2	5.440239364E-1
5.156250000E2	1.066946563E-1
5.390625000E2	1.674365452E-1
5.625000000E2	6.634095617E-2
5.859375000E2	1.902044136E-1
6.093750000E2	4.380520162E-1
6.328125000E2	1.176142884E-1
6.562500000E2	6.701726980E-2
6.796875000E2	7.017126953E-2
7.031250000E2	1.441973950E-1
7.265625000E2	1.873873673E-1
7.500000000E2	1.394624303E-1
7.734375000E2	1.895548402E-1
7.968750000E2	2.680773608E-1
8.203125000E2	1.166343835E-1
8.437500000E2	1.450597802E-1
8.671875000E2	6.153654882E-2
8.906250000E2	3.019105882E-1
9.140625000E2	3.930853986E-2
9.375000000E2	1.843940626E-1
9.609375000E2	2.244098000E-1
9.843750000E2	1.896671529E-1
1.007812500E3	1.774647182E-1
1.031250000E3	3.021932008E-2
1.054687500E3	1.483741339E-1
1.078125000E3	6.137090229E-2
1.101562500E3	2.337484483E-1
1.125000000E3	3.241803369E-2
1.148437500E3	2.447330196E-1
1.171875000E3	3.187744187E-1
1.195312500E3	1.881310878E-1
1.218750000E3	7.898209159E-2
1.242187500E3	8.749709462E-2
1.265625000E3	1.471943365E-1
1.289062500E3	8.118788659E-2
1.312500000E3	9.661707822E-2
1.335937500E3	1.268584550E-1
1.359375000E3	2.512487833E-2
1.382812500E3	1.494780471E-1
1.406250000E3	9.466946447E-2
1.429687500E3	9.392963129E-2
1.453125000E3	1.573564377E-1
1.476562500E3	9.815153059E-2
1.500000000E3	1.312327957E-1
1.523437500E3	1.264625454E-1
1.546875000E3	3.358698304E-1
1.570312500E3	4.016818380E-1
1.593750000E3	1.371960109E-1
1.617187500E3	3.900775448E-1
1.640625000E3	1.788360348E-1
1.664062500E3	6.244287324E-3
1.687500000E3	9.240463037E-2
1.710937500E3	4.738051347E-1
1.734375000E3	4.539986153E-1
1.757812500E3	4.777267304E-1
1.781250000E3	4.334591719E-1
1.804687500E3	3.959193801E-1
1.828125000E3	1.685626312E-1
1.851562500E3	2.376468126E-2
1.875000000E3	1.183721796E-1
1.898437500E3	1.261682659E-1
1.921875000E3	1.604859029E-1
1.945312500E3	4.578707430E-2
1.968750000E3	1.558118908E-1
1.992187500E3	1.400113301E-1
2.015625000E3	2.801875045E-2
2.039062500E3	4.905833857E-2
2.062500000E3	1.330338416E-1
2.085937500E3	3.276810509E-1
2.109375000E3	1.253633872E-1
2.132812500E3	1.440764528E-1
2.156250000E3	1.360252111E-1
2.179687500E3	3.955892972E-2
2.203125000E3	1.717035553E-1
2.226562500E3	7.125241440E-2
2.250000000E3	7.575933259E-2
2.273437500E3	2.167044068E-2
2.296875000E3	9.508584840E-2
2.320312500E3	1.908299980E-1
2.343750000E3	1.083261675E-1
2.367187500E3	1.718321121E-2
2.390625000E3	1.383577242E-1
2.414062500E3	1.104838443E-1
2.437500000E3	1.560164624E-1
2.460937500E3	1.258301522E-1
2.484375000E3	1.915404493E-1
2.507812500E3	1.815847351E-1
2.531250000E3	1.397137386E-1
2.554687500E3	1.548165435E-1
2.578125000E3	8.732466658E-2
2.601562500E3	2.852670308E-1
2.625000000E3	2.170511509E-1
2.648437500E3	1.395817655E-1
2.671875000E3	1.883664112E-1
2.695312500E3	3.634192017E-1
2.718750000E3	9.749604231E-2
2.742187500E3	1.068790857E-1
2.765625000E3	1.198942886E-1
2.789062500E3	9.684062580E-2
2.812500000E3	9.660330695E-2
2.835937500E3	7.577342675E-2
2.859375000E3	7.104286399E-2
2.882812500E3	6.986653797E-2
2.906250000E3	2.022152708E-2
2.929687500E3	5.462217852E-2
2.953125000E3	4.680748820E-3
2.976562500E3	3.634253464E-2
3.000000000E3	8.722448699E-2
3.023437500E3	8.133035981E-2
3.046875000E3	3.221045012E-2
3.070312500E3	1.825143637E-1
3.093750000E3	1.046330435E-1
3.117187500E3	7.874992682E-2
3.140625000E3	9.409370009E-2
3.164062500E3	2.356387833E-2
3.187500000E3	5.279381656E-2
3.210937500E3	1.084596918E-1
3.234375000E3	2.093027123E-2
3.257812500E3	2.893884521E-2
3.281250000E3	7.411636282E-2
3.304687500E3	5.734805800E-2
3.328125000E3	6.641862944E-2
3.351562500E3	1.463387517E-1
3.375000000E3	8.949042656E-2
3.398437500E3	6.220168761E-2
3.421875000E3	7.477764674E-2
3.445312500E3	1.102651826E-1
3.468750000E3	1.813198749E-1
3.492187500E3	7.775841408E-2
3.515625000E3	5.141046676E-2
3.539062500E3	1.391237003E-1
3.562500000E3	5.104192963E-2
3.585937500E3	1.462027456E-1
3.609375000E3	3.415276582E-2
3.632812500E3	2.650587701E-2
3.656250000E3	5.139197216E-2
3.679687500E3	3.666200791E-2
3.703125000E3	3.910639790E-2
3.726562500E3	8.984349389E-2
3.750000000E3	9.715315438E-2
3.773437500E3	1.018850842E-1
3.796875000E3	4.188952336E-2
3.820312500E3	1.152123094E-1
3.843750000E3	2.113305135E-1
3.867187500E3	1.510634528E-2
3.890625000E3	9.564673059E-2
3.914062500E3	8.841086096E-2
3.937500000E3	1.404845327E-1
3.960937500E3	7.090968293E-2
3.984375000E3	7.956365067E-2
4.007812500E3	7.425447617E-2
4.031250000E3	1.281269199E-1
4.054687500E3	9.409319831E-2
4.078125000E3	9.259736755E-2
4.101562500E3	9.323705022E-2
4.125000000E3	8.982815072E-2
4.148437500E3	4.874008940E-2
4.171875000E3	1.160824738E-1
4.195312500E3	6.775637041E-2
4.218750000E3	3.136191903E-2
4.242187500E3	7.363144319E-2
4.265625000E3	6.258499915E-2
4.289062500E3	1.042554199E-1
4.312500000E3	2.754344162E-2
4.335937500E3	1.051097091E-1
4.359375000E3	1.298161589E-2
4.382812500E3	9.467527569E-3
4.406250000E3	1.002874415E-1
4.429687500E3	3.322957271E-2
4.453125000E3	6.785603193E-2
4.476562500E3	1.145662269E-1
4.500000000E3	7.567216685E-2
4.523437500E3	3.679487843E-2
4.546875000E3	6.708056124E-2
4.570312500E3	8.205884825E-2
4.593750000E3	1.442120211E-2
4.617187500E3	1.372486234E-1
4.640625000E3	1.770057391E-2
4.664062500E3	8.894630966E-2
4.687500000E3	2.145913459E-2
4.710937500E3	1.000412653E-1
4.734375000E3	2.161256052E-2
4.757812500E3	5.948257653E-2
4.781250000E3	5.190919822E-2
4.804687500E3	1.252199544E-2
4.828125000E3	1.580374765E-1
4.851562500E3	8.453852110E-2
4.875000000E3	9.443718305E-2
4.898437500E3	1.197950899E-2
4.921875000E3	1.786804113E-2
4.945312500E3	7.135161551E-2
4.968750000E3	7.731138459E-2
4.992187500E3	6.499644329E-2
5.015625000E3	7.045573185E-2
5.039062500E3	1.248560677E-1
5.062500000E3	3.793620775E-2
5.085937500E3	9.255425759E-2
5.109375000E3	2.583433559E-3
5.132812500E3	4.531058877E-2
5.156250000E3	8.105998117E-2
5.179687500E3	3.453149646E-2
5.203125000E3	9.386904570E-2
5.226562500E3	9.400893844E-2
5.250000000E3	5.142678676E-2
5.273437500E3	8.359713146E-2
5.296875000E3	3.585507235E-2
5.320312500E3	1.493368212E-1
5.343750000E3	2.867110585E-2
5.367187500E3	8.865145359E-2
5.390625000E3	8.939106617E-2
5.414062500E3	3.451585853E-2
5.437500000E3	1.379315339E-1
5.460937500E3	1.768173597E-2
5.484375000E3	9.407251319E-2
5.507812500E3	4.680837171E-2
5.531250000E3	4.807181075E-2
5.554687500E3	5.223967322E-2
5.578125000E3	5.640333854E-2
5.601562500E3	4.417058196E-2
5.625000000E3	7.171887060E-2
5.648437500E3	4.852324326E-2
5.671875000E3	1.359396320E-1
5.695312500E3	2.820293076E-2
5.718750000E3	9.994600549E-2
5.742187500E3	3.547060215E-2
5.765625000E3	2.224153431E-2
5.789062500E3	4.314348258E-2
5.812500000E3	2.963684113E-2
5.835937500E3	4.453834328E-2
5.859375000E3	5.564018361E-2
5.882812500E3	4.751864124E-2
5.906250000E3	4.348477967E-2
5.929687500E3	5.649920440E-2
5.953125000E3	5.262437029E-2
5.976562500E3	3.506138528E-2
6.000000000E3	3.578299897E-2
6.023437500E3	4.216660220E-2
6.046875000E3	5.549270991E-2
6.070312500E3	5.768063497E-2
6.093750000E3	3.813830034E-2
6.117187500E3	4.441710302E-2
6.140625000E3	3.112928205E-2
6.164062500E3	3.013040382E-2
6.187500000E3	5.818006423E-2
6.210937500E3	3.120252252E-2
6.234375000E3	5.673891918E-2
6.257812500E3	2.459426721E-2
6.281250000E3	7.217123347E-2
6.304687500E3	2.094893807E-2
6.328125000E3	3.230283591E-2
6.351562500E3	2.517665065E-2
6.375000000E3	6.048311112E-2
6.398437500E3	3.505392766E-2
6.421875000E3	1.037142332E-2
6.445312500E3	6.725745534E-2
6.468750000E3	3.837590481E-2
6.492187500E3	1.686311408E-2
6.515625000E3	1.149558544E-2
6.539062500E3	2.393177618E-2
6.562500000E3	3.324539922E-2
6.585937500E3	6.353301624E-2
6.609375000E3	3.509785938E-2
6.632812500E3	2.920201958E-2
6.656250000E3	7.957742918E-3
6.679687500E3	6.489711389E-2
6.703125000E3	2.915277378E-2
6.726562500E3	4.058802146E-2
6.750000000E3	2.532195573E-2
6.773437500E3	2.781862277E-2
6.796875000E3	1.945336478E-2
6.820312500E3	3.581752948E-2
6.843750000E3	3.892389088E-2
6.867187500E3	2.900133304E-2
6.890625000E3	2.247322636E-2
6.914062500E3	3.709343015E-2
