"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	6.243108101E-1
4.687500000E1	5.098006932E-1
7.031250000E1	2.313708777E0
9.375000000E1	6.464325137E0
1.171875000E2	5.764585986E0
1.406250000E2	2.890984968E0
1.640625000E2	3.152547988E0
1.875000000E2	1.277135773E0
2.109375000E2	1.721316562E0
2.343750000E2	7.084039657E0
2.578125000E2	5.948034620E-1
2.812500000E2	1.705326883E0
3.046875000E2	2.268074201E0
3.281250000E2	1.692191297E0
3.515625000E2	1.474927734E0
3.750000000E2	9.265507091E-1
3.984375000E2	1.528724540E0
4.218750000E2	9.968970873E-1
4.453125000E2	9.776020578E-1
4.687500000E2	3.158303360E0
4.921875000E2	4.480197240E-1
5.156250000E2	8.748337836E-1
5.390625000E2	2.145525687E0
5.625000000E2	1.519219791E0
5.859375000E2	6.721627634E-1
6.093750000E2	1.030628485E0
6.328125000E2	6.694286126E-1
6.562500000E2	2.308965175E0
6.796875000E2	3.151641442E0
7.031250000E2	2.693081849E0
7.265625000E2	1.407898344E0
7.500000000E2	2.132464839E0
7.734375000E2	1.836981101E0
7.968750000E2	3.661461796E0
8.203125000E2	1.876631965E0
8.437500000E2	2.303562041E0
8.671875000E2	1.034446518E0
8.906250000E2	9.016732806E-1
9.140625000E2	6.094510320E-1
9.375000000E2	2.010899185E0
9.609375000E2	3.467207162E0
9.843750000E2	3.106138768E0
1.007812500E3	4.111547117E0
1.031250000E3	1.425276832E0
1.054687500E3	8.635256769E-1
1.078125000E3	1.384279660E0
1.101562500E3	1.638080006E0
1.125000000E3	4.411518108E0
1.148437500E3	3.407664969E0
1.171875000E3	1.632797490E0
1.195312500E3	3.430720126E0
1.218750000E3	6.909275898E-1
1.242187500E3	1.727832703E0
1.265625000E3	7.281795976E0
1.289062500E3	3.781982866E0
1.312500000E3	1.736326273E0
1.335937500E3	1.026644886E0
1.359375000E3	1.923179366E0
1.382812500E3	1.585832213E-1
1.406250000E3	6.118952303E-1
