"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.970109507E-1
4.687500000E1	2.208716744E0
7.031250000E1	7.529449351E0
9.375000000E1	1.996724270E1
1.171875000E2	5.301863860E0
1.406250000E2	3.396702274E0
1.640625000E2	4.976252367E0
1.875000000E2	1.748999582E1
2.109375000E2	1.515193794E1
2.343750000E2	4.269129322E0
2.578125000E2	2.919446121E0
2.812500000E2	7.485130701E-1
3.046875000E2	4.776937972E0
3.281250000E2	2.827215124E0
3.515625000E2	2.108735429E0
3.750000000E2	1.358603410E0
3.984375000E2	8.664203147E0
4.218750000E2	2.055470595E0
4.453125000E2	3.620116810E0
4.687500000E2	4.114920547E0
4.921875000E2	3.690574026E0
5.156250000E2	2.682506250E0
5.390625000E2	1.784960814E0
5.625000000E2	1.154492399E0
5.859375000E2	1.689024124E0
6.093750000E2	2.913224925E0
6.328125000E2	3.231897952E0
6.562500000E2	2.420787188E0
6.796875000E2	1.711440618E0
7.031250000E2	2.920984978E0
7.265625000E2	6.915109969E-1
7.500000000E2	1.338295155E0
7.734375000E2	1.689053393E0
7.968750000E2	3.581975077E0
8.203125000E2	6.873908553E0
8.437500000E2	4.242499193E0
8.671875000E2	7.623637741E0
8.906250000E2	1.833386182E1
9.140625000E2	9.662413716E0
9.375000000E2	7.643728099E0
9.609375000E2	1.531443778E1
9.843750000E2	5.562332205E0
1.007812500E3	1.056745893E1
1.031250000E3	3.690939482E0
1.054687500E3	5.128486079E0
1.078125000E3	8.231115631E0
1.101562500E3	1.996204146E1
1.125000000E3	7.290738109E-1
1.148437500E3	7.634520025E0
1.171875000E3	5.883546260E0
1.195312500E3	5.252063354E0
1.218750000E3	7.057227368E0
1.242187500E3	1.007845879E1
1.265625000E3	1.237423269E1
1.289062500E3	1.132059445E1
1.312500000E3	7.534892208E0
1.335937500E3	1.017300314E1
1.359375000E3	8.973582425E0
1.382812500E3	1.372186351E0
1.406250000E3	5.488404518E0
1.429687500E3	3.024729033E0
1.453125000E3	6.685536064E0
1.476562500E3	1.618006022E0
1.500000000E3	3.840172054E0
1.523437500E3	1.760990543E0
1.546875000E3	3.270120107E0
1.570312500E3	3.373884349E0
1.593750000E3	8.288317306E0
1.617187500E3	4.355552578E0
1.640625000E3	1.062918034E0
1.664062500E3	1.246285932E0
1.687500000E3	1.984896934E0
1.710937500E3	2.752236453E0
1.734375000E3	1.499132416E0
1.757812500E3	1.757525202E0
1.781250000E3	1.487395851E0
1.804687500E3	1.501161403E0
1.828125000E3	2.720235418E0
1.851562500E3	2.181389507E0
1.875000000E3	1.250998977E0
1.898437500E3	2.736597232E0
1.921875000E3	5.482885617E-1
1.945312500E3	1.351402497E-1
1.968750000E3	5.234371061E-1
1.992187500E3	1.785283321E0
2.015625000E3	1.313123256E0
2.039062500E3	4.119229824E-1
2.062500000E3	3.019384864E-1
2.085937500E3	6.888657453E-1
2.109375000E3	4.999408091E-1
2.132812500E3	3.259556012E-1
2.156250000E3	2.641118834E-1
2.179687500E3	6.901393648E-1
2.203125000E3	1.481930595E0
2.226562500E3	4.350442711E-1
2.250000000E3	2.087871477E-1
2.273437500E3	7.054611146E-1
2.296875000E3	2.279126227E-1
2.320312500E3	2.834553726E-1
2.343750000E3	3.383140676E-1
2.367187500E3	6.653008952E-2
2.390625000E3	3.829867451E-1
2.414062500E3	2.349627005E-1
2.437500000E3	2.529191297E-1
2.460937500E3	2.077041544E-1
2.484375000E3	2.768564321E-2
2.507812500E3	3.139152018E-1
2.531250000E3	2.285343366E-1
2.554687500E3	1.755517721E-1
2.578125000E3	2.467306719E-1
2.601562500E3	6.069584648E-1
2.625000000E3	2.659616646E-1
2.648437500E3	2.626308463E-1
2.671875000E3	2.940571377E-1
2.695312500E3	1.556635534E0
2.718750000E3	1.453946067E-1
2.742187500E3	5.016898635E-1
2.765625000E3	1.596874417E-1
2.789062500E3	9.251356131E-2
2.812500000E3	2.920891636E-1
2.835937500E3	2.876689546E-1
2.859375000E3	2.466893016E-1
2.882812500E3	1.001740191E-1
2.906250000E3	1.514161260E-1
2.929687500E3	3.227603684E-1
2.953125000E3	1.963215843E-1
2.976562500E3	3.344579621E-1
3.000000000E3	3.371116288E-1
3.023437500E3	4.492827911E-1
3.046875000E3	5.408735502E-1
3.070312500E3	4.397966710E-1
3.093750000E3	1.464775914E-1
3.117187500E3	1.780729061E-1
3.140625000E3	1.647535759E-1
3.164062500E3	8.753210963E-2
3.187500000E3	1.213684665E-1
3.210937500E3	8.847815021E-2
3.234375000E3	1.277967687E-1
3.257812500E3	5.186699815E-2
3.281250000E3	9.606863894E-2
3.304687500E3	1.922527545E-1
3.328125000E3	6.784634067E-3
3.351562500E3	1.740379021E-1
3.375000000E3	3.772433849E-2
3.398437500E3	9.466345136E-2
3.421875000E3	6.731868697E-2
3.445312500E3	5.901539490E-2
3.468750000E3	5.120161460E-2
3.492187500E3	4.870067559E-2
3.515625000E3	4.091520718E-2
3.539062500E3	8.250398996E-2
3.562500000E3	8.199345076E-2
3.585937500E3	5.830520128E-2
3.609375000E3	6.752679005E-2
3.632812500E3	2.231195054E-2
3.656250000E3	2.145864034E-2
3.679687500E3	2.910876749E-2
3.703125000E3	8.931120284E-2
3.726562500E3	2.719906234E-2
3.750000000E3	6.445785269E-2
3.773437500E3	8.882858800E-3
3.796875000E3	5.996192304E-2
3.820312500E3	1.188966403E-1
