"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	5.701899435E0
4.687500000E1	6.884470321E0
7.031250000E1	1.114535855E1
9.375000000E1	3.706636839E1
1.171875000E2	1.030899775E1
1.406250000E2	1.109864702E1
1.640625000E2	1.419226886E1
1.875000000E2	4.827539038E0
2.109375000E2	2.656699078E1
2.343750000E2	1.475765084E1
2.578125000E2	9.317503742E0
2.812500000E2	4.431041739E0
3.046875000E2	4.335833523E0
3.281250000E2	5.585902842E0
3.515625000E2	1.526707193E1
3.750000000E2	2.224871167E1
3.984375000E2	1.192110881E1
4.218750000E2	2.196271686E0
4.453125000E2	3.960668386E0
4.687500000E2	4.768820371E0
4.921875000E2	2.153882477E0
5.156250000E2	4.241629138E0
5.390625000E2	5.147912055E0
5.625000000E2	2.243090816E0
5.859375000E2	2.179071894E0
6.093750000E2	2.544992315E0
6.328125000E2	1.915908378E0
6.562500000E2	7.279064736E0
6.796875000E2	2.367375221E0
7.031250000E2	2.320065158E0
7.265625000E2	2.229934721E0
7.500000000E2	2.529850640E0
7.734375000E2	3.159254603E0
7.968750000E2	1.589345049E0
8.203125000E2	5.489574575E-1
8.437500000E2	4.366923741E0
8.671875000E2	7.791950014E-1
8.906250000E2	1.214547827E0
9.140625000E2	1.760586592E0
9.375000000E2	1.287815966E0
9.609375000E2	1.986663665E0
9.843750000E2	1.619043070E-1
1.007812500E3	1.859237258E0
1.031250000E3	1.141085124E0
1.054687500E3	1.403559654E0
1.078125000E3	7.317828159E-1
1.101562500E3	2.785004354E-1
1.125000000E3	2.315901502E0
1.148437500E3	1.246915437E0
1.171875000E3	8.844675395E-1
1.195312500E3	1.224267738E0
1.218750000E3	1.575801875E0
1.242187500E3	1.445281668E0
1.265625000E3	2.699345629E0
1.289062500E3	9.252469238E-1
1.312500000E3	4.844211349E-1
1.335937500E3	1.274695864E0
1.359375000E3	8.516278135E-1
1.382812500E3	1.157626885E0
1.406250000E3	7.865601066E-1
1.429687500E3	1.311998942E0
1.453125000E3	7.406544825E-1
1.476562500E3	4.178847761E-1
1.500000000E3	5.579753723E-1
1.523437500E3	1.394223996E0
1.546875000E3	7.714346862E-1
1.570312500E3	5.108446874E-1
1.593750000E3	1.799935611E-1
1.617187500E3	3.082717501E-1
1.640625000E3	6.147598459E-1
1.664062500E3	1.121585091E0
1.687500000E3	1.766008158E0
1.710937500E3	2.471556771E0
1.734375000E3	2.268612640E-1
1.757812500E3	9.413514259E-1
1.781250000E3	1.182914095E0
1.804687500E3	6.751112640E-1
1.828125000E3	5.818140525E-1
1.851562500E3	3.986285396E0
1.875000000E3	3.196942004E0
1.898437500E3	8.826462894E-1
1.921875000E3	2.392104886E-1
1.945312500E3	1.436121887E0
1.968750000E3	2.118240093E0
1.992187500E3	1.541585443E0
2.015625000E3	2.822087206E-1
2.039062500E3	8.656037384E-1
2.062500000E3	1.175354463E0
2.085937500E3	6.910793828E-1
2.109375000E3	7.524769261E-1
2.132812500E3	6.457542297E-1
2.156250000E3	5.979811270E-1
2.179687500E3	7.817400207E-1
2.203125000E3	5.325542815E-1
2.226562500E3	7.878153959E-1
2.250000000E3	1.117915705E0
2.273437500E3	3.335471441E-1
2.296875000E3	6.391696791E-1
2.320312500E3	7.759575721E-1
2.343750000E3	6.215305875E-1
2.367187500E3	7.925089563E-1
2.390625000E3	5.923620433E-1
2.414062500E3	6.745174850E-1
2.437500000E3	3.774545726E-1
2.460937500E3	7.029679489E-1
2.484375000E3	8.324299150E-1
2.507812500E3	7.380555181E-1
2.531250000E3	4.873517388E-1
2.554687500E3	2.398844830E-1
2.578125000E3	1.534192367E-1
2.601562500E3	5.526983648E-1
2.625000000E3	5.198903700E-1
2.648437500E3	2.471472120E-1
2.671875000E3	7.162927057E-1
2.695312500E3	3.312783619E-2
2.718750000E3	1.837479212E-1
2.742187500E3	2.142371798E-1
2.765625000E3	2.720451992E-1
2.789062500E3	3.396208334E-1
2.812500000E3	3.060455876E-1
2.835937500E3	1.143914225E-1
2.859375000E3	2.124126120E-1
2.882812500E3	3.087355887E-1
2.906250000E3	8.334554116E-2
2.929687500E3	2.089401959E-1
2.953125000E3	2.303901208E-1
2.976562500E3	2.148815778E-1
3.000000000E3	5.477970295E-1
3.023437500E3	3.816822941E-1
3.046875000E3	2.596803806E-1
3.070312500E3	3.218769538E-1
3.093750000E3	2.175880937E-2
3.117187500E3	1.694336463E-1
3.140625000E3	9.716850556E-2
3.164062500E3	4.331431913E-1
3.187500000E3	3.082844967E-1
3.210937500E3	6.527430266E-1
3.234375000E3	3.136404756E-1
3.257812500E3	2.046249291E-1
3.281250000E3	1.347734269E-1
3.304687500E3	2.699888635E-1
3.328125000E3	4.380984784E-1
3.351562500E3	1.631901347E-1
3.375000000E3	5.039267761E-1
3.398437500E3	5.176721031E-1
3.421875000E3	2.778053502E-1
3.445312500E3	2.178501719E-1
3.468750000E3	2.006861836E-1
3.492187500E3	2.273178089E-1
3.515625000E3	3.250638889E-1
3.539062500E3	1.347054707E-1
3.562500000E3	2.383056779E-1
3.585937500E3	1.869429923E-1
3.609375000E3	9.905140252E-2
3.632812500E3	1.759999488E-1
3.656250000E3	5.021989441E-1
3.679687500E3	7.425031011E-1
3.703125000E3	5.044258550E-1
3.726562500E3	2.519171901E-1
3.750000000E3	8.530839924E-2
3.773437500E3	4.416426923E-1
3.796875000E3	7.988735155E-2
3.820312500E3	6.673323911E-1
