"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.298781384E0	9.935591573E2	-2.204082670E0
1.448784509E0	9.935298796E2	-2.214166857E0
1.598787634E0	9.934757402E2	-2.232815816E0
1.748790759E0	9.933990573E2	-2.259233577E0
1.998969153E0	9.931930265E2	-2.330232819E0
2.148972278E0	9.933902189E2	-2.262278745E0
2.298975403E0	9.934582256E2	-2.238849356E0
2.448978528E0	1.000017925E3	6.094325026E-3
2.696361652E0	1.006572058E3	2.219910439E0
2.846364777E0	9.934308518E2	-2.248279673E0
2.996367902E0	9.934470090E2	-2.242713413E0
3.146371027E0	9.999469955E2	-1.802249819E-2
3.393498229E0	9.937185173E2	-2.149204311E0
3.543501354E0	9.933337612E2	-2.281731763E0
3.693504479E0	1.006561609E3	2.216403819E0
3.843507604E0	1.006589124E3	2.225636997E0
3.996556844E0	1.000511129E3	1.736952430E-1
4.146559969E0	1.006810659E3	2.299959872E0
4.296563094E0	9.930892643E2	-2.366000958E0
4.446566219E0	9.930896829E2	-2.365856622E0
4.597673420E0	1.006951707E3	2.347262980E0
4.747676545E0	9.931379697E2	-2.349210666E0
4.897679670E0	9.931719456E2	-2.337499063E0
5.047682795E0	9.932321844E2	-2.316736541E0
5.300115689E0	1.000032774E3	1.114291639E-2
5.450118814E0	1.006868167E3	2.319247804E0
5.600121939E0	9.931914918E2	-2.330761787E0
5.750125064E0	9.931877370E2	-2.332055986E0
5.996713996E0	9.931272954E2	-2.352890284E0
6.146717121E0	9.931770638E2	-2.335734893E0
6.296720246E0	1.006790616E3	2.293236876E0
6.446723371E0	9.999829424E2	-5.799676685E-3
6.698329226E0	1.006776959E3	2.288655861E0
6.848332351E0	1.006774485E3	2.287826090E0
6.998335476E0	9.931596999E2	-2.341720093E0
7.148338601E0	9.931942944E2	-2.329795811E0
7.398582034E0	9.931843107E2	-2.333236975E0
7.548585159E0	9.931668224E2	-2.339264989E0
7.698588284E0	9.931852490E2	-2.332913559E0
7.848591409E0	9.931993884E2	-2.328040049E0
8.099158802E0	9.999772415E2	-7.738070151E-3
8.249161927E0	1.006799173E3	2.296107341E0
8.399165052E0	9.931730297E2	-2.337125392E0
8.549168177E0	9.931839044E2	-2.333377032E0
8.797820571E0	9.999576842E2	-1.438798631E-2
8.947823696E0	9.932026265E2	-2.326923958E0
9.097826821E0	9.999723393E2	-9.404901991E-3
9.247829946E0	9.931336774E2	-2.350690281E0
9.495492224E0	9.926754573E2	-2.508719746E0
9.645495349E0	9.925514050E2	-2.551527602E0
9.795498474E0	1.008114774E3	2.736814559E0
9.945501599E0	1.007306993E3	2.466355874E0
1.019955596E1	9.918431257E2	-2.796145082E0
1.034955908E1	1.004797160E3	1.623247322E0
1.049956221E1	1.004322976E3	1.463485190E0
1.064956533E1	9.916821336E2	-2.851795439E0
1.089865034E1	9.904900366E2	-3.264432191E0
1.104865346E1	9.919015880E2	-2.775940802E0
1.119865659E1	9.969436423E2	-1.042347399E0
1.134865971E1	9.913001203E2	-2.983918826E0
1.159887061E1	9.919878460E2	-2.746134801E0
1.174887373E1	1.005846571E3	1.976279812E0
1.189887686E1	1.004934841E3	1.669606615E0
1.204887998E1	9.923357645E2	-2.625966091E0
1.229836592E1	9.963635014E2	-1.240922124E0
1.244836904E1	9.957532150E2	-1.450065030E0
1.259837217E1	9.906611370E2	-3.205145831E0
1.274837529E1	9.906740182E2	-3.200683311E0
1.299848530E1	9.965790863E2	-1.167103216E0
1.314848842E1	9.922226332E2	-2.665031632E0
1.329849155E1	1.004818436E3	1.630412311E0
1.344849467E1	1.005694892E3	1.925298762E0
1.369914953E1	9.903737342E2	-3.304742716E0
1.384915265E1	9.952631090E2	-1.618208206E0
1.399915578E1	9.963844415E2	-1.233750599E0
1.414915890E1	9.945297866E2	-1.870102425E0
1.440089311E1	1.006967243E3	2.352472525E0
1.455089623E1	1.004450246E3	1.506379728E0
1.470089936E1	9.923160605E2	-2.632769462E0
1.485090248E1	1.004040892E3	1.368373978E0
1.509913534E1	9.965817863E2	-1.166178910E0
1.524913846E1	1.007721293E3	2.605124724E0
1.539914159E1	1.004420615E3	1.496394072E0
1.554914471E1	1.004947518E3	1.673874443E0
1.579658368E1	9.965121934E2	-1.190004742E0
1.594658681E1	9.908197237E2	-3.150213778E0
1.609658993E1	9.921843240E2	-2.678262265E0
1.624659306E1	1.000819416E3	2.783734659E-1
1.649755753E1	9.945554147E2	-1.861292963E0
1.664756065E1	9.904490781E2	-3.278627356E0
1.679756378E1	NaN	NaN
1.694756690E1	1.004417929E3	1.495488776E0
1.719819853E1	9.923021606E2	-2.637568984E0
1.734820165E1	9.966090813E2	-1.156835087E0
1.749820478E1	1.005952595E3	2.011906191E0
1.764820790E1	9.912582935E2	-2.998391261E0
1.790065933E1	1.006845775E3	2.311737936E0
1.805066246E1	1.006844344E3	2.311257863E0
1.820066558E1	9.933388499E2	-2.279978302E0
1.835066871E1	9.936259407E2	-2.181082502E0
1.859681041E1	9.943537821E2	-1.930614772E0
1.874681354E1	1.007662500E3	2.585438941E0
1.889681666E1	1.007869570E3	2.654761880E0
