"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.272902653E0	1.002318652E3	7.865181029E-1
1.282902861E0	1.002477632E3	8.403129142E-1
1.292903070E0	1.002404079E3	8.154264141E-1
1.302903278E0	1.002472983E3	8.387401209E-1
1.312903486E0	1.002471952E3	8.383912231E-1
1.322903695E0	1.002188017E3	7.423016273E-1
1.332903903E0	1.002151412E3	7.299096319E-1
1.342904111E0	1.001897240E3	6.438401039E-1
1.352904320E0	1.001588873E3	5.393597863E-1
1.362904528E0	1.001221717E3	4.148767955E-1
1.372904736E0	1.000710706E3	2.414684217E-1
1.382904945E0	1.000152073E3	5.169685806E-2
1.392905153E0	9.995303237E2	-1.597649759E-1
1.402905361E0	9.995131561E2	-1.656075439E-1
1.412905570E0	9.991090703E2	-3.031861996E-1
1.422905778E0	9.988544097E2	-3.899474072E-1
1.432905986E0	9.991382640E2	-2.932429225E-1
1.442906195E0	9.991369806E2	-2.936800489E-1
1.452906403E0	9.988613856E2	-3.875702027E-1
1.462906611E0	9.985882830E2	-4.806623363E-1
1.472906820E0	9.977666814E2	-7.610279443E-1
1.482907028E0	9.983922268E2	-5.475231750E-1
1.492907236E0	9.980954285E2	-6.487899662E-1
1.502907445E0	9.984814091E2	-5.171061946E-1
1.512907653E0	9.983367891E2	-5.664337962E-1
1.522907861E0	9.986973675E2	-4.434727340E-1
1.532908070E0	9.991401231E2	-2.926097525E-1
1.542908278E0	9.995303932E2	-1.597413385E-1
1.552908486E0	9.996988618E2	-1.024178376E-1
1.562908695E0	9.995573298E2	-1.505745287E-1
1.572908903E0	9.990552996E2	-3.215018639E-1
1.582909111E0	9.986361530E2	-4.643412665E-1
1.592909320E0	9.980290749E2	-6.714378803E-1
1.602909528E0	9.973210657E2	-9.132843062E-1
1.612909736E0	9.967471066E2	-1.109593142E0
1.622909945E0	9.966391186E2	-1.146553095E0
1.632910153E0	9.962022351E2	-1.296162574E0
1.642910361E0	9.963295850E2	-1.252538425E0
1.652910570E0	9.960084907E2	-1.362551783E0
1.662910778E0	9.957955355E2	-1.435553658E0
1.672910987E0	9.958313627E2	-1.423269761E0
1.682911195E0	9.957727887E2	-1.443353203E0
1.692911403E0	9.956358387E2	-1.490318849E0
1.702911612E0	9.955199289E2	-1.530079024E0
1.712911820E0	9.958343617E2	-1.422241561E0
1.722912028E0	9.966489855E2	-1.143175721E0
1.732912237E0	9.976796233E2	-7.907629367E-1
1.742912445E0	9.981869817E2	-6.175458584E-1
1.752912653E0	9.991810060E2	-2.786862131E-1
1.762912862E0	9.992212697E2	-2.649746446E-1
1.772913070E0	1.000080731E3	2.744631242E-2
1.782913278E0	1.000851345E3	2.892111203E-1
1.792913487E0	1.001291120E3	4.384147715E-1
1.802913695E0	1.001627644E3	5.524997415E-1
1.812913903E0	1.001781659E3	6.046866724E-1
1.822914112E0	1.002115257E3	7.176694001E-1
1.832914320E0	1.002112764E3	7.168254301E-1
1.842914528E0	1.002086545E3	7.079479762E-1
1.852914737E0	1.002088123E3	7.084823037E-1
1.862914945E0	1.001593074E3	5.407837306E-1
1.872915153E0	1.001814300E3	6.157447706E-1
1.882915362E0	1.001188740E3	4.036917084E-1
1.892915570E0	1.000454320E3	1.543985661E-1
1.902915778E0	1.000813758E3	2.764526364E-1
1.912915987E0	1.000317009E3	1.077487814E-1
1.922916195E0	9.993803766E2	-2.108025902E-1
1.932916403E0	9.997642393E2	-8.017752869E-2
1.942916612E0	9.994929584E2	-1.724816040E-1
1.952916820E0	9.992456402E2	-2.566759450E-1
1.962917028E0	9.989201229E2	-3.675551237E-1
1.973617999E0	9.989721728E2	-3.498208114E-1
1.983618207E0	9.989222446E2	-3.668321973E-1
1.993618416E0	9.991446586E2	-2.910650255E-1
2.003618624E0	9.987456675E2	-4.270086616E-1
2.013618832E0	9.989817636E2	-3.465532515E-1
2.023619041E0	9.989696845E2	-3.506685751E-1
2.033619249E0	9.991608393E2	-2.855542744E-1
2.043619457E0	9.991565750E2	-2.870065833E-1
2.053619666E0	9.994185698E2	-1.978012622E-1
2.063619874E0	9.994818740E2	-1.762541786E-1
2.073620082E0	9.995522781E2	-1.522936348E-1
2.083620291E0	9.998375846E2	-5.523021505E-2
2.093620499E0	9.998741052E2	-4.280963779E-2
2.103620707E0	1.000162641E3	5.528893462E-2
2.113620916E0	1.000320439E3	1.089144037E-1
2.123621124E0	1.000579688E3	1.969797617E-1
2.133621332E0	1.000712180E3	2.419689788E-1
2.143621541E0	1.001079912E3	3.667740299E-1
2.153621749E0	1.001414134E3	4.801267374E-1
2.163621957E0	1.001579892E3	5.363160191E-1
2.173622166E0	1.001784475E3	6.056408708E-1
2.183622374E0	1.002044115E3	6.935812814E-1
2.193622582E0	1.002190230E3	7.430506650E-1
2.203622791E0	1.002324694E3	7.885626269E-1
2.213622999E0	1.002528186E3	8.574154865E-1
2.223623207E0	1.002632391E3	8.926630723E-1
2.233623416E0	1.002786436E3	9.447556776E-1
2.243623624E0	1.002820544E3	9.562875616E-1
2.253623832E0	1.003022328E3	1.024495298E0
2.263624041E0	1.003138399E3	1.063717196E0
2.273624249E0	1.003260624E3	1.105009199E0
2.283624457E0	1.003489755E3	1.182390517E0
2.293624666E0	1.003446676E3	1.167844687E0
2.303624874E0	1.003541638E3	1.199907394E0
2.313625082E0	1.003756311E3	1.272366468E0
2.323625291E0	1.003906475E3	1.323032991E0
2.333625499E0	1.003853493E3	1.305158102E0
2.343625707E0	1.003877413E3	1.313228493E0
2.353625916E0	1.003424571E3	1.160380321E0
2.363626124E0	1.003139069E3	1.063943625E0
2.373626333E0	1.002795269E3	9.477423561E-1
2.383626541E0	1.001954871E3	6.633594242E-1
2.393626749E0	1.001175012E3	3.990351550E-1
2.403626958E0	1.000796032E3	2.704354925E-1
2.413627166E0	1.000034106E3	1.159576533E-2
2.423627374E0	9.995070846E2	-1.676738967E-1
2.433627583E0	9.989241843E2	-3.661712769E-1
2.443627791E0	9.990675218E2	-3.173385049E-1
2.453627999E0	9.988370638E2	-3.958586525E-1
2.463628208E0	9.988492724E2	-3.916981262E-1
2.473628416E0	9.987882806E2	-4.124844244E-1
2.483628624E0	9.986725283E2	-4.519403088E-1
2.493628833E0	9.987206967E2	-4.355202749E-1
2.503629041E0	9.985958392E2	-4.780859975E-1
2.513629249E0	9.990195286E2	-3.336874346E-1
2.523629458E0	9.989766315E2	-3.483017247E-1
2.533629666E0	9.995778978E2	-1.435753552E-1
2.543629874E0	1.000003488E3	1.185945559E-3
2.553630083E0	1.000320266E3	1.088554866E-1
2.563630291E0	1.001269994E3	4.312502527E-1
2.573630499E0	1.000880955E3	2.992610359E-1
2.583630708E0	1.001194802E3	4.057479306E-1
2.593630916E0	1.001069963E3	3.633986786E-1
2.603631124E0	1.000948340E3	3.221301378E-1
2.613631333E0	1.001094565E3	3.717453226E-1
2.623631541E0	1.001114204E3	3.784077222E-1
2.633631749E0	1.001685236E3	5.720162968E-1
2.643631958E0	1.001857759E3	6.304667615E-1
2.653632166E0	1.002288054E3	7.761625064E-1
2.663632374E0	1.001307697E3	4.440362910E-1
2.671267614E0	1.002926399E3	9.920724670E-1
2.681267822E0	1.003441184E3	1.165990235E0
2.691268031E0	1.003481313E3	1.179539966E0
2.701268239E0	1.003834848E3	1.298867406E0
2.711268447E0	1.003610874E3	1.223279907E0
2.721268656E0	1.003420758E3	1.159092648E0
2.731268864E0	1.003207587E3	1.087092698E0
2.741269072E0	1.003234458E3	1.096170155E0
2.751269281E0	1.003119999E3	1.057500351E0
2.761269489E0	1.002928958E3	9.929374536E-1
2.771269697E0	1.002830212E3	9.595562111E-1
2.781269906E0	1.002701730E3	9.161131002E-1
2.791270114E0	1.002553286E3	8.659064710E-1
2.801270322E0	1.002533164E3	8.590996682E-1
2.811270531E0	1.002261194E3	7.670714621E-1
2.821270739E0	1.002221676E3	7.536955127E-1
2.831270947E0	1.002129883E3	7.226210893E-1
2.841271156E0	1.002005661E3	6.805599152E-1
2.851271364E0	1.001957700E3	6.643176146E-1
2.861271572E0	1.001905848E3	6.467555361E-1
2.871271781E0	1.001861225E3	6.316410222E-1
2.881271989E0	1.001868742E3	6.341871299E-1
2.891272197E0	1.001776650E3	6.029897070E-1
2.901272406E0	1.001853668E3	6.290808639E-1
2.911272614E0	1.001823035E3	6.187040753E-1
2.921272822E0	1.001914359E3	6.496383097E-1
2.931273031E0	1.001868218E3	6.340096500E-1
2.941273239E0	1.002029604E3	6.886676036E-1
2.951273447E0	1.002028463E3	6.882811947E-1
2.961273656E0	1.002086637E3	7.079792823E-1
2.971273864E0	1.002288007E3	7.761465361E-1
2.981274072E0	1.002247817E3	7.625437921E-1
2.991274281E0	1.002308440E3	7.830618386E-1
3.001274489E0	1.002294355E3	7.782951544E-1
3.011274697E0	1.002385595E3	8.091718419E-1
3.021274906E0	1.002386501E3	8.094785591E-1
3.031275114E0	1.002342195E3	7.944855902E-1
3.041275322E0	1.002183652E3	7.408241102E-1
3.051275531E0	1.001979813E3	6.718062185E-1
3.061275739E0	1.001755561E3	5.958447951E-1
3.071275948E0	1.001552724E3	5.271078522E-1
3.081276156E0	1.001289531E3	4.378760400E-1
3.091276364E0	1.000898823E3	3.053252550E-1
3.101276573E0	1.000647722E3	2.200828364E-1
3.111276781E0	1.000901917E3	3.063753711E-1
3.121276989E0	1.000887935E3	3.016300712E-1
3.131277198E0	1.001147773E3	3.897954607E-1
3.141277406E0	1.001224427E3	4.157959473E-1
3.151277614E0	1.002262620E3	7.675539548E-1
3.161277823E0	1.003231916E3	1.095311531E0
3.171278031E0	1.003140997E3	1.064595191E0
3.181278239E0	1.003686643E3	1.248854698E0
3.191278448E0	1.002797754E3	9.485824229E-1
3.201278656E0	1.001937060E3	6.573271030E-1
3.211278864E0	1.000824432E3	2.800759675E-1
3.221279073E0	9.998741065E2	-4.280919361E-2
3.231279281E0	9.990317834E2	-3.295126982E-1
3.241279489E0	9.981645485E2	-6.252010198E-1
3.251279698E0	9.976030718E2	-8.169136694E-1
3.261279906E0	9.974263319E2	-8.773050614E-1
3.271280114E0	9.975336961E2	-8.406165438E-1
3.281280323E0	9.974689183E2	-8.627514706E-1
3.291280531E0	9.971838544E2	-9.601935548E-1
3.301280739E0	9.969650641E2	-1.035019423E0
3.311280948E0	9.967082979E2	-1.122874870E0
