"Time (s)"	"Frequency (Hz)"	"Speed (m/s)"
1.268125307E0	1.002309203E3	7.833202160E-1
1.283125620E0	1.002306959E3	7.825607823E-1
1.298125932E0	1.001933596E3	6.561539229E-1
1.313126245E0	1.001931574E3	6.554691600E-1
1.328126557E0	1.001647351E3	5.591781165E-1
1.343126870E0	1.001417594E3	4.812995250E-1
1.358127182E0	1.001190160E3	4.041734267E-1
1.373127495E0	1.000960015E3	3.260919897E-1
1.388127807E0	1.000752515E3	2.556627968E-1
1.403128120E0	1.000668319E3	2.270767740E-1
1.418128432E0	1.000546121E3	1.855798606E-1
1.433128745E0	1.000510329E3	1.734234503E-1
1.448129057E0	1.000504087E3	1.713032398E-1
1.463129370E0	1.000389196E3	1.322750655E-1
1.478129682E0	1.000320210E3	1.088367169E-1
1.493129995E0	1.000293725E3	9.983705112E-2
1.508130307E0	1.000291030E3	9.892140154E-2
1.523130620E0	1.000245845E3	8.356686568E-2
1.538130932E0	1.000237526E3	8.073952743E-2
1.553131245E0	1.000197060E3	6.698708217E-2
1.568131557E0	1.000261434E3	8.886433144E-2
1.583131870E0	1.000287908E3	9.786062584E-2
1.598132182E0	1.000390183E3	1.326104455E-1
1.613132495E0	1.000490451E3	1.666716416E-1
1.628132807E0	1.000618568E3	2.101831579E-1
1.643133120E0	1.000732771E3	2.489596970E-1
1.658133432E0	1.000910860E3	3.094106551E-1
1.673133745E0	1.001053768E3	3.579038374E-1
1.688134057E0	1.001109159E3	3.766962899E-1
1.703134370E0	1.001129884E3	3.837270518E-1
1.718134682E0	1.001154047E3	3.919237982E-1
1.733134995E0	1.000977101E3	3.318900147E-1
1.748135307E0	1.000937265E3	3.183716994E-1
1.763135620E0	1.000960921E3	3.263996321E-1
1.778135932E0	1.001045860E3	3.552207331E-1
1.793136245E0	1.001555701E3	5.281169111E-1
1.808136557E0	1.001797321E3	6.099928185E-1
1.823136870E0	1.002173320E3	7.373264179E-1
1.838137182E0	1.002206568E3	7.485813789E-1
1.853137495E0	1.002061049E3	6.993151964E-1
1.868137807E0	1.001476205E3	5.011697222E-1
1.883138120E0	9.999423570E2	-1.959976161E-2
1.898138432E0	9.989287610E2	-3.646118579E-1
1.913138745E0	9.988579347E2	-3.887461833E-1
1.928139057E0	9.984527009E2	-5.268969455E-1
1.943139370E0	9.980845630E2	-6.524984037E-1
