"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.002617414E0	2.126848698E-1	-3.577641010E0	3.058013916E-1	3.596979920E0
1.012748280E0	2.148642540E-1	-3.596836567E0	1.888027191E-1	3.608191570E0
1.022879146E0	2.531045675E-1	-3.531381845E0	2.320289612E-3	3.540441363E0
1.033010012E0	2.743393183E-1	-3.516453266E0	-2.687587738E-1	3.537362989E0
1.043174212E0	2.598712444E-1	-3.449049950E0	-2.828569412E-1	3.470372699E0
1.053338378E0	3.098456860E-1	-3.546366215E0	-3.012065887E-1	3.572596127E0
1.063469211E0	3.209455013E-1	-3.738195181E0	-1.099948883E-1	3.753559391E0
1.073600077E0	3.082689047E-1	-3.749520779E0	-5.852794647E-2	3.762626916E0
1.083730910E0	3.617005348E-1	-3.703527689E0	-1.666984558E-1	3.724880266E0
1.093861776E0	3.644295931E-1	-3.616654873E0	-1.772289276E-1	3.639287223E0
1.103992642E0	3.722821474E-1	-3.532752514E0	-6.333265305E-1	3.608328812E0
1.114123508E0	3.501830101E-1	-3.513292789E0	-6.889963150E-1	3.597300417E0
1.124254374E0	3.115531206E-1	-3.490814924E0	-6.450147629E-1	3.563551350E0
1.134385240E0	3.361334801E-1	-3.463849783E0	-5.874118805E-1	3.529347497E0
1.144549473E0	3.290868998E-1	-3.384872675E0	-6.534233093E-1	3.463036707E0
1.154713639E0	2.981129885E-1	-3.310899019E0	-7.417116165E-1	3.406032852E0
1.164911172E0	3.267012835E-1	-3.281708002E0	-7.773914337E-1	3.388315006E0
1.175108672E0	3.136956692E-1	-3.213704824E0	-7.837066650E-1	3.322724757E0
1.185306205E0	3.180966377E-1	-3.243515253E0	-7.413063049E-1	3.342321305E0
1.195503738E0	3.869135380E-1	-3.175044537E0	-8.563385010E-1	3.311181892E0
1.205667904E0	3.893871307E-1	-3.106414080E0	-9.351263046E-1	3.267398350E0
1.215832070E0	3.691534996E-1	-3.022991419E0	-9.562168121E-1	3.192037283E0
1.225996270E0	3.535871506E-1	-2.979586601E0	-9.601984024E-1	3.150387462E0
1.236160436E0	2.726811171E-1	-2.916224003E0	-8.773813248E-1	3.057534205E0
1.246324636E0	2.658147812E-1	-2.830366135E0	-8.537902832E-1	2.968263432E0
1.256488802E0	2.462750673E-1	-2.726112366E0	-8.564596176E-1	2.868076553E0
1.266652968E0	2.298958302E-1	-2.605366230E0	-9.099264145E-1	2.769251048E0
1.276817168E0	1.950500011E-1	-2.484434128E0	-9.256229401E-1	2.658427217E0
1.286948001E0	1.731965542E-1	-2.410907030E0	-8.480300903E-1	2.561566862E0
1.297078867E0	1.734021902E-1	-2.391602755E0	-7.247390747E-1	2.505010735E0
1.307209700E0	1.745327711E-1	-2.331962109E0	-5.964031219E-1	2.413339108E0
1.317340566E0	1.738567352E-1	-2.265359402E0	-5.420942307E-1	2.335796553E0
1.327504766E0	1.490468979E-1	-2.167347908E0	-5.403900146E-1	2.238667751E0
1.337668966E0	1.362739801E-1	-2.059442520E0	-4.619569778E-1	2.115012610E0
1.347833166E0	1.128783226E-1	-1.961081505E0	-4.263162613E-1	2.010056651E0
1.357997366E0	5.911839008E-2	-1.826168537E0	-3.274936676E-1	1.856243145E0
1.368161532E0	3.370451927E-2	-1.715516806E0	-1.776628494E-1	1.725021157E0
1.378325732E0	3.903377056E-2	-1.585912108E0	-9.211349487E-2	1.589064425E0
1.388489932E0	1.675784588E-2	-1.413101792E0	-3.062629700E-2	1.413532975E0
1.398654132E0	-2.244281769E-2	-1.283531904E0	5.928421021E-2	1.285096279E0
1.408851665E0	-3.465211391E-2	-1.259566188E0	5.802726746E-2	1.261378181E0
1.419049165E0	-3.723323345E-2	-1.077580810E0	3.872613907E-1	1.145660552E0
1.429246665E0	-2.108347416E-2	-9.289343357E-1	5.611610413E-1	1.085479262E0
1.439444198E0	-2.887570858E-2	-9.091022015E-1	5.606193542E-1	1.068454341E0
1.449641698E0	-4.864668846E-2	-8.090838194E-1	6.346454620E-1	1.029445477E0
1.459839198E0	-5.706501007E-2	-5.736668706E-1	7.855405807E-1	9.743839581E-1
1.470003364E0	-9.269165993E-2	-4.036782682E-1	8.456707001E-1	9.416511143E-1
1.480167564E0	-1.139860153E-1	-2.634164393E-1	9.324636459E-1	9.756379878E-1
1.490365097E0	-1.085542440E-1	-2.475973070E-1	9.338178635E-1	9.721647250E-1
1.500562563E0	-1.483161449E-1	7.913139462E-2	1.055281639E0	1.068587289E0
1.510760063E0	-1.774233580E-1	2.433685362E-1	1.114691734E0	1.154662269E0
1.520957596E0	-1.833560467E-1	3.965670466E-1	1.152519226E0	1.232552404E0
1.531188462E0	-1.795986891E-1	5.489909649E-1	1.281108856E0	1.405306611E0
1.541419295E0	-1.716796160E-1	6.885547638E-1	1.393071175E0	1.563402971E0
1.551650128E0	-1.796121597E-1	8.188207150E-1	1.486198425E0	1.706315812E0
1.561880994E0	-1.717973948E-1	8.460206389E-1	1.488734245E0	1.720928505E0
1.572145194E0	-1.599949598E-1	9.950131178E-1	1.549166679E0	1.848125237E0
1.582409327E0	-1.303433180E-1	1.282328129E0	1.435185432E0	1.929018413E0
1.592673493E0	-1.169371605E-1	1.411065817E0	1.378971100E0	1.976446896E0
1.602937659E0	-1.052056551E-1	1.445990801E0	1.382978439E0	2.003643429E0
1.613235159E0	-1.108468771E-1	1.690820336E0	1.241626740E0	2.100665942E0
1.623532625E0	-1.023521423E-1	1.865565896E0	1.162797928E0	2.200661513E0
1.633830125E0	-1.066340208E-1	1.977259159E0	1.249368668E0	2.341334377E0
1.644127591E0	-1.345672607E-1	2.079035759E0	1.465648651E0	2.547277763E0
1.654425091E0	-1.197495461E-1	2.125818968E0	1.471998215E0	2.588479280E0
1.664722557E0	-1.454905272E-1	2.233152866E0	1.716712952E0	2.820503958E0
1.675020057E0	-1.368674040E-1	2.547094107E0	1.751244545E0	3.094071514E0
1.685317523E0	-1.474206448E-1	2.730246067E0	1.695199966E0	3.217091755E0
1.695581656E0	-1.155153513E-1	2.837225437E0	1.402389526E0	3.166999899E0
1.705845789E0	-1.005511284E-1	2.887474537E0	1.410556793E0	3.215165656E0
1.716109955E0	-2.274477482E-2	2.976124525E0	1.291780472E0	3.244461635E0
1.726374121E0	3.877162933E-2	3.062499523E0	1.024999619E0	3.229710635E0
1.736638287E0	5.291128159E-2	3.235212564E0	1.290596962E0	3.483538497E0
1.746902420E0	1.836180687E-3	3.347471476E0	1.522406578E0	3.677402676E0
1.757133220E0	-2.457165718E-2	3.484258175E0	1.679696083E0	3.868079333E0
1.767364053E0	-2.214455605E-2	3.552078962E0	1.706502914E0	3.940800367E0
1.777594886E0	2.731323242E-3	3.588289261E0	1.716106415E0	3.977543024E0
1.787825719E0	1.255513430E-1	3.801410913E0	1.467226028E0	4.076670246E0
1.798023185E0	1.627351046E-1	3.892416000E0	1.284769058E0	4.102196554E0
1.808220751E0	2.069180012E-1	4.026443958E0	8.701400757E-1	4.124586011E0
1.818418251E0	2.087093592E-1	4.023113251E0	8.699426651E-1	4.121383271E0
1.828615751E0	1.792764664E-1	4.149842262E0	7.640037537E-1	4.223391124E0
1.838779884E0	1.949201822E-1	4.120530128E0	7.623844147E-1	4.194996116E0
1.848944084E0	2.389051914E-1	4.168894768E0	4.184436798E-1	4.196647994E0
1.859108284E0	2.678413391E-1	4.164536476E0	3.809947968E-1	4.190496400E0
1.869272450E0	2.670289278E-1	4.187783241E0	3.855171204E-1	4.213959702E0
1.879436616E0	2.777471542E-1	4.106260777E0	3.771095276E-1	4.132884301E0
1.889600816E0	3.172574043E-1	4.233128548E0	2.436704636E-1	4.251988342E0
1.899765016E0	3.192871809E-1	4.135109425E0	2.334098816E-1	4.153980552E0
1.909929182E0	4.337514639E-1	4.216563225E0	-2.699756622E-1	4.247403044E0
1.920060048E0	4.973584414E-1	4.160489082E0	-5.523614883E-1	4.226362270E0
1.930190914E0	5.463225842E-1	4.137981415E0	-8.361730576E-1	4.256823221E0
1.940321747E0	5.225174427E-1	4.102597713E0	-1.027553558E0	4.261478475E0
1.950452613E0	5.240027905E-1	3.993345022E0	-1.033055305E0	4.157954624E0
1.960550113E0	5.699133873E-1	4.012406349E0	-1.224215508E0	4.233545747E0
1.970647646E0	5.506216288E-1	3.965684414E0	-1.249415398E0	4.194147814E0
1.980745179E0	5.608494282E-1	3.874369144E0	-1.270901680E0	4.115881367E0
1.990842712E0	5.687547922E-1	3.805948019E0	-1.317197800E0	4.067398724E0
2.000973612E0	5.785233974E-1	3.753372192E0	-1.414867401E0	4.052695634E0
2.011104478E0	6.026295424E-1	3.666527987E0	-1.521273613E0	4.015079482E0
2.021201978E0	6.479935646E-1	3.601339340E0	-1.622674942E0	4.002825836E0
2.031299544E0	6.389973164E-1	3.517683268E0	-1.695532322E0	3.956923426E0
2.041397077E0	6.383492947E-1	3.450441360E0	-1.740035534E0	3.916728107E0
2.051494643E0	6.107740402E-1	3.381979227E0	-1.762859821E0	3.862447821E0
2.061592176E0	6.021025181E-1	3.324130297E0	-1.761658192E0	3.809961844E0
2.071689742E0	5.621249676E-1	3.279085159E0	-1.729327202E0	3.749527508E0
2.081787275E0	5.331654549E-1	3.170336723E0	-1.599063873E0	3.590585692E0
2.091884808E0	4.926264286E-1	3.090816975E0	-1.502364159E0	3.471732771E0
2.101982341E0	4.638268948E-1	2.984900475E0	-1.343173981E0	3.305886050E0
2.112079874E0	4.610607624E-1	2.907235861E0	-1.234061241E0	3.191787042E0
2.122177407E0	4.802625179E-1	2.835521221E0	-1.129823685E0	3.089876088E0
2.132274940E0	4.672790766E-1	2.773747206E0	-1.076181412E0	3.011675568E0
2.142372473E0	4.620375633E-1	2.685847282E0	-9.751148224E-1	2.894495336E0
2.152470006E0	4.538733959E-1	2.664313793E0	-9.747810364E-1	2.873111052E0
2.162567539E0	3.944398165E-1	2.486077547E0	-8.765115738E-1	2.665414954E0
2.172665072E0	3.616027832E-1	2.428248882E0	-7.738313675E-1	2.574094830E0
2.182729272E0	3.245617151E-1	2.361190319E0	-6.355285645E-1	2.466669128E0
2.192793472E0	2.654823065E-1	2.279625416E0	-4.397745132E-1	2.336787221E0
2.202857672E0	2.246127129E-1	2.188252687E0	-3.107376099E-1	2.221589196E0
2.212921872E0	1.984100342E-1	2.057846069E0	-1.978845596E-1	2.076837809E0
2.222986072E0	1.848495007E-1	1.938530445E0	-1.202945709E-1	1.951035727E0
2.233050272E0	1.759536266E-1	1.830921173E0	1.086235046E-3	1.839356736E0
2.243081138E0	1.590280533E-1	1.732096195E0	1.248617172E-1	1.743857104E0
2.253112038E0	1.399451494E-1	1.635431528E0	2.220335007E-1	1.656357390E0
2.263142904E0	1.043919325E-1	1.483759403E0	2.782201767E-1	1.513223747E0
2.273173804E0	7.019627094E-2	1.346962571E0	3.845319748E-1	1.402533609E0
2.283204670E0	2.593922615E-2	1.194364905E0	4.380559921E-1	1.272428160E0
2.293235570E0	-1.335358620E-2	1.096836925E0	5.440750122E-1	1.224437494E0
2.303233070E0	-2.278816700E-2	1.079559922E0	5.445585251E-1	1.209344001E0
2.313230636E0	-1.125581264E-1	8.432815075E-1	7.914304733E-1	1.161961801E0
2.323228169E0	-1.215180159E-1	8.338278532E-1	7.911272049E-1	1.155819091E0
2.333225702E0	-1.580282450E-1	7.040531635E-1	8.835248947E-1	1.140736614E0
2.343223268E0	-1.760354042E-1	4.111199379E-1	9.824848175E-1	1.079483434E0
2.353220801E0	-1.864433289E-1	2.660744190E-1	1.037919044E0	1.087581102E0
2.363218367E0	-1.952583790E-1	2.736003399E-1	1.035658836E0	1.088839844E0
2.373215900E0	-2.185415030E-1	4.952430725E-3	1.196110725E0	1.215921783E0
2.383213466E0	-2.229620218E-1	1.978898048E-2	1.193703651E0	1.214508985E0
2.393210999E0	-2.817647457E-1	-3.024768829E-1	1.418553352E0	1.477557867E0
2.403208565E0	-2.870627642E-1	-2.827796936E-1	1.415522575E0	1.471758658E0
2.413206098E0	-3.187350035E-1	-6.285499334E-1	1.610799789E0	1.758221540E0
2.423203664E0	-3.555829525E-1	-8.230278492E-1	1.715294838E0	1.935471637E0
2.433201230E0	-3.952728510E-1	-9.922989011E-1	1.774753571E0	2.071387934E0
2.443198796E0	-4.195674658E-1	-1.134579897E0	1.842123985E0	2.203798806E0
2.453196362E0	-4.667875767E-1	-1.290863395E0	1.934182167E0	2.371767189E0
2.463193895E0	-4.713605642E-1	-1.423695087E0	1.940648079E0	2.452591171E0
2.473191461E0	-4.687881470E-1	-1.416335583E0	1.940288544E0	2.447547434E0
2.483188994E0	-4.767787457E-1	-1.552094102E0	1.942607880E0	2.531805571E0
2.493186560E0	-4.544464350E-1	-1.804881692E0	1.794419289E0	2.585354921E0
2.503184126E0	-4.442605972E-1	-1.918033838E0	1.778298378E0	2.653029665E0
2.513181692E0	-4.535022974E-1	-2.048502684E0	1.783708572E0	2.753841653E0
2.523179258E0	-4.685755968E-1	-2.197918415E0	1.792222977E0	2.874451539E0
2.533176824E0	-4.579501152E-1	-2.308907986E0	1.789632797E0	2.956951123E0
2.543174390E0	-4.602962732E-1	-2.474372864E0	1.728046417E0	3.052955641E0
2.553171923E0	-4.449069500E-1	-2.610139370E0	1.672111511E0	3.131569356E0
2.563202856E0	-4.525423050E-1	-2.674984932E0	1.679332733E0	3.190689166E0
2.573233722E0	-4.492948055E-1	-2.877972603E0	1.551287651E0	3.300164466E0
2.583264622E0	-4.273111820E-1	-3.004822731E0	1.494600296E0	3.383102797E0
2.593295488E0	-4.487973452E-1	-3.122572184E0	1.412532806E0	3.456461345E0
2.603326388E0	-4.488004446E-1	-3.195182800E0	1.424094200E0	3.526848346E0
2.613357254E0	-4.264508486E-1	-3.335464001E0	1.083317757E0	3.532811598E0
2.623388154E0	-4.291080236E-1	-3.397136450E0	1.093643188E0	3.594541025E0
2.633419054E0	-3.192752600E-1	-3.508698702E0	7.505884171E-1	3.602261268E0
2.643483287E0	-3.168736696E-1	-3.561424971E0	6.216516495E-1	3.629133163E0
2.653547487E0	-2.952316999E-1	-3.606426477E0	5.455865860E-1	3.659390443E0
2.663611687E0	-2.699364424E-1	-3.651379108E0	4.162817001E-1	3.684932229E0
2.673675920E0	-2.338409424E-1	-3.647521019E0	2.746639252E-1	3.665314644E0
