"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"	"Absolute (rad/s)"
2.501675470E0	-1.023138221E-2	1.035905257E-2	2.520594895E-1	2.524796574E-1
2.503676803E0	-1.145311259E-2	-8.577770554E-3	2.471725792E-1	2.475864209E-1
2.505677969E0	-1.389657333E-2	-2.384940162E-2	2.459508330E-1	2.474948907E-1
2.507679302E0	-1.389657333E-2	-3.240151703E-2	2.422856390E-1	2.448373010E-1
2.509681302E0	-1.389657333E-2	-5.927958712E-2	2.398421913E-1	2.474499160E-1
2.511682635E0	-1.267484296E-2	-7.149688900E-2	2.422856390E-1	2.529323777E-1
2.513683968E0	-1.023138221E-2	-8.432506025E-2	2.367878556E-1	2.515628859E-1
2.515685634E0	-9.009650908E-3	-9.898582101E-2	2.373987287E-1	2.573665149E-1
2.517686967E0	-5.344459787E-3	-1.154791862E-1	2.367878556E-1	2.635004635E-1
2.519688300E0	-1.068403362E-3	-1.252530217E-1	2.355661243E-1	2.667974135E-1
2.521689666E0	7.641924312E-4	-1.301399469E-1	2.349552661E-1	2.685907051E-1
2.523685932E0	3.207653295E-3	-1.405246556E-1	2.325118035E-1	2.716969021E-1
2.525687265E0	1.053803600E-2	-1.386920661E-1	2.355661243E-1	2.735652360E-1
2.527688631E0	1.481409278E-2	-1.448007226E-1	2.355661243E-1	2.769081175E-1
2.529694864E0	2.764226310E-2	-1.429681182E-1	2.386204600E-1	2.795419494E-1
2.531696197E0	3.191832080E-2	-1.460224390E-1	2.367878556E-1	2.800175360E-1
2.533697197E0	3.314004838E-2	-1.411355287E-1	2.386204600E-1	2.792082094E-1
2.535699230E0	4.596821964E-2	-1.466333121E-1	2.404530495E-1	2.853630573E-1
2.537700563E0	5.513120070E-2	-1.472441852E-1	2.435073853E-1	2.898553882E-1
2.539701929E0	6.551590562E-2	-1.472441852E-1	2.459508330E-1	2.940493091E-1
2.541703262E0	6.918109953E-2	-1.466333121E-1	2.477834374E-1	2.961148166E-1
2.543704595E0	8.017667383E-2	-1.380812079E-1	2.520594895E-1	2.983767840E-1
2.545705961E0	8.445272595E-2	-1.289182305E-1	2.563355267E-1	2.990987719E-1
2.547706261E0	9.239397943E-2	-1.270856261E-1	2.587790191E-1	3.027440908E-1
2.549713461E0	1.076656133E-1	-1.099814028E-1	2.624442279E-1	3.042445826E-1
2.551714827E0	1.076656133E-1	-1.099814028E-1	2.624442279E-1	3.042445826E-1
2.553716160E0	1.156068593E-1	-9.959669411E-2	2.661094069E-1	3.067550552E-1
2.555717793E0	1.247698367E-1	-8.676852286E-2	2.661094069E-1	3.064482096E-1
2.557719159E0	1.272132993E-1	-8.371419460E-2	2.722180486E-1	3.119197907E-1
2.559720492E0	1.388197392E-1	-7.332948595E-2	2.758832276E-1	3.174266668E-1
2.561721825E0	1.424849182E-1	-7.516207546E-2	2.764941156E-1	3.200004460E-1
2.563724191E0	1.479827166E-1	-6.905342638E-2	2.795484364E-1	3.237508122E-1
2.565725724E0	1.504261792E-1	-6.722082943E-2	2.819918692E-1	3.265977489E-1
2.567727057E0	1.577565670E-1	-7.271862030E-2	2.838245034E-1	3.327634008E-1
2.569727757E0	1.608108878E-1	-7.760554552E-2	2.856570780E-1	3.368719765E-1
2.571729090E0	1.675304174E-1	-8.737938851E-2	2.856570780E-1	3.424931598E-1
2.573730423E0	1.736390591E-1	-1.105922610E-1	2.850461900E-1	3.516141372E-1
2.575736356E0	1.785259843E-1	-1.399137974E-1	2.862679362E-1	3.652351695E-1
2.577737689E0	1.834129095E-1	-1.551854312E-1	2.856570780E-1	3.732596679E-1
2.579740422E0	1.962410808E-1	-2.046655118E-1	2.856570780E-1	4.024903722E-1
2.581741755E0	1.992954016E-1	-2.205480039E-1	2.850461900E-1	4.118390578E-1
2.583746321E0	2.078475058E-1	-2.382631004E-1	2.850461900E-1	4.257008587E-1
2.585747654E0	2.090692371E-1	-2.462043464E-1	2.856570780E-1	4.311919437E-1
2.587753054E0	2.176213562E-1	-2.559781969E-1	2.874896824E-1	4.421925027E-1
2.589749487E0	2.249517292E-1	-2.620868385E-1	2.856570780E-1	4.482106174E-1
2.591750853E0	2.286169231E-1	-2.633085549E-1	2.862679362E-1	4.511611950E-1
2.593752553E0	2.365581840E-1	-2.590325177E-1	2.856570780E-1	4.523909657E-1
2.595757986E0	2.438885719E-1	-2.510912716E-1	2.893222570E-1	4.541319528E-1
2.597759352E0	2.493863553E-1	-2.474260926E-1	2.893222570E-1	4.551050362E-1
2.599760685E0	2.603819370E-1	-2.266566604E-1	2.911548913E-1	4.516006705E-1
2.601762018E0	2.652688324E-1	-2.339870483E-1	2.899331450E-1	4.573606026E-1
2.603766818E0	2.719883621E-1	-2.394848317E-1	2.893222570E-1	4.637219233E-1
2.605768151E0	2.805404663E-1	-2.462043464E-1	2.899331450E-1	4.726317404E-1
2.607771784E0	2.927577794E-1	-2.626977265E-1	2.899331450E-1	4.886496101E-1
2.609767284E0	3.031424880E-1	-2.755258679E-1	2.935983241E-1	5.039938966E-1
2.611768617E0	3.104728758E-1	-2.816345096E-1	2.893222570E-1	5.093316916E-1
2.613769950E0	3.196358681E-1	-2.834671438E-1	2.942092121E-1	5.187289950E-1
2.615770983E0	3.281879723E-1	-2.834671438E-1	2.911548913E-1	5.223333586E-1
2.617772316E0	3.391835392E-1	-2.761367559E-1	2.929874659E-1	5.264395847E-1
2.619773649E0	3.501791060E-1	-2.626977265E-1	2.948200703E-1	5.277825079E-1
2.621775015E0	3.550660312E-1	-2.584216595E-1	2.948200703E-1	5.289352649E-1
2.623775348E0	3.666724861E-1	-2.407065630E-1	2.978743911E-1	5.302051625E-1
2.625778748E0	3.740028739E-1	-2.284892648E-1	2.990961373E-1	5.306071929E-1
2.627780114E0	3.849984407E-1	-2.046655118E-1	3.009287119E-1	5.297828430E-1
2.629782347E0	3.935505450E-1	-1.820634902E-1	3.015395701E-1	5.281621515E-1
2.631783680E0	3.990483284E-1	-1.722896546E-1	3.009287119E-1	5.286599882E-1
2.633784746E0	4.076004326E-1	-1.539636999E-1	3.015395701E-1	5.298764440E-1
2.635786712E0	4.130982459E-1	-1.460224390E-1	3.033721745E-1	5.329234370E-1
2.637788045E0	4.210394919E-1	-1.338051409E-1	3.039830327E-1	5.362683597E-1
2.639788011E0	4.289807379E-1	-1.258638948E-1	3.039830327E-1	5.406217510E-1
2.641789344E0	4.332567751E-1	-1.160900518E-1	3.064265251E-1	5.432177728E-1
2.643787444E0	4.350893795E-1	-1.087596640E-1	3.058156371E-1	5.428209987E-1
2.645788810E0	4.399763048E-1	-1.057053432E-1	3.058156371E-1	5.461464751E-1
2.647789776E0	4.442523420E-1	-1.075379401E-1	3.058156371E-1	5.499525033E-1
2.649791109E0	4.473066926E-1	-1.118139923E-1	3.052047789E-1	5.529336336E-1
2.651792442E0	4.485284090E-1	-1.160900518E-1	3.064265251E-1	5.554744361E-1
2.653793775E0	4.479175508E-1	-1.234204322E-1	3.052047789E-1	5.558891009E-1
2.655794675E0	4.491392970E-1	-1.319725513E-1	3.052047789E-1	5.588316558E-1
2.657796008E0	4.503610134E-1	-1.515202373E-1	3.045938909E-1	5.644119622E-1
2.659802574E0	4.503610134E-1	-1.680136025E-1	3.039830327E-1	5.687348215E-1
2.661803907E0	4.503610134E-1	-1.759548485E-1	3.033721745E-1	5.708062959E-1
2.663801807E0	4.503610134E-1	-1.930590719E-1	3.027613163E-1	5.759872067E-1
2.665803140E0	4.515827298E-1	-2.052763849E-1	3.033721745E-1	5.814636982E-1
2.667807140E0	4.521936178E-1	-2.089415789E-1	3.027613163E-1	5.829237223E-1
2.669808473E0	4.503610134E-1	-2.156610936E-1	3.027613163E-1	5.839513373E-1
2.671809806E0	4.479175508E-1	-2.187154144E-1	3.027613163E-1	5.832074926E-1
2.673811172E0	4.485284090E-1	-2.156610936E-1	3.027613163E-1	5.825391451E-1
2.675812838E0	4.491392970E-1	-2.058872432E-1	3.052047789E-1	5.807457465E-1
2.677814171E0	4.424197674E-1	-2.016111910E-1	3.045938909E-1	5.737244646E-1
2.679815537E0	4.411980212E-1	-1.863395572E-1	3.058156371E-1	5.682440746E-1
2.681816870E0	4.399763048E-1	-1.771765798E-1	3.070373535E-1	5.650155977E-1
2.683818203E0	4.332567751E-1	-1.667918712E-1	3.064265251E-1	5.562626869E-1
2.685817503E0	4.344785213E-1	-1.582397670E-1	3.064265251E-1	5.547149039E-1
2.687818836E0	4.253155589E-1	-1.454115957E-1	3.058156371E-1	5.436552775E-1
2.689819269E0	4.179851711E-1	-1.289182305E-1	3.088699579E-1	5.354737756E-1
2.691820635E0	4.161525667E-1	-1.264747679E-1	3.058156371E-1	5.316973101E-1
2.693822268E0	4.124873579E-1	-1.234204322E-1	3.052047789E-1	5.277578806E-1
2.695818401E0	4.076004326E-1	-1.203661114E-1	3.064265251E-1	5.239497388E-1
2.697819767E0	3.984374702E-1	-1.197552383E-1	3.027613163E-1	5.145465474E-1
2.699827467E0	3.886636496E-1	-1.234204322E-1	3.021504581E-1	5.075302305E-1
2.701828800E0	3.856092691E-1	-1.209769771E-1	3.027613163E-1	5.049696546E-1
2.703834600E0	3.740028739E-1	-1.283073574E-1	2.990961373E-1	4.957816324E-1
2.705835933E0	3.721702695E-1	-1.307508200E-1	2.960417867E-1	4.932009995E-1
2.707835833E0	3.623964190E-1	-1.399137974E-1	2.942092121E-1	4.873049309E-1
2.709837199E0	3.495682478E-1	-1.484659165E-1	2.917657495E-1	4.789231053E-1
2.711838532E0	3.446813226E-1	-1.515202373E-1	2.887113988E-1	4.744658768E-1
2.713839865E0	3.336857557E-1	-1.570180207E-1	2.868788242E-1	4.672261789E-1
2.715836531E0	3.239119053E-1	-1.612940878E-1	2.838245034E-1	4.598815651E-1
2.717837864E0	3.184141219E-1	-1.661809981E-1	2.807701826E-1	4.558898689E-1
2.719840530E0	3.019207418E-1	-1.655701399E-1	2.758832276E-1	4.412268813E-1
2.721841896E0	2.958121002E-1	-1.612940878E-1	2.722180486E-1	4.331549923E-1
2.723847896E0	2.829839587E-1	-1.619049460E-1	2.685528696E-1	4.223905493E-1
2.725849229E0	2.787078917E-1	-1.600723565E-1	2.667202353E-1	4.176612648E-1
2.727850129E0	2.652688324E-1	-1.502985060E-1	2.648876607E-1	4.038844726E-1
2.729851462E0	2.542732656E-1	-1.484659165E-1	2.563355267E-1	3.903907327E-1
2.731852795E0	2.481646091E-1	-1.393029392E-1	2.575572729E-1	3.838316439E-1
2.733854128E0	2.335038483E-1	-1.301399469E-1	2.545029521E-1	3.690964719E-1
2.735855161E0	2.231191397E-1	-1.148683280E-1	2.508377731E-1	3.548189280E-1
2.737856161E0	2.163996249E-1	-1.130357310E-1	2.471725792E-1	3.474192828E-1
2.739863261E0	1.937976032E-1	-9.654236585E-2	2.416747957E-1	3.244759565E-1
2.741864594E0	1.901324093E-1	-8.921198547E-2	2.380096018E-1	3.174235057E-1
2.743866660E0	1.821911782E-1	-8.310332894E-2	2.373987287E-1	3.105767942E-1
2.745868126E0	1.705847383E-1	-6.844256818E-2	2.319009453E-1	2.959080710E-1
2.747869459E0	1.571456939E-1	-6.294477731E-2	2.288466245E-1	2.846534589E-1
2.749870825E0	1.430957913E-1	-5.133833736E-2	2.276248783E-1	2.737245250E-1
2.751872158E0	1.388197392E-1	-5.011660606E-2	2.239596844E-1	2.682173269E-1
2.753873491E0	1.241589710E-1	-4.339708760E-2	2.215162367E-1	2.576202640E-1
2.755874591E0	1.113307998E-1	-3.728843853E-2	2.154075801E-1	2.453271290E-1
2.757875924E0	1.076656133E-1	-3.606670722E-2	2.160184532E-1	2.440423402E-1
2.759870890E0	8.933965117E-2	-2.934718877E-2	2.074663192E-1	2.277830204E-1
2.761872256E0	8.262012899E-2	-3.179064766E-2	2.080771923E-1	2.261257370E-1
2.763869156E0	7.712234557E-2	-2.629286237E-2	2.080771923E-1	2.234620522E-1
2.765870156E0	6.551590562E-2	-2.262767032E-2	2.044119984E-1	2.158439493E-1
2.767869256E0	5.452033132E-2	-2.079507522E-2	2.013576776E-1	2.096421141E-1
2.769870589E0	4.413562268E-2	-1.590815187E-2	1.983033419E-1	2.037774224E-1
2.771871922E0	3.802697361E-2	-1.774074882E-2	1.964707524E-1	2.009018204E-1
2.773873288E0	2.947486006E-2	-1.468642242E-2	1.952490211E-1	1.980066630E-1
2.775874954E0	2.397707105E-2	-1.163209602E-2	1.946381480E-1	1.964541021E-1
2.777875954E0	1.298149768E-2	-5.523443688E-3	1.909729540E-1	1.914933338E-1
2.779870754E0	1.985922921E-3	-7.966904901E-3	1.891403794E-1	1.893185110E-1
2.781872087E0	-8.398786187E-3	-1.102123037E-2	1.897512376E-1	1.902565092E-1
2.783868753E0	-1.328570861E-2	-5.523443688E-3	1.866969168E-1	1.872505200E-1
2.785874819E0	-2.367041819E-2	-6.134308875E-3	1.836425960E-1	1.852633842E-1
2.787871652E0	-3.222253174E-2	-5.523443688E-3	1.830317229E-1	1.859285120E-1
2.789874485E0	-4.077464342E-2	-9.188635275E-3	1.830317229E-1	1.877434797E-1
