"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	2.205045292E0
4.687500000E1	2.151013723E0
7.031250000E1	4.046523869E0
9.375000000E1	2.517769474E0
1.171875000E2	1.953622094E0
1.406250000E2	3.482393917E0
1.640625000E2	1.851594107E0
1.875000000E2	5.697315395E0
2.109375000E2	8.463663246E-1
2.343750000E2	1.489710189E0
2.578125000E2	1.455025641E0
2.812500000E2	1.323727252E0
3.046875000E2	4.921922981E0
3.281250000E2	1.618806719E0
3.515625000E2	2.503148817E0
3.750000000E2	2.829661048E0
3.984375000E2	2.387754638E0
4.218750000E2	3.165881728E0
4.453125000E2	6.842296823E0
4.687500000E2	7.363672283E0
4.921875000E2	7.218687049E0
5.156250000E2	9.532657806E0
5.390625000E2	1.480441593E1
5.625000000E2	1.497803326E1
5.859375000E2	1.466261399E1
6.093750000E2	7.917864684E0
6.328125000E2	1.505966846E1
6.562500000E2	9.639777201E0
6.796875000E2	1.680328398E1
7.031250000E2	1.119804707E1
7.265625000E2	2.358012156E1
7.500000000E2	9.789112661E0
7.734375000E2	5.480455852E0
7.968750000E2	2.226120588E1
8.203125000E2	7.548307022E0
8.437500000E2	5.347596015E0
8.671875000E2	1.053658397E1
8.906250000E2	1.011333274E1
9.140625000E2	2.678137931E1
9.375000000E2	1.086581566E1
9.609375000E2	1.935490379E0
9.843750000E2	9.538748892E0
1.007812500E3	2.370830379E1
1.031250000E3	2.815380231E0
1.054687500E3	2.055551169E1
1.078125000E3	6.210840934E0
1.101562500E3	1.813415512E1
1.125000000E3	9.204436490E0
1.148437500E3	1.145287104E1
1.171875000E3	6.403595454E0
1.195312500E3	3.650128087E1
1.218750000E3	6.346715064E1
1.242187500E3	1.221058549E2
1.265625000E3	3.295124028E1
1.289062500E3	1.166097063E1
1.312500000E3	2.245896283E1
1.335937500E3	1.336028026E1
1.359375000E3	7.371449414E0
1.382812500E3	2.502652293E1
1.406250000E3	1.009092027E1
1.429687500E3	1.364244701E1
1.453125000E3	9.631022215E0
1.476562500E3	9.297523465E0
1.500000000E3	2.591454751E1
1.523437500E3	5.023262980E0
1.546875000E3	8.828762773E0
1.570312500E3	2.062301180E1
1.593750000E3	7.895024083E0
1.617187500E3	6.409547792E0
1.640625000E3	6.421303685E0
1.664062500E3	7.534956719E0
1.687500000E3	1.428435363E1
1.710937500E3	1.011317352E1
1.734375000E3	1.416910566E1
1.757812500E3	3.705917100E0
1.781250000E3	1.714180739E1
1.804687500E3	1.635790853E1
1.828125000E3	1.081922919E1
1.851562500E3	3.858768725E1
1.875000000E3	5.372786668E0
1.898437500E3	9.162104201E0
1.921875000E3	2.351075513E1
1.945312500E3	3.379178017E0
1.968750000E3	3.075639003E0
1.992187500E3	2.762451128E-1
2.015625000E3	1.529081384E0
2.039062500E3	7.761691503E0
2.062500000E3	9.881103774E0
2.085937500E3	2.325565170E0
2.109375000E3	3.550035324E0
2.132812500E3	8.267746563E0
2.156250000E3	5.364087680E0
2.179687500E3	3.512164068E0
2.203125000E3	4.806676202E0
2.226562500E3	9.655450336E0
2.250000000E3	1.050502711E0
2.273437500E3	5.826247535E-1
2.296875000E3	5.385410883E0
2.320312500E3	6.018097623E0
2.343750000E3	3.231576401E0
2.367187500E3	1.217527633E1
2.390625000E3	7.692241991E0
2.414062500E3	1.094872556E1
2.437500000E3	3.732985070E0
2.460937500E3	7.606755822E0
2.484375000E3	9.719566413E-1
2.507812500E3	1.474780785E0
2.531250000E3	3.274794531E0
2.554687500E3	4.314203142E0
2.578125000E3	7.039942607E0
2.601562500E3	3.829992127E0
2.625000000E3	3.138504807E0
2.648437500E3	2.635728327E0
2.671875000E3	4.901017518E0
2.695312500E3	5.235542501E0
2.718750000E3	2.726992658E0
2.742187500E3	4.963033712E-1
2.765625000E3	1.663795679E0
2.789062500E3	2.458368518E0
2.812500000E3	4.920722640E-1
2.835937500E3	3.931241780E0
2.859375000E3	5.179190155E0
2.882812500E3	5.612055170E0
2.906250000E3	5.360321284E0
2.929687500E3	3.075373445E0
2.953125000E3	5.885439600E0
2.976562500E3	4.119525251E0
3.000000000E3	8.487612634E0
3.023437500E3	1.466284075E0
3.046875000E3	5.143787936E0
3.070312500E3	5.485909302E0
3.093750000E3	3.238172856E0
3.117187500E3	5.884813215E0
3.140625000E3	3.202480400E0
3.164062500E3	1.447131194E0
