"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.674920235E0
4.687500000E1	2.006054376E0
7.031250000E1	4.211164799E0
9.375000000E1	4.515299698E0
1.171875000E2	5.473538361E0
1.406250000E2	7.626265852E0
1.640625000E2	1.843062471E0
1.875000000E2	2.058736288E0
2.109375000E2	5.291386513E0
2.343750000E2	3.923991914E0
2.578125000E2	4.294065486E0
2.812500000E2	3.127667979E0
3.046875000E2	6.295486610E0
3.281250000E2	4.319292733E-1
3.515625000E2	6.390789034E0
3.750000000E2	3.158345607E0
3.984375000E2	4.996276395E0
4.218750000E2	1.558488726E1
4.453125000E2	7.826639097E0
4.687500000E2	8.036809131E0
4.921875000E2	6.991775047E0
5.156250000E2	7.797459120E0
5.390625000E2	2.567423984E0
5.625000000E2	1.553013038E1
5.859375000E2	5.117421530E0
6.093750000E2	9.282476432E0
6.328125000E2	1.324423007E1
6.562500000E2	8.557717887E0
6.796875000E2	3.828104894E0
7.031250000E2	1.555119356E0
7.265625000E2	8.316021251E0
7.500000000E2	8.635420251E0
7.734375000E2	2.140108274E1
7.968750000E2	4.909511645E0
8.203125000E2	7.674431520E1
8.437500000E2	2.298170511E1
8.671875000E2	2.445577782E1
8.906250000E2	6.126633573E0
9.140625000E2	1.040223502E1
9.375000000E2	1.169723442E1
9.609375000E2	1.625825106E1
9.843750000E2	3.731818325E0
1.007812500E3	5.202937412E0
1.031250000E3	1.894512579E1
1.054687500E3	1.118554554E1
1.078125000E3	7.688944344E0
1.101562500E3	1.667648796E0
1.125000000E3	7.718285444E0
1.148437500E3	6.824744310E0
1.171875000E3	1.201166899E1
1.195312500E3	3.062088170E0
1.218750000E3	8.226663586E0
1.242187500E3	4.333104924E0
1.265625000E3	2.325563100E0
1.289062500E3	3.479583639E0
1.312500000E3	5.651298271E0
1.335937500E3	1.492782850E0
1.359375000E3	1.166569470E1
1.382812500E3	5.977294557E0
1.406250000E3	2.132392507E0
1.429687500E3	2.299913219E0
1.453125000E3	6.660061241E0
1.476562500E3	7.690933625E0
1.500000000E3	1.912725290E0
1.523437500E3	2.367488729E0
1.546875000E3	1.817545497E0
1.570312500E3	1.689704331E0
1.593750000E3	1.068666073E1
1.617187500E3	2.389021032E0
1.640625000E3	1.451721979E1
1.664062500E3	1.192918397E1
1.687500000E3	7.683392960E0
1.710937500E3	5.951187620E0
1.734375000E3	1.167286569E1
1.757812500E3	6.338866550E0
1.781250000E3	2.844742007E0
1.804687500E3	1.136464920E0
1.828125000E3	5.363885806E0
1.851562500E3	9.056624149E0
1.875000000E3	3.957567691E0
1.898437500E3	7.135517749E0
1.921875000E3	5.937102657E0
1.945312500E3	4.465811927E-1
1.968750000E3	3.815764333E0
1.992187500E3	4.055376774E0
2.015625000E3	5.587713889E0
2.039062500E3	1.683533804E0
2.062500000E3	8.867066546E0
2.085937500E3	2.615105253E0
2.109375000E3	3.333173569E0
2.132812500E3	8.706549862E-1
2.156250000E3	1.884340846E0
2.179687500E3	2.980761078E0
2.203125000E3	2.780451974E0
2.226562500E3	1.254160724E0
2.250000000E3	2.792621963E0
2.273437500E3	3.489794064E0
2.296875000E3	4.499248996E0
2.320312500E3	1.926893701E0
2.343750000E3	4.027727140E0
2.367187500E3	5.699829251E0
2.390625000E3	1.103588154E0
2.414062500E3	3.874348310E0
2.437500000E3	3.932543701E0
2.460937500E3	8.290588189E0
2.484375000E3	7.394982633E0
2.507812500E3	4.570788318E0
2.531250000E3	1.002860028E0
2.554687500E3	4.901913053E0
2.578125000E3	3.692566933E0
2.601562500E3	1.847719055E0
2.625000000E3	1.657498175E0
2.648437500E3	3.193702051E0
2.671875000E3	1.400472134E0
2.695312500E3	2.080404304E0
2.718750000E3	3.690458042E0
2.742187500E3	9.036127895E-1
2.765625000E3	1.106629020E0
2.789062500E3	1.388527496E0
2.812500000E3	1.349740969E0
2.835937500E3	1.677977605E0
2.859375000E3	2.826202817E0
2.882812500E3	1.265627910E0
2.906250000E3	1.513412310E0
2.929687500E3	1.595517926E0
2.953125000E3	1.978686387E0
2.976562500E3	2.528740213E0
3.000000000E3	1.492951937E0
3.023437500E3	1.605411350E0
3.046875000E3	2.477694854E0
3.070312500E3	1.395417233E0
3.093750000E3	1.941218859E0
3.117187500E3	5.882414028E-1
3.140625000E3	1.352443365E0
3.164062500E3	2.189516785E0
3.187500000E3	1.505586660E0
3.210937500E3	1.602784996E0
3.234375000E3	3.349596914E0
3.257812500E3	2.308630658E0
3.281250000E3	1.944167886E0
3.304687500E3	1.152447606E0
3.328125000E3	1.241413184E0
3.351562500E3	1.840543081E0
3.375000000E3	6.877452851E-1
3.398437500E3	3.484465006E0
3.421875000E3	3.002162167E0
3.445312500E3	2.713116002E0
3.468750000E3	1.698820965E0
3.492187500E3	1.089391786E0
3.515625000E3	2.234819389E0
3.539062500E3	2.723688016E0
3.562500000E3	1.097286082E0
3.585937500E3	3.519368925E-2
3.609375000E3	5.408372886E-1
3.632812500E3	2.103473239E0
3.656250000E3	2.058308159E0
3.679687500E3	1.568703036E0
3.703125000E3	2.787482076E0
3.726562500E3	1.213871518E0
3.750000000E3	7.434476321E-1
3.773437500E3	1.491589859E0
3.796875000E3	1.954947956E0
3.820312500E3	1.030005125E0
3.843750000E3	1.258549991E0
3.867187500E3	1.246567554E0
3.890625000E3	1.590158736E0
3.914062500E3	2.001003084E0
3.937500000E3	1.827763031E0
3.960937500E3	1.639377488E0
3.984375000E3	5.904731555E-1
4.007812500E3	8.237506235E-1
4.031250000E3	1.751722220E-1
4.054687500E3	2.068676029E-1
4.078125000E3	2.265037134E0
4.101562500E3	2.717590577E0
4.125000000E3	2.670371015E0
4.148437500E3	1.414555868E0
4.171875000E3	3.398773707E0
4.195312500E3	2.196981388E0
4.218750000E3	3.886381590E-1
4.242187500E3	1.840495310E0
4.265625000E3	1.192157029E0
4.289062500E3	2.950916388E0
4.312500000E3	1.925730461E0
4.335937500E3	2.621420646E-1
4.359375000E3	1.512694493E0
4.382812500E3	1.621518403E0
4.406250000E3	2.326861056E-1
4.429687500E3	1.983763442E0
4.453125000E3	6.823330315E-1
4.476562500E3	1.171167455E0
4.500000000E3	1.109832960E0
4.523437500E3	4.812110093E-1
4.546875000E3	7.641186137E-1
4.570312500E3	1.191993032E0
4.593750000E3	1.290876906E0
