"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	5.741706718E-1
4.687500000E1	1.046181959E-1
7.031250000E1	6.642255702E-1
9.375000000E1	1.983790152E0
1.171875000E2	3.133529282E0
1.406250000E2	1.097639613E0
1.640625000E2	2.048156228E0
1.875000000E2	4.151807916E0
2.109375000E2	2.677551273E0
2.343750000E2	1.237091470E1
2.578125000E2	2.368474115E0
2.812500000E2	6.128569182E-1
3.046875000E2	4.292329312E0
3.281250000E2	3.844886130E0
3.515625000E2	5.341102609E0
3.750000000E2	8.748283655E0
3.984375000E2	1.474351040E1
4.218750000E2	7.287096371E0
4.453125000E2	2.141891330E1
4.687500000E2	7.241392243E0
4.921875000E2	5.413291834E0
5.156250000E2	1.143387701E0
5.390625000E2	1.025953922E1
5.625000000E2	1.341902582E1
5.859375000E2	4.978479548E0
6.093750000E2	5.372090826E0
6.328125000E2	5.362946415E0
6.562500000E2	1.843290084E0
6.796875000E2	5.252725822E-1
7.031250000E2	3.255862492E0
7.265625000E2	3.848457090E0
7.500000000E2	1.654887688E0
7.734375000E2	6.557149009E0
7.968750000E2	2.885427364E0
8.203125000E2	1.300860965E0
8.437500000E2	7.018335206E0
8.671875000E2	2.923967047E0
8.906250000E2	5.493601977E0
9.140625000E2	2.221553337E-1
9.375000000E2	2.573976260E0
9.609375000E2	4.882553479E0
9.843750000E2	8.071700228E-1
1.007812500E3	3.740697401E0
1.031250000E3	3.844038267E-1
1.054687500E3	5.637110806E0
1.078125000E3	2.661900876E0
1.101562500E3	1.401436696E0
1.125000000E3	8.427163674E-1
1.148437500E3	7.331870307E-1
1.171875000E3	2.810168396E0
1.195312500E3	3.244861943E0
1.218750000E3	1.656906113E0
1.242187500E3	1.211078229E0
1.265625000E3	5.329915124E0
1.289062500E3	3.190171218E0
1.312500000E3	7.394844591E0
1.335937500E3	8.231623956E0
1.359375000E3	3.190011341E0
1.382812500E3	3.710812738E0
1.406250000E3	7.053652223E0
1.429687500E3	3.380128020E0
1.453125000E3	1.380080028E0
1.476562500E3	5.635911284E0
1.500000000E3	5.179132725E0
1.523437500E3	3.867354561E0
1.546875000E3	6.029873092E0
1.570312500E3	5.637855760E0
1.593750000E3	2.576039979E0
1.617187500E3	5.582107451E0
1.640625000E3	1.469449945E1
1.664062500E3	1.334554977E1
1.687500000E3	1.867106150E1
1.710937500E3	6.843956701E0
1.734375000E3	9.046644638E0
1.757812500E3	8.062360194E0
1.781250000E3	6.210640009E0
1.804687500E3	6.656542150E0
1.828125000E3	4.988404143E0
1.851562500E3	4.691197329E0
1.875000000E3	4.272334415E0
1.898437500E3	3.891385141E0
1.921875000E3	4.807438594E0
1.945312500E3	9.011670784E0
1.968750000E3	1.071382145E0
1.992187500E3	4.578474781E0
2.015625000E3	7.645543006E0
2.039062500E3	3.534169750E0
2.062500000E3	3.834977491E0
2.085937500E3	1.036829786E0
2.109375000E3	7.812534980E-1
2.132812500E3	1.848142131E0
2.156250000E3	3.617341015E0
2.179687500E3	1.885564183E0
2.203125000E3	3.081364995E0
2.226562500E3	2.080076494E0
2.250000000E3	2.084857223E0
2.273437500E3	2.768407408E0
2.296875000E3	2.808926101E0
2.320312500E3	3.161834574E0
2.343750000E3	1.531969375E0
2.367187500E3	3.368080511E0
2.390625000E3	2.348321739E0
2.414062500E3	5.897634991E-1
2.437500000E3	3.668943477E0
2.460937500E3	1.293513428E0
2.484375000E3	2.240385369E0
2.507812500E3	2.568082441E0
2.531250000E3	2.278171401E0
2.554687500E3	2.361818875E0
2.578125000E3	3.030667884E0
2.601562500E3	1.868610254E0
2.625000000E3	3.451085546E0
2.648437500E3	3.666500230E0
2.671875000E3	4.663771352E0
2.695312500E3	2.069669571E0
2.718750000E3	4.171852006E0
2.742187500E3	2.830573065E0
2.765625000E3	3.269484670E0
2.789062500E3	2.790577275E-1
2.812500000E3	5.065107259E-1
2.835937500E3	2.622698987E0
2.859375000E3	4.089758088E0
2.882812500E3	1.407048407E0
2.906250000E3	1.259387399E0
2.929687500E3	1.841205806E0
2.953125000E3	3.101404324E0
2.976562500E3	1.510466265E0
3.000000000E3	6.078140550E-1
3.023437500E3	8.990302649E-1
3.046875000E3	2.530959111E0
3.070312500E3	1.325674799E0
3.093750000E3	1.046721858E0
3.117187500E3	1.761283289E0
3.140625000E3	2.691698564E0
3.164062500E3	7.773185678E-1
3.187500000E3	1.469101923E0
3.210937500E3	3.090260345E0
3.234375000E3	9.032037093E-1
3.257812500E3	1.244274699E0
3.281250000E3	1.182064482E0
3.304687500E3	6.713306641E-1
3.328125000E3	2.573905177E0
3.351562500E3	2.137529121E0
3.375000000E3	3.964744075E0
3.398437500E3	1.884950494E0
3.421875000E3	5.252686248E0
3.445312500E3	3.660144367E0
3.468750000E3	1.422032464E0
3.492187500E3	4.523654365E0
3.515625000E3	6.009955185E0
3.539062500E3	1.326228009E0
3.562500000E3	2.943137508E0
3.585937500E3	4.454018545E0
3.609375000E3	3.949945001E0
3.632812500E3	1.805066772E0
3.656250000E3	2.657655462E0
3.679687500E3	2.840862362E0
3.703125000E3	2.945418916E0
3.726562500E3	2.452893406E0
3.750000000E3	2.598912172E0
3.773437500E3	2.944893322E0
3.796875000E3	1.861788023E0
3.820312500E3	4.371361318E0
3.843750000E3	3.494673682E0
3.867187500E3	6.440667157E0
3.890625000E3	5.138938987E0
3.914062500E3	5.031658859E0
3.937500000E3	3.089467331E0
3.960937500E3	3.721750634E0
3.984375000E3	1.028156690E0
4.007812500E3	9.926483430E-1
4.031250000E3	2.625905238E0
4.054687500E3	2.855313776E0
4.078125000E3	1.475546069E0
4.101562500E3	3.128352918E0
4.125000000E3	7.860777877E-1
4.148437500E3	1.416911481E0
4.171875000E3	2.334900295E0
4.195312500E3	2.465818498E0
4.218750000E3	1.809283646E0
4.242187500E3	2.806974108E0
4.265625000E3	2.924905025E0
4.289062500E3	4.138438025E0
4.312500000E3	2.966176903E-2
4.335937500E3	9.053713853E-1
4.359375000E3	2.278628736E0
4.382812500E3	8.330882532E-1
4.406250000E3	1.433938537E0
4.429687500E3	1.678518286E0
4.453125000E3	1.562915397E0
4.476562500E3	2.202394274E0
4.500000000E3	3.048409293E0
4.523437500E3	1.878759070E0
4.546875000E3	3.327726183E0
4.570312500E3	2.112205830E0
4.593750000E3	1.687909590E0
4.617187500E3	4.034188221E0
4.640625000E3	2.389353103E0
4.664062500E3	5.454010928E0
4.687500000E3	4.091065466E-1
4.710937500E3	7.820957840E-1
4.734375000E3	3.026314340E0
4.757812500E3	2.047731076E0
4.781250000E3	6.510805403E-1
4.804687500E3	1.017005049E0
4.828125000E3	5.041701689E-1
4.851562500E3	9.196531524E-1
4.875000000E3	1.014448111E0
4.898437500E3	1.274048889E0
4.921875000E3	3.821373995E-1
4.945312500E3	6.960839747E-1
4.968750000E3	8.606331033E-1
4.992187500E3	1.887077074E0
5.015625000E3	7.133216378E-1
5.039062500E3	1.570906118E0
5.062500000E3	1.417267371E0
5.085937500E3	3.283353171E0
5.109375000E3	3.374062082E-1
5.132812500E3	9.649465862E-1
5.156250000E3	1.791889600E0
5.179687500E3	6.629962460E-1
5.203125000E3	7.986776606E-1
5.226562500E3	1.218503825E0
5.250000000E3	5.454701620E-1
5.273437500E3	1.843767453E0
5.296875000E3	1.316269717E0
5.320312500E3	4.634253665E-1
5.343750000E3	1.039995072E0
5.367187500E3	1.831454569E0
5.390625000E3	2.751311646E0
5.414062500E3	1.026844809E0
5.437500000E3	3.360138133E0
5.460937500E3	1.398662364E0
5.484375000E3	3.985299639E0
5.507812500E3	3.823142811E0
5.531250000E3	7.160007858E-1
5.554687500E3	1.127614776E0
5.578125000E3	1.516289207E0
5.601562500E3	6.405476751E-1
5.625000000E3	7.432875903E-1
5.648437500E3	8.168890250E-1
5.671875000E3	6.679720752E-1
5.695312500E3	6.269586035E-1
5.718750000E3	1.440393359E-1
5.742187500E3	7.681748236E-1
5.765625000E3	1.971967091E0
5.789062500E3	2.504212548E-1
