"Time (s)"	"Recording (a.u.)"
0.000000000E0	3.329569384E-2
2.083333333E-5	6.387524033E-2
4.166666667E-5	1.131015961E-1
6.250000000E-5	1.205786309E-1
8.333333333E-5	1.251869259E-1
1.041666667E-4	6.863612781E-2
1.250000000E-4	1.207617420E-1
1.458333333E-4	1.334269234E-1
1.666666667E-4	3.161717582E-2
1.875000000E-4	6.472975860E-2
2.083333333E-4	1.325418867E-1
2.291666667E-4	7.272560808E-2
2.500000000E-4	6.103701895E-3
2.708333333E-4	-2.746665853E-4
2.916666667E-4	-5.188146611E-4
3.125000000E-4	-2.533036287E-3
3.333333333E-4	-3.085421308E-2
3.541666667E-4	-5.209509568E-2
3.750000000E-4	-2.099673452E-2
3.958333333E-4	7.934812464E-3
4.166666667E-4	-1.675466170E-2
4.375000000E-4	-3.295999023E-3
4.583333333E-4	3.509628590E-2
4.791666667E-4	2.450636311E-2
5.000000000E-4	3.662221137E-3
5.208333333E-4	-1.178014466E-2
5.416666667E-4	7.538071841E-3
5.625000000E-4	4.544206061E-2
5.833333333E-4	6.018250069E-2
6.041666667E-4	2.734458449E-2
6.250000000E-4	2.743614002E-2
6.458333333E-4	7.486190374E-2
6.666666667E-4	-7.141331217E-3
6.875000000E-4	-7.165746025E-2
7.083333333E-4	-1.898251289E-2
7.291666667E-4	-2.581865902E-2
7.500000000E-4	-4.303109836E-2
7.708333333E-4	-4.803613392E-2
7.916666667E-4	-5.038605914E-2
8.125000000E-4	3.051850948E-5
8.333333333E-4	2.304147465E-2
8.541666667E-4	-2.038636433E-2
8.750000000E-4	-4.806665242E-2
8.958333333E-4	-4.541154210E-2
9.166666667E-4	-5.148472549E-2
9.375000000E-4	-5.932798242E-2
9.583333333E-4	-6.762901700E-2
9.791666667E-4	-6.662190619E-2
1.000000000E-3	-8.612323374E-2
1.020833333E-3	-9.878841517E-2
1.041666667E-3	-2.059999390E-2
1.062500000E-3	9.155552843E-5
1.083333333E-3	-3.711050752E-2
1.104166667E-3	-5.035554064E-3
1.125000000E-3	2.136295663E-4
1.145833333E-3	1.919614246E-2
1.166666667E-3	3.430280465E-2
