"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.711167791E0
4.687500000E1	1.902374603E0
7.031250000E1	1.941707259E0
9.375000000E1	3.214833625E0
1.171875000E2	8.381687605E-1
1.406250000E2	1.276451413E0
1.640625000E2	2.403250666E0
1.875000000E2	4.800235762E-1
2.109375000E2	2.744817330E0
2.343750000E2	1.478622962E0
2.578125000E2	3.758616014E0
2.812500000E2	2.254134691E0
3.046875000E2	2.643801584E0
3.281250000E2	6.112445716E0
3.515625000E2	4.438863777E0
3.750000000E2	6.611073536E0
3.984375000E2	4.302414000E0
4.218750000E2	1.029149249E1
4.453125000E2	1.194099589E1
4.687500000E2	1.177067886E1
4.921875000E2	6.252002771E0
5.156250000E2	1.836479177E1
5.390625000E2	1.787676426E1
5.625000000E2	1.704955892E1
5.859375000E2	1.442229010E1
6.093750000E2	3.247572685E0
6.328125000E2	8.666267713E0
6.562500000E2	1.130528865E1
6.796875000E2	3.858699651E0
7.031250000E2	8.189215067E0
7.265625000E2	1.375655966E1
7.500000000E2	4.255475836E0
7.734375000E2	1.161434545E1
7.968750000E2	4.485050248E0
8.203125000E2	9.778528302E0
8.437500000E2	2.173248663E1
8.671875000E2	8.477974813E0
8.906250000E2	1.220491108E1
9.140625000E2	2.666252974E0
9.375000000E2	1.202040003E1
9.609375000E2	9.227726214E0
9.843750000E2	8.526413488E0
1.007812500E3	1.294320139E1
1.031250000E3	2.095155995E1
1.054687500E3	1.687118876E1
1.078125000E3	7.980721940E0
1.101562500E3	4.262786756E0
1.125000000E3	7.036641062E0
1.148437500E3	5.885293557E-1
1.171875000E3	7.757642992E0
1.195312500E3	1.115556268E1
1.218750000E3	4.704513583E0
1.242187500E3	1.026298418E1
1.265625000E3	5.908713819E0
1.289062500E3	9.965961563E0
1.312500000E3	1.060133882E1
1.335937500E3	7.292287481E0
1.359375000E3	9.799597055E0
1.382812500E3	7.031747552E0
1.406250000E3	4.285877165E0
1.429687500E3	9.900745445E0
1.453125000E3	7.377699644E0
1.476562500E3	2.447998357E0
1.500000000E3	7.308481233E0
1.523437500E3	1.531396883E1
1.546875000E3	4.765954081E0
1.570312500E3	1.977554602E0
1.593750000E3	1.038009226E1
1.617187500E3	3.080461795E0
1.640625000E3	5.259415152E0
1.664062500E3	3.770206403E0
1.687500000E3	3.241598749E0
1.710937500E3	4.901615291E0
1.734375000E3	6.149323925E0
1.757812500E3	2.854487554E0
1.781250000E3	5.427788227E0
1.804687500E3	4.834861667E0
1.828125000E3	3.980570971E0
1.851562500E3	7.718486719E0
1.875000000E3	4.970207084E0
1.898437500E3	2.424033397E0
1.921875000E3	4.942794361E0
1.945312500E3	2.263921672E0
1.968750000E3	9.081542224E-1
1.992187500E3	2.385029258E0
2.015625000E3	1.257621376E0
2.039062500E3	2.337618884E0
2.062500000E3	6.026737677E0
2.085937500E3	2.922968004E0
2.109375000E3	9.922087052E-1
2.132812500E3	2.875911749E0
2.156250000E3	7.194948637E0
2.179687500E3	5.822558209E0
2.203125000E3	6.145243775E0
2.226562500E3	1.584915310E0
2.250000000E3	6.365931188E0
2.273437500E3	2.581363653E0
2.296875000E3	4.807962572E0
2.320312500E3	5.751502815E0
2.343750000E3	5.128168753E0
2.367187500E3	3.700204525E0
2.390625000E3	1.718064235E0
2.414062500E3	4.446565688E0
2.437500000E3	1.599623805E0
2.460937500E3	2.225566377E0
2.484375000E3	4.629720363E0
2.507812500E3	4.666967540E0
2.531250000E3	3.172480420E0
2.554687500E3	2.992507992E0
2.578125000E3	2.977668964E0
2.601562500E3	8.620702499E0
2.625000000E3	4.899351806E0
2.648437500E3	3.072860719E0
2.671875000E3	6.760025056E-1
2.695312500E3	3.349469038E0
2.718750000E3	6.596614694E0
2.742187500E3	5.659409836E0
2.765625000E3	4.309440312E-1
2.789062500E3	1.938297674E0
2.812500000E3	1.501104219E0
2.835937500E3	1.241196803E1
2.859375000E3	3.322397618E0
2.882812500E3	1.277078850E1
2.906250000E3	5.891536364E0
2.929687500E3	7.441052067E0
2.953125000E3	5.453166123E0
2.976562500E3	6.490994000E0
3.000000000E3	7.544883429E0
3.023437500E3	4.187075817E0
3.046875000E3	1.368433573E0
3.070312500E3	8.692961061E-1
3.093750000E3	6.139795338E0
3.117187500E3	3.052760292E0
3.140625000E3	4.475900361E0
3.164062500E3	4.491371329E0
3.187500000E3	5.248121103E0
3.210937500E3	4.035931058E0
3.234375000E3	5.882949591E0
3.257812500E3	3.402728545E0
3.281250000E3	8.458335809E0
3.304687500E3	5.958975447E0
3.328125000E3	4.121851454E0
3.351562500E3	6.436640843E0
3.375000000E3	8.544048762E0
3.398437500E3	3.891329411E0
3.421875000E3	1.629945275E1
3.445312500E3	2.132748862E1
3.468750000E3	6.672315476E1
3.492187500E3	4.959968332E1
3.515625000E3	1.152513165E1
3.539062500E3	2.009288156E1
3.562500000E3	5.303976490E0
3.585937500E3	4.105845608E0
3.609375000E3	3.105990153E0
3.632812500E3	7.185517918E0
3.656250000E3	3.349508173E0
3.679687500E3	1.070415875E0
3.703125000E3	4.634586562E0
3.726562500E3	1.627737806E0
3.750000000E3	6.314828018E0
3.773437500E3	1.476388622E1
3.796875000E3	7.008698233E0
3.820312500E3	8.005965882E0
3.843750000E3	8.421601672E0
3.867187500E3	4.074089136E-1
3.890625000E3	1.579998387E0
3.914062500E3	1.797734570E1
3.937500000E3	1.124078005E1
3.960937500E3	5.684421909E0
3.984375000E3	3.595294316E0
4.007812500E3	4.572697342E0
4.031250000E3	3.933344880E0
4.054687500E3	5.682752541E0
4.078125000E3	5.109922706E0
4.101562500E3	2.949085246E0
4.125000000E3	4.198633794E0
4.148437500E3	4.519460839E0
4.171875000E3	3.356840370E0
4.195312500E3	2.043278060E0
4.218750000E3	5.968312118E0
4.242187500E3	6.653209983E0
4.265625000E3	2.317722338E0
4.289062500E3	5.199951041E0
4.312500000E3	3.543436434E0
4.335937500E3	2.806534033E0
4.359375000E3	3.177312092E0
4.382812500E3	3.210146694E0
4.406250000E3	5.114277389E0
4.429687500E3	1.794700382E0
4.453125000E3	4.052746454E0
4.476562500E3	6.139746768E0
4.500000000E3	8.178408320E-1
4.523437500E3	1.805841489E0
4.546875000E3	5.886896739E0
4.570312500E3	3.401451138E0
4.593750000E3	4.260341367E0
4.617187500E3	4.948322936E0
4.640625000E3	3.031841664E0
4.664062500E3	3.764481420E0
4.687500000E3	3.006803161E0
4.710937500E3	3.508739115E0
4.734375000E3	4.695422403E0
4.757812500E3	1.870154888E0
4.781250000E3	1.932683206E0
4.804687500E3	2.650048008E0
4.828125000E3	9.223709772E-1
4.851562500E3	1.069237563E0
4.875000000E3	4.041919339E0
4.898437500E3	9.982570629E-1
4.921875000E3	6.186049308E-1
4.945312500E3	1.189862593E0
4.968750000E3	3.184649614E0
4.992187500E3	1.974313787E0
5.015625000E3	4.653223961E-1
5.039062500E3	1.413661775E0
5.062500000E3	2.792266503E0
5.085937500E3	3.919879144E0
5.109375000E3	2.094605482E0
5.132812500E3	3.826278552E0
5.156250000E3	3.452380377E0
5.179687500E3	3.032144957E0
5.203125000E3	3.077043353E0
5.226562500E3	1.904491429E0
5.250000000E3	2.685125455E0
5.273437500E3	1.504797164E0
5.296875000E3	3.370363142E0
5.320312500E3	1.965874860E0
5.343750000E3	3.473926069E0
5.367187500E3	6.567414915E0
5.390625000E3	2.608502492E0
5.414062500E3	5.050397044E0
5.437500000E3	4.426800920E-1
5.460937500E3	2.629442006E0
5.484375000E3	4.276064867E0
