"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.040116867E0
4.687500000E1	1.082563840E0
7.031250000E1	7.705881654E-1
9.375000000E1	1.080180214E0
1.171875000E2	1.115900087E0
1.406250000E2	1.008476070E0
1.640625000E2	1.371525664E0
1.875000000E2	1.851893644E0
2.109375000E2	1.666952278E0
2.343750000E2	1.723574045E0
2.578125000E2	2.078326038E0
2.812500000E2	2.433495092E0
3.046875000E2	2.635697165E0
3.281250000E2	3.588501845E0
3.515625000E2	4.185489177E0
3.750000000E2	5.982088964E0
3.984375000E2	9.333500747E0
4.218750000E2	2.281435631E1
4.453125000E2	5.699089015E1
4.687500000E2	1.276320705E1
4.921875000E2	7.268596027E0
5.156250000E2	5.282597638E0
5.390625000E2	4.101653758E0
5.625000000E2	3.165826666E0
5.859375000E2	2.617254796E0
6.093750000E2	2.348335850E0
6.328125000E2	2.182257290E0
6.562500000E2	2.107858454E0
6.796875000E2	1.645600730E0
7.031250000E2	1.682109180E0
7.265625000E2	1.659818849E0
7.500000000E2	1.487837738E0
7.734375000E2	1.479376064E0
7.968750000E2	1.847311145E0
8.203125000E2	2.219997404E0
8.437500000E2	3.443902507E0
8.671875000E2	1.083016669E1
8.906250000E2	8.011329271E0
9.140625000E2	3.156114247E0
9.375000000E2	2.080294773E0
9.609375000E2	1.645637285E0
9.843750000E2	1.294481330E0
1.007812500E3	1.253250062E0
1.031250000E3	1.172244172E0
1.054687500E3	9.878601885E-1
1.078125000E3	8.765318166E-1
1.101562500E3	9.479288577E-1
1.125000000E3	8.177998393E-1
1.148437500E3	7.627191800E-1
1.171875000E3	6.981141813E-1
1.195312500E3	6.651415844E-1
1.218750000E3	6.004012181E-1
1.242187500E3	6.085724290E-1
1.265625000E3	3.741268576E-1
1.289062500E3	4.100454722E-1
1.312500000E3	3.193346746E0
1.335937500E3	1.067692375E0
1.359375000E3	8.886319927E-1
1.382812500E3	7.011650381E-1
1.406250000E3	6.602449264E-1
1.429687500E3	6.932760663E-1
1.453125000E3	6.606883655E-1
1.476562500E3	6.164734282E-1
1.500000000E3	6.215325588E-1
1.523437500E3	5.665105261E-1
1.546875000E3	5.550342199E-1
1.570312500E3	5.179247010E-1
1.593750000E3	5.175446699E-1
1.617187500E3	5.255915464E-1
1.640625000E3	5.382797030E-1
1.664062500E3	4.658678535E-1
1.687500000E3	4.658675939E-1
1.710937500E3	4.972336309E-1
1.734375000E3	5.192481828E-1
1.757812500E3	1.462180830E0
1.781250000E3	4.395208650E-1
1.804687500E3	3.975948120E-1
1.828125000E3	4.196174304E-1
1.851562500E3	3.988602629E-1
1.875000000E3	4.008245711E-1
1.898437500E3	4.088311200E-1
1.921875000E3	4.063256320E-1
1.945312500E3	3.510315089E-1
1.968750000E3	3.433991286E-1
1.992187500E3	3.505749104E-1
2.015625000E3	3.782177237E-1
2.039062500E3	3.047222828E-1
2.062500000E3	3.427397918E-1
2.085937500E3	3.782348873E-1
2.109375000E3	2.926427649E-1
2.132812500E3	3.852839660E-1
2.156250000E3	3.032396053E-1
2.179687500E3	1.802273282E-1
2.203125000E3	6.780858544E-1
2.226562500E3	4.313485016E-1
2.250000000E3	3.881599803E-1
2.273437500E3	3.811981370E-1
2.296875000E3	3.767450871E-1
2.320312500E3	3.510274370E-1
2.343750000E3	2.917613753E-1
2.367187500E3	3.696896054E-1
2.390625000E3	3.426102111E-1
2.414062500E3	2.817821419E-1
2.437500000E3	2.670828805E-1
2.460937500E3	2.857986013E-1
2.484375000E3	3.561164112E-1
2.507812500E3	3.089278090E-1
2.531250000E3	2.172047425E-1
2.554687500E3	2.881523764E-1
2.578125000E3	3.111731873E-1
2.601562500E3	4.208898031E-1
2.625000000E3	1.855614252E0
2.648437500E3	8.486704504E-1
2.671875000E3	4.711927815E-1
2.695312500E3	3.309394205E-1
2.718750000E3	3.941501820E-1
2.742187500E3	3.427972696E-1
2.765625000E3	3.322282581E-1
2.789062500E3	2.782181142E-1
2.812500000E3	2.754404832E-1
2.835937500E3	2.910253307E-1
2.859375000E3	2.970343710E-1
2.882812500E3	3.325936892E-1
2.906250000E3	2.791846882E-1
2.929687500E3	2.934311475E-1
2.953125000E3	3.203308483E-1
2.976562500E3	2.437921361E-1
3.000000000E3	2.791812273E-1
3.023437500E3	2.607165733E-1
3.046875000E3	2.578408878E-1
3.070312500E3	4.893659144E-1
3.093750000E3	2.508118143E-1
3.117187500E3	2.405232102E-1
3.140625000E3	1.604396854E-1
3.164062500E3	2.085299315E-1
3.187500000E3	2.747571457E-1
3.210937500E3	3.152241030E-1
3.234375000E3	2.631449315E-1
3.257812500E3	2.834526387E-1
3.281250000E3	2.449180037E-1
3.304687500E3	2.651182454E-1
3.328125000E3	2.719124163E-1
3.351562500E3	3.471070490E-1
3.375000000E3	2.471779823E-1
3.398437500E3	2.629552030E-1
3.421875000E3	2.722881008E-1
3.445312500E3	4.002652196E-1
3.468750000E3	4.006368410E-1
3.492187500E3	7.033465951E-1
3.515625000E3	9.746532926E-1
3.539062500E3	6.867304623E-2
3.562500000E3	3.177642298E-2
3.585937500E3	1.276103705E-1
3.609375000E3	9.748180364E-2
3.632812500E3	1.960529531E-1
3.656250000E3	1.406396139E-1
3.679687500E3	1.178594138E-1
3.703125000E3	1.033088167E-1
3.726562500E3	1.359747378E-1
3.750000000E3	8.895849585E-2
3.773437500E3	1.443501546E-1
3.796875000E3	1.230026796E-1
3.820312500E3	1.221877773E-1
3.843750000E3	1.246202209E-1
3.867187500E3	1.055147083E-1
3.890625000E3	1.004618387E-1
3.914062500E3	4.508838213E-2
3.937500000E3	3.340292452E-1
3.960937500E3	5.765590219E-1
3.984375000E3	3.229011732E-1
4.007812500E3	2.388288746E-1
4.031250000E3	2.406839989E-1
4.054687500E3	1.779681942E-1
4.078125000E3	2.304885629E-1
4.101562500E3	2.105078559E-1
4.125000000E3	1.719140807E-1
4.148437500E3	2.102103577E-1
4.171875000E3	1.703103905E-1
4.195312500E3	2.221380240E-1
4.218750000E3	1.957725144E-1
4.242187500E3	1.762539439E-1
4.265625000E3	2.053124370E-1
4.289062500E3	1.912172858E-1
4.312500000E3	1.329452495E-1
4.335937500E3	1.736327402E-1
4.359375000E3	1.184170052E-1
4.382812500E3	9.778889530E-1
4.406250000E3	2.728249554E-1
4.429687500E3	2.730123492E-1
4.453125000E3	2.416313986E-1
4.476562500E3	2.411729806E-1
4.500000000E3	1.730924136E-1
4.523437500E3	2.247068220E-1
4.546875000E3	2.556095823E-1
4.570312500E3	2.381298194E-1
4.593750000E3	2.033211396E-1
4.617187500E3	2.026486824E-1
4.640625000E3	1.786593444E-1
4.664062500E3	1.645480245E-1
4.687500000E3	1.951795142E-1
4.710937500E3	2.246415190E-1
4.734375000E3	2.301497919E-1
4.757812500E3	2.634474926E-1
4.781250000E3	3.067528127E-1
4.804687500E3	4.889442800E-1
4.828125000E3	1.384761266E0
4.851562500E3	8.508329598E-2
4.875000000E3	1.070559159E-1
4.898437500E3	1.669190633E-1
4.921875000E3	1.361731156E-1
4.945312500E3	1.117845947E-1
4.968750000E3	1.336404793E-1
4.992187500E3	1.827329774E-1
5.015625000E3	1.277416401E-1
5.039062500E3	2.137594435E-1
5.062500000E3	1.915480778E-1
5.085937500E3	1.542088549E-1
5.109375000E3	2.093783755E-1
5.132812500E3	1.980181712E-1
5.156250000E3	2.288250227E-1
5.179687500E3	2.413756235E-1
5.203125000E3	3.485070089E-1
5.226562500E3	4.189277136E-1
5.250000000E3	1.011762154E0
5.273437500E3	8.971068730E-1
5.296875000E3	2.158954581E-1
5.320312500E3	8.766089938E-2
5.343750000E3	3.685845765E-2
5.367187500E3	4.358279690E-2
5.390625000E3	7.128516636E-2
5.414062500E3	8.448740520E-3
5.437500000E3	1.169044657E-1
5.460937500E3	5.686525959E-2
5.484375000E3	8.483913981E-2
5.507812500E3	1.426492949E-1
5.531250000E3	9.677955725E-2
5.554687500E3	1.001460729E-1
5.578125000E3	7.332972652E-2
5.601562500E3	8.890423792E-2
5.625000000E3	1.280287603E-1
5.648437500E3	1.317461790E-1
5.671875000E3	1.295086100E-1
5.695312500E3	7.113893925E-1
5.718750000E3	2.452426120E-1
5.742187500E3	1.050556390E-1
5.765625000E3	1.413811132E-1
5.789062500E3	7.777614983E-2
5.812500000E3	9.509929994E-2
5.835937500E3	9.311802066E-2
5.859375000E3	1.041584274E-1
5.882812500E3	9.735967120E-2
5.906250000E3	6.793993180E-2
5.929687500E3	1.157512532E-1
5.953125000E3	1.398454484E-1
5.976562500E3	8.268856321E-2
6.000000000E3	1.256226270E-1
6.023437500E3	8.934307965E-2
6.046875000E3	1.469058216E-1
6.070312500E3	3.311249494E-2
6.093750000E3	6.112325578E-2
6.117187500E3	4.038614106E-2
6.140625000E3	9.437093411E-1
6.164062500E3	1.325860725E-1
6.187500000E3	1.575806538E-1
6.210937500E3	1.236814516E-1
6.234375000E3	1.478803685E-1
6.257812500E3	1.346829247E-1
6.281250000E3	1.176485642E-1
6.304687500E3	7.865509086E-2
6.328125000E3	1.175001377E-1
6.351562500E3	6.267600263E-2
6.375000000E3	8.169931801E-2
6.398437500E3	9.816519027E-2
6.421875000E3	1.456610949E-1
6.445312500E3	9.397998537E-2
6.468750000E3	8.663673874E-2
6.492187500E3	4.058599869E-2
6.515625000E3	6.713743660E-2
6.539062500E3	1.696811485E-1
6.562500000E3	2.115550071E-1
6.585937500E3	9.652961688E-2
6.609375000E3	7.533270175E-2
6.632812500E3	1.089220103E-1
6.656250000E3	6.547276348E-2
6.679687500E3	8.069593999E-2
6.703125000E3	9.775388807E-2
6.726562500E3	1.015105148E-1
6.750000000E3	9.123116140E-2
6.773437500E3	1.114391680E-1
6.796875000E3	4.077241903E-2
6.820312500E3	8.673396296E-2
6.843750000E3	1.419567448E-1
6.867187500E3	9.882196795E-2
6.890625000E3	1.058717433E-1
6.914062500E3	8.161916000E-2
6.937500000E3	5.484265850E-2
6.960937500E3	1.179602568E-1
6.984375000E3	9.683920027E-2
7.007812500E3	5.073016320E-1
7.031250000E3	3.681060582E-1
7.054687500E3	1.702161145E-1
7.078125000E3	1.497517256E-1
7.101562500E3	1.211795148E-1
7.125000000E3	1.403802480E-1
7.148437500E3	1.295489778E-1
7.171875000E3	1.338651535E-1
7.195312500E3	9.484978192E-2
7.218750000E3	1.142088883E-1
7.242187500E3	1.225825994E-1
7.265625000E3	8.742598499E-2
7.289062500E3	1.103585731E-1
7.312500000E3	8.533982703E-2
7.335937500E3	1.260321765E-1
7.359375000E3	1.027374320E-1
7.382812500E3	1.039723485E-1
7.406250000E3	1.098294137E-1
7.429687500E3	6.998424905E-2
7.453125000E3	4.700464779E-1
7.476562500E3	8.650727733E-2
7.500000000E3	5.249104904E-2
7.523437500E3	9.563604069E-2
7.546875000E3	8.708703853E-2
7.570312500E3	1.270565622E-1
7.593750000E3	8.274094128E-2
7.617187500E3	6.272305106E-2
7.640625000E3	1.050569829E-1
7.664062500E3	1.316278664E-1
7.687500000E3	8.356672240E-2
7.710937500E3	8.644226612E-2
7.734375000E3	1.017772625E-1
7.757812500E3	8.885000255E-2
7.781250000E3	1.083303976E-1
7.804687500E3	1.174564473E-1
7.828125000E3	1.040964201E-1
7.851562500E3	1.067819847E-1
7.875000000E3	1.293889173E-1
7.898437500E3	3.066435885E-1
7.921875000E3	1.001276339E-1
7.945312500E3	7.330544390E-2
7.968750000E3	8.459593844E-2
7.992187500E3	8.810988964E-2
8.015625000E3	9.812190374E-2
8.039062500E3	8.557442401E-2
8.062500000E3	9.530013905E-2
8.085937500E3	8.493550606E-2
8.109375000E3	1.158522223E-1
8.132812500E3	7.766008582E-2
8.156250000E3	9.869593175E-2
8.179687500E3	8.851444393E-2
8.203125000E3	8.963429748E-2
8.226562500E3	9.470049447E-2
8.250000000E3	1.238307847E-1
8.273437500E3	1.186501965E-1
8.296875000E3	1.537378209E-1
8.320312500E3	2.612653368E-1
8.343750000E3	2.425176956E-1
8.367187500E3	1.055199295E-1
8.390625000E3	9.205778623E-2
8.414062500E3	7.109866379E-2
8.437500000E3	5.352891507E-2
8.460937500E3	6.645046376E-2
8.484375000E3	7.609092497E-2
8.507812500E3	6.852488448E-2
8.531250000E3	7.439288186E-2
8.554687500E3	1.340085009E-1
8.578125000E3	8.435294819E-2
8.601562500E3	7.364966671E-2
8.625000000E3	8.637012674E-2
8.648437500E3	9.444965701E-2
8.671875000E3	9.793598430E-2
8.695312500E3	7.200247531E-2
8.718750000E3	1.037741895E-1
8.742187500E3	1.335105889E-1
8.765625000E3	5.100668291E-1
8.789062500E3	1.134766187E-1
8.812500000E3	7.248550550E-2
8.835937500E3	6.325764192E-2
8.859375000E3	8.759579726E-2
8.882812500E3	4.969799208E-2
8.906250000E3	5.194010852E-2
8.929687500E3	7.668763694E-2
8.953125000E3	5.847478910E-2
8.976562500E3	4.467829933E-2
9.000000000E3	9.105352191E-2
9.023437500E3	9.202082716E-2
9.046875000E3	5.560678081E-2
9.070312500E3	4.759624948E-2
9.093750000E3	6.078102527E-2
9.117187500E3	6.958804554E-2
9.140625000E3	5.008631913E-2
9.164062500E3	4.589266519E-2
9.187500000E3	6.344035890E-2
9.210937500E3	1.855536925E-1
9.234375000E3	9.653335977E-2
9.257812500E3	7.982611993E-2
9.281250000E3	7.713597297E-2
9.304687500E3	1.008575802E-1
9.328125000E3	8.029020286E-2
9.351562500E3	7.119314685E-2
9.375000000E3	8.671385024E-2
9.398437500E3	5.481525389E-2
9.421875000E3	5.957493996E-2
9.445312500E3	8.720005742E-2
9.468750000E3	1.150931207E-1
9.492187500E3	9.898628555E-2
9.515625000E3	5.984555262E-2
9.539062500E3	7.046721540E-2
9.562500000E3	6.881290389E-2
9.585937500E3	7.020894346E-2
9.609375000E3	7.611562264E-2
9.632812500E3	1.213913835E-1
9.656250000E3	6.945029780E-3
9.679687500E3	5.283237671E-2
9.703125000E3	9.263669702E-2
9.726562500E3	7.071315941E-2
9.750000000E3	4.703739063E-2
9.773437500E3	4.009666194E-2
9.796875000E3	6.477258178E-2
9.820312500E3	6.996872316E-2
9.843750000E3	7.561395664E-2
9.867187500E3	7.163169016E-2
9.890625000E3	7.497860610E-2
9.914062500E3	6.226877198E-2
9.937500000E3	7.594399880E-2
9.960937500E3	7.847713086E-2
9.984375000E3	7.634606117E-2
1.000781250E4	1.130451751E-1
1.003125000E4	9.873905638E-2
1.005468750E4	1.015009361E-1
1.007812500E4	1.893859653E-1
1.010156250E4	1.337159472E-2
1.012500000E4	5.280658764E-2
1.014843750E4	6.268381559E-2
1.017187500E4	7.571922990E-2
1.019531250E4	7.132895070E-2
1.021875000E4	6.340547938E-2
1.024218750E4	6.593885300E-2
1.026562500E4	5.893259447E-2
1.028906250E4	6.810174252E-2
1.031250000E4	4.240910264E-2
1.033593750E4	4.201473459E-2
1.035937500E4	6.118896145E-2
1.038281250E4	1.133791538E-1
1.040625000E4	6.795571597E-2
1.042968750E4	9.850403178E-2
1.045312500E4	6.493919570E-2
1.047656250E4	1.310916155E-2
