"Time (s)"	"Recording (a.u.)"
0.000000000E0	1.602221747E-2
2.083333333E-5	2.227851192E-2
4.166666667E-5	1.904354991E-2
6.250000000E-5	5.005035554E-3
8.333333333E-5	-7.904293954E-3
1.041666667E-4	-1.754814295E-2
1.250000000E-4	-2.362132633E-2
1.458333333E-4	-1.882992035E-2
1.666666667E-4	-2.868739891E-3
1.875000000E-4	1.092562639E-2
2.083333333E-4	1.934873501E-2
2.291666667E-4	2.237006745E-2
2.500000000E-4	1.440473647E-2
2.708333333E-4	-1.281777398E-3
2.916666667E-4	-1.293984802E-2
3.125000000E-4	-2.032532731E-2
3.333333333E-4	-2.389599292E-2
3.541666667E-4	-1.443525498E-2
3.750000000E-4	4.303109836E-3
3.958333333E-4	1.547288430E-2
4.166666667E-4	2.163762322E-2
4.375000000E-4	2.029480880E-2
4.583333333E-4	8.636738182E-3
4.791666667E-4	-5.767998291E-3
5.000000000E-4	-1.623584704E-2
5.208333333E-4	-2.322458571E-2
5.416666667E-4	-2.136295663E-2
5.625000000E-4	-5.920590838E-3
5.833333333E-4	9.399700919E-3
6.041666667E-4	1.861629078E-2
6.250000000E-4	2.279732658E-2
6.458333333E-4	1.709036531E-2
6.666666667E-4	1.861629078E-3
6.875000000E-4	-9.552293466E-3
7.083333333E-4	-1.916562395E-2
7.291666667E-4	-2.471999268E-2
7.500000000E-4	-1.477095859E-2
7.708333333E-4	7.629627369E-4
7.916666667E-4	1.297036653E-2
8.125000000E-4	2.166814173E-2
8.333333333E-4	2.237006745E-2
8.541666667E-4	1.046784875E-2
8.750000000E-4	-2.533036287E-3
8.958333333E-4	-1.318399609E-2
9.166666667E-4	-2.267525254E-2
9.375000000E-4	-2.362132633E-2
9.583333333E-4	-8.606219672E-3
9.791666667E-4	6.530961028E-3
1.000000000E-3	1.632740257E-2
1.020833333E-3	2.276680807E-2
1.041666667E-3	1.858577227E-2
1.062500000E-3	5.005035554E-3
1.083333333E-3	-7.812738426E-3
1.104166667E-3	-1.745658742E-2
1.125000000E-3	-2.435377056E-2
1.145833333E-3	-1.907406842E-2
1.166666667E-3	-1.586962493E-3
1.187500000E-3	1.043733024E-2
1.208333333E-3	1.922666097E-2
1.229166667E-3	2.243110446E-2
1.250000000E-3	1.327555162E-2
1.270833333E-3	-8.239997559E-4
1.291666667E-3	-1.178014466E-2
1.312500000E-3	-2.038636433E-2
1.333333333E-3	-2.404858547E-2
1.354166667E-3	-1.214636677E-2
1.375000000E-3	3.692739647E-3
1.395833333E-3	1.553392132E-2
1.416666667E-3	2.160710471E-2
1.437500000E-3	1.904354991E-2
1.458333333E-3	8.911404767E-3
1.479166667E-3	-5.737479781E-3
1.500000000E-3	-1.651051363E-2
1.520833333E-3	-2.304147465E-2
1.541666667E-3	-2.117984558E-2
1.562500000E-3	-5.523850215E-3
1.583333333E-3	8.667256691E-3
1.604166667E-3	1.757866146E-2
1.625000000E-3	2.252265999E-2
1.645833333E-3	1.550340281E-2
1.666666667E-3	2.380443739E-3
1.687500000E-3	-1.110873745E-2
1.708333333E-3	-1.998962371E-2
1.729166667E-3	-2.362132633E-2
1.750000000E-3	-1.736503189E-2
1.770833333E-3	3.357036042E-4
1.791666667E-3	1.355021821E-2
1.812500000E-3	1.977599414E-2
1.833333333E-3	2.093569750E-2
1.854166667E-3	1.098666341E-2
1.875000000E-3	-3.326517533E-3
1.895833333E-3	-1.522873623E-2
1.916666667E-3	-2.279732658E-2
1.937500000E-3	-2.200384533E-2
1.958333333E-3	-1.025421918E-2
1.979166667E-3	5.493331706E-3
2.000000000E-3	1.528977325E-2
2.020833333E-3	2.255317850E-2
2.041666667E-3	1.776177252E-2
2.062500000E-3	3.540147099E-3
2.083333333E-3	-7.629627369E-3
2.104166667E-3	-1.788384655E-2
2.125000000E-3	-2.529984436E-2
2.145833333E-3	-1.940977203E-2
2.166666667E-3	-2.746665853E-3
2.187500000E-3	1.068147832E-2
2.208333333E-3	1.861629078E-2
2.229166667E-3	2.240058596E-2
2.250000000E-3	1.278725547E-2
2.270833333E-3	-1.709036531E-3
2.291666667E-3	-1.333658864E-2
2.312500000E-3	-2.179021577E-2
2.333333333E-3	-2.441480758E-2
2.354166667E-3	-1.361125523E-2
2.375000000E-3	4.181035798E-3
2.395833333E-3	1.306192206E-2
2.416666667E-3	2.075258644E-2
2.437500000E-3	1.956236457E-2
2.458333333E-3	6.012146367E-3
2.479166667E-3	-6.836146123E-3
2.500000000E-3	-1.699880978E-2
2.520833333E-3	-2.337717826E-2
2.541666667E-3	-2.145451216E-2
2.562500000E-3	-7.263405255E-3
2.583333333E-3	8.972441786E-3
2.604166667E-3	1.733451338E-2
2.625000000E-3	2.157658620E-2
2.645833333E-3	1.507614368E-2
2.666666667E-3	2.227851192E-3
2.687500000E-3	-1.080355235E-2
2.708333333E-3	-2.072206793E-2
2.729166667E-3	-2.484206671E-2
2.750000000E-3	-1.611377300E-2
2.770833333E-3	-1.831110569E-4
2.791666667E-3	1.254310739E-2
2.812500000E-3	1.989806818E-2
2.833333333E-3	2.105777154E-2
2.854166667E-3	1.031525620E-2
2.875000000E-3	-4.394665365E-3
2.895833333E-3	-1.461836604E-2
2.916666667E-3	-2.285836360E-2
2.937500000E-3	-2.444532609E-2
2.958333333E-3	-1.019318216E-2
2.979166667E-3	5.706961272E-3
3.000000000E-3	1.516769921E-2
3.020833333E-3	2.179021577E-2
3.041666667E-3	1.867732780E-2
3.062500000E-3	4.211554308E-3
3.083333333E-3	-9.002960295E-3
3.104166667E-3	-1.779229102E-2
3.125000000E-3	-2.456740013E-2
3.145833333E-3	-2.066103092E-2
3.166666667E-3	-3.967406232E-3
3.187500000E-3	1.052888577E-2
3.208333333E-3	1.947080905E-2
3.229166667E-3	2.197332682E-2
3.250000000E-3	1.251258889E-2
3.270833333E-3	-4.272591327E-4
3.291666667E-3	-1.257362590E-2
3.312500000E-3	-2.175969726E-2
3.333333333E-3	-2.447584460E-2
3.354166667E-3	-1.382488479E-2
3.375000000E-3	3.540147099E-3
3.395833333E-3	1.300088504E-2
3.416666667E-3	2.084414197E-2
3.437500000E-3	2.105777154E-2
3.458333333E-3	6.286812952E-3
3.479166667E-3	-6.591998047E-3
3.500000000E-3	-1.562547685E-2
3.520833333E-3	-2.420117801E-2
3.541666667E-3	-2.206488235E-2
3.562500000E-3	-6.164738914E-3
3.583333333E-3	8.545182653E-3
3.604166667E-3	1.712088382E-2
3.625000000E-3	2.255317850E-2
3.645833333E-3	1.541184729E-2
3.666666667E-3	1.983703116E-3
3.687500000E-3	-1.086458937E-2
3.708333333E-3	-1.971495712E-2
3.729166667E-3	-2.374340037E-2
3.750000000E-3	-1.681569872E-2
3.770833333E-3	5.188146611E-4
3.791666667E-3	1.284829249E-2
3.812500000E-3	1.974547563E-2
3.833333333E-3	2.154606769E-2
3.854166667E-3	1.007110813E-2
3.875000000E-3	-3.631702628E-3
3.895833333E-3	-1.443525498E-2
3.916666667E-3	-2.206488235E-2
3.937500000E-3	-2.340769677E-2
3.958333333E-3	-1.037629322E-2
3.979166667E-3	6.347849971E-3
4.000000000E-3	1.684621723E-2
4.020833333E-3	2.142399365E-2
4.041666667E-3	1.821955016E-2
4.062500000E-3	4.821924497E-3
4.083333333E-3	-8.667256691E-3
4.104166667E-3	-1.754814295E-2
4.125000000E-3	-2.508621479E-2
4.145833333E-3	-1.986754967E-2
4.166666667E-3	-2.349925230E-3
4.187500000E-3	1.098666341E-2
4.208333333E-3	1.879940184E-2
4.229166667E-3	2.133243812E-2
4.250000000E-3	1.373332926E-2
4.270833333E-3	-2.746665853E-4
4.291666667E-3	-1.370281075E-2
4.312500000E-3	-2.127140110E-2
4.333333333E-3	-2.365184484E-2
4.354166667E-3	-1.489303262E-2
4.375000000E-3	2.990813929E-3
4.395833333E-3	1.495406964E-2
4.416666667E-3	2.160710471E-2
4.437500000E-3	1.940977203E-2
4.458333333E-3	7.446516312E-3
4.479166667E-3	-5.371257668E-3
4.500000000E-3	-1.675466170E-2
4.520833333E-3	-2.548295541E-2
4.541666667E-3	-2.124088260E-2
4.562500000E-3	-5.890072329E-3
4.583333333E-3	7.660145878E-3
4.604166667E-3	1.767021699E-2
4.625000000E-3	2.279732658E-2
4.645833333E-3	1.614429151E-2
4.666666667E-3	1.922666097E-3
4.687500000E-3	-1.007110813E-2
4.708333333E-3	-2.035584582E-2
4.729166667E-3	-2.548295541E-2
4.750000000E-3	-1.474044008E-2
4.770833333E-3	3.051850948E-5
4.791666667E-3	1.086458937E-2
4.812500000E-3	2.136295663E-2
4.833333333E-3	2.240058596E-2
4.854166667E-3	1.065095981E-2
4.875000000E-3	-4.242072817E-3
4.895833333E-3	-1.425214393E-2
4.916666667E-3	-2.203436384E-2
4.937500000E-3	-2.343821528E-2
4.958333333E-3	-1.040681173E-2
4.979166667E-3	5.432294687E-3
5.000000000E-3	1.635792108E-2
5.020833333E-3	2.185125278E-2
5.041666667E-3	1.763969848E-2
5.062500000E-3	5.127109592E-3
5.083333333E-3	-7.812738426E-3
5.104166667E-3	-1.812799463E-2
5.125000000E-3	-2.410962249E-2
5.145833333E-3	-1.937925352E-2
5.166666667E-3	-3.662221137E-3
5.187500000E-3	9.704886013E-3
5.208333333E-3	2.026429029E-2
5.229166667E-3	2.127140110E-2
5.250000000E-3	1.229895932E-2
5.270833333E-3	5.188146611E-4
5.291666667E-3	-1.251258889E-2
5.312500000E-3	-2.215643788E-2
5.333333333E-3	-2.429273354E-2
5.354166667E-3	-1.223792230E-2
5.375000000E-3	3.509628590E-3
5.395833333E-3	1.339762566E-2
5.416666667E-3	2.200384533E-2
5.437500000E-3	2.066103092E-2
5.458333333E-3	7.171849727E-3
5.479166667E-3	-5.920590838E-3
5.500000000E-3	-1.641895810E-2
5.520833333E-3	-2.279732658E-2
5.541666667E-3	-2.111880856E-2
5.562500000E-3	-6.225775933E-3
5.583333333E-3	8.789330729E-3
5.604166667E-3	1.791436506E-2
5.625000000E-3	2.288888211E-2
5.645833333E-3	1.535081027E-2
5.666666667E-3	1.403851436E-3
5.687500000E-3	-1.043733024E-2
5.708333333E-3	-1.965392010E-2
5.729166667E-3	-2.508621479E-2
5.750000000E-3	-1.602221747E-2
5.770833333E-3	1.098666341E-3
5.791666667E-3	1.235999634E-2
5.812500000E-3	2.090517899E-2
5.833333333E-3	2.056947539E-2
5.854166667E-3	1.135288553E-2
5.875000000E-3	-3.662221137E-3
5.895833333E-3	-1.477095859E-2
5.916666667E-3	-2.212591937E-2
5.937500000E-3	-2.301095614E-2
5.958333333E-3	-9.857478561E-3
5.979166667E-3	6.073183386E-3
6.000000000E-3	1.699880978E-2
6.020833333E-3	2.237006745E-2
6.041666667E-3	1.922666097E-2
6.062500000E-3	5.188146611E-3
6.083333333E-3	-7.690664388E-3
6.104166667E-3	-1.739555040E-2
6.125000000E-3	-2.392651143E-2
6.145833333E-3	-1.947080905E-2
6.166666667E-3	-2.777184362E-3
6.187500000E-3	1.086458937E-2
6.208333333E-3	2.005066073E-2
6.229166667E-3	2.252265999E-2
6.250000000E-3	1.370281075E-2
6.270833333E-3	3.967406232E-4
6.291666667E-3	-1.150547807E-2
6.312500000E-3	-2.197332682E-2
6.333333333E-3	-2.343821528E-2
6.354166667E-3	-1.245155187E-2
6.375000000E-3	3.509628590E-3
6.395833333E-3	1.489303262E-2
6.416666667E-3	2.188177129E-2
6.437500000E-3	2.108829005E-2
6.458333333E-3	9.338663900E-3
6.479166667E-3	-6.134220405E-3
6.500000000E-3	-1.626636555E-2
6.520833333E-3	-2.166814173E-2
6.541666667E-3	-2.117984558E-2
6.562500000E-3	-6.683553575E-3
6.583333333E-3	9.552293466E-3
6.604166667E-3	1.834162420E-2
6.625000000E-3	2.368236335E-2
6.645833333E-3	1.690725425E-2
6.666666667E-3	2.471999268E-3
6.687500000E-3	-9.308145390E-3
6.708333333E-3	-1.779229102E-2
6.729166667E-3	-2.383495590E-2
6.750000000E-3	-1.602221747E-2
6.770833333E-3	1.373332926E-3
6.791666667E-3	1.293984802E-2
6.812500000E-3	2.127140110E-2
6.833333333E-3	2.279732658E-2
6.854166667E-3	1.171910764E-2
6.875000000E-3	-2.075258644E-3
6.895833333E-3	-1.263466292E-2
6.916666667E-3	-2.191228980E-2
6.937500000E-3	-2.276680807E-2
6.958333333E-3	-7.721182897E-3
6.979166667E-3	6.591998047E-3
7.000000000E-3	1.617481002E-2
7.020833333E-3	2.322458571E-2
7.041666667E-3	1.977599414E-2
7.062500000E-3	6.103701895E-3
7.083333333E-3	-6.683553575E-3
7.104166667E-3	-1.644947661E-2
7.125000000E-3	-2.261421552E-2
7.145833333E-3	-1.763969848E-2
7.166666667E-3	-1.342814417E-3
7.187500000E-3	1.113925596E-2
7.208333333E-3	1.956236457E-2
7.229166667E-3	2.426221503E-2
7.250000000E-3	1.568651387E-2
