"Time (s)"	"Recording (a.u.)"
0.000000000E0	1.275673696E-2
2.083333333E-5	8.117923521E-3
4.166666667E-5	2.990813929E-3
6.250000000E-5	-1.831110569E-3
8.333333333E-5	-6.988738670E-3
1.041666667E-4	-1.153599658E-2
1.250000000E-4	-1.681569872E-2
1.458333333E-4	-2.172917875E-2
1.666666667E-4	-2.575762200E-2
1.875000000E-4	-3.109836116E-2
2.083333333E-4	-3.506576739E-2
2.291666667E-4	-3.988769189E-2
2.500000000E-4	-4.394665365E-2
2.708333333E-4	-4.803613392E-2
2.916666667E-4	-5.230872524E-2
3.125000000E-4	-5.548265023E-2
3.333333333E-4	-5.981627857E-2
3.541666667E-4	-6.253242592E-2
3.750000000E-4	-6.567583239E-2
3.958333333E-4	-6.903286843E-2
4.166666667E-4	-7.168797876E-2
4.375000000E-4	-7.403790399E-2
4.583333333E-4	-7.666249580E-2
4.791666667E-4	-7.827997681E-2
5.000000000E-4	-8.053834651E-2
5.208333333E-4	-8.160649434E-2
5.416666667E-4	-8.282723472E-2
5.625000000E-4	-8.383434553E-2
5.833333333E-4	-8.420056764E-2
6.041666667E-4	-8.505508591E-2
6.250000000E-4	-8.453627125E-2
6.458333333E-4	-8.426160466E-2
6.666666667E-4	-8.401745659E-2
6.875000000E-4	-8.337656789E-2
7.083333333E-4	-8.243049409E-2
7.291666667E-4	-8.066042055E-2
7.500000000E-4	-7.983642079E-2
7.708333333E-4	-7.760856960E-2
7.916666667E-4	-7.611316263E-2
8.125000000E-4	-7.275612659E-2
8.333333333E-4	-7.055879391E-2
8.541666667E-4	-6.787316507E-2
8.750000000E-4	-6.472975860E-2
8.958333333E-4	-6.131168554E-2
9.166666667E-4	-5.761894589E-2
9.375000000E-4	-5.456709494E-2
9.583333333E-4	-5.105746635E-2
9.791666667E-4	-4.651020844E-2
1.000000000E-3	-4.239020966E-2
1.020833333E-3	-3.811761834E-2
1.041666667E-3	-3.408917508E-2
1.062500000E-3	-2.905362102E-2
1.083333333E-3	-2.438428907E-2
1.104166667E-3	-2.011169774E-2
1.125000000E-3	-1.489303262E-2
1.145833333E-3	-1.019318216E-2
1.166666667E-3	-5.035554064E-3
1.187500000E-3	-6.103701895E-4
1.208333333E-3	4.608294931E-3
1.229166667E-3	9.125034333E-3
1.250000000E-3	1.443525498E-2
1.270833333E-3	1.809747612E-2
1.291666667E-3	2.365184484E-2
1.312500000E-3	2.838221381E-2
1.333333333E-3	3.256324961E-2
1.354166667E-3	3.674428541E-2
1.375000000E-3	4.150517289E-2
1.395833333E-3	4.571672720E-2
1.416666667E-3	4.962309641E-2
1.437500000E-3	5.365153966E-2
1.458333333E-3	5.713064974E-2
1.479166667E-3	6.146427808E-2
1.500000000E-3	6.381420331E-2
1.520833333E-3	6.726279489E-2
1.541666667E-3	7.022309030E-2
1.562500000E-3	7.293923765E-2
1.583333333E-3	7.495345927E-2
1.604166667E-3	7.739494003E-2
1.625000000E-3	7.907345805E-2
1.645833333E-3	8.114871670E-2
1.666666667E-3	8.230842006E-2
1.687500000E-3	8.319345683E-2
1.708333333E-3	8.441419721E-2
1.729166667E-3	8.481093783E-2
1.750000000E-3	8.490249336E-2
1.770833333E-3	8.474990081E-2
1.791666667E-3	8.496353038E-2
1.812500000E-3	8.420056764E-2
1.833333333E-3	8.331553087E-2
1.854166667E-3	8.163701285E-2
1.875000000E-3	8.096560564E-2
1.895833333E-3	7.934812464E-2
1.916666667E-3	7.669301431E-2
1.937500000E-3	7.504501480E-2
1.958333333E-3	7.370220038E-2
1.979166667E-3	6.961272011E-2
2.000000000E-3	6.726279489E-2
2.020833333E-3	6.421094394E-2
2.041666667E-3	6.064027833E-2
2.062500000E-3	5.734427931E-2
2.083333333E-3	5.346842860E-2
2.104166667E-3	4.968413343E-2
2.125000000E-3	4.531998657E-2
2.145833333E-3	4.138309885E-2
2.166666667E-3	3.668324839E-2
2.187500000E-3	3.213599048E-2
2.208333333E-3	2.764976959E-2
2.229166667E-3	2.291940062E-2
2.250000000E-3	1.834162420E-2
2.270833333E-3	1.330607013E-2
2.291666667E-3	8.606219672E-3
2.312500000E-3	3.387554552E-3
2.333333333E-3	-1.495406964E-3
2.354166667E-3	-6.591998047E-3
2.375000000E-3	-1.135288553E-2
2.395833333E-3	-1.666310617E-2
2.416666667E-3	-2.087466048E-2
2.437500000E-3	-2.594073305E-2
2.458333333E-3	-3.054902799E-2
2.479166667E-3	-3.534043397E-2
2.500000000E-3	-3.921628468E-2
2.520833333E-3	-4.385509812E-2
2.541666667E-3	-4.803613392E-2
2.562500000E-3	-5.145420698E-2
2.583333333E-3	-5.569627979E-2
2.604166667E-3	-5.914487136E-2
2.625000000E-3	-6.271553697E-2
2.645833333E-3	-6.567583239E-2
2.666666667E-3	-6.900234993E-2
2.687500000E-3	-7.214575640E-2
2.708333333E-3	-7.345805231E-2
2.729166667E-3	-7.681508835E-2
2.750000000E-3	-7.870723594E-2
2.770833333E-3	-8.008056887E-2
2.791666667E-3	-8.203375347E-2
2.812500000E-3	-8.294930876E-2
2.833333333E-3	-8.401745659E-2
2.854166667E-3	-8.447523423E-2
2.875000000E-3	-8.490249336E-2
2.895833333E-3	-8.481093783E-2
2.916666667E-3	-8.523819697E-2
2.937500000E-3	-8.432264168E-2
2.958333333E-3	-8.359019745E-2
2.979166667E-3	-8.301034577E-2
3.000000000E-3	-8.151493881E-2
3.020833333E-3	-7.943968017E-2
3.041666667E-3	-7.776116214E-2
3.062500000E-3	-7.614368114E-2
3.083333333E-3	-7.330545976E-2
3.104166667E-3	-7.074190497E-2
3.125000000E-3	-6.839197974E-2
3.145833333E-3	-6.534012879E-2
3.166666667E-3	-6.207464827E-2
3.187500000E-3	-5.792413099E-2
3.208333333E-3	-5.508590960E-2
3.229166667E-3	-5.102694784E-2
3.250000000E-3	-4.635761589E-2
3.270833333E-3	-4.278695029E-2
3.291666667E-3	-3.863643300E-2
3.312500000E-3	-3.344828639E-2
3.333333333E-3	-2.972502823E-2
3.354166667E-3	-2.401806696E-2
3.375000000E-3	-1.989806818E-2
3.395833333E-3	-1.525925474E-2
3.416666667E-3	-1.037629322E-2
3.437500000E-3	-5.279702139E-3
3.458333333E-3	-5.493331706E-4
3.479166667E-3	4.425183874E-3
3.500000000E-3	9.369182409E-3
3.520833333E-3	1.416058840E-2
3.541666667E-3	1.892147588E-2
3.562500000E-3	2.340769677E-2
3.583333333E-3	2.810754723E-2
3.604166667E-3	3.256324961E-2
3.625000000E-3	3.729361858E-2
3.645833333E-3	4.187139500E-2
3.666666667E-3	4.589983825E-2
3.687500000E-3	4.947050386E-2
3.708333333E-3	5.359050264E-2
3.729166667E-3	5.731376080E-2
3.750000000E-3	6.082338939E-2
3.770833333E-3	6.418042543E-2
3.791666667E-3	6.778160955E-2
3.812500000E-3	6.994842372E-2
3.833333333E-3	7.306131169E-2
3.854166667E-3	7.504501480E-2
3.875000000E-3	7.721182897E-2
3.895833333E-3	7.885982849E-2
3.916666667E-3	8.008056887E-2
3.937500000E-3	8.243049409E-2
3.958333333E-3	8.307138279E-2
3.979166667E-3	8.362071596E-2
4.000000000E-3	8.450575274E-2
4.020833333E-3	8.471938231E-2
4.041666667E-3	8.520767846E-2
4.062500000E-3	8.459730827E-2
4.083333333E-3	8.383434553E-2
4.104166667E-3	8.328501236E-2
4.125000000E-3	8.279671621E-2
4.145833333E-3	8.023316141E-2
4.166666667E-3	7.940916166E-2
4.187500000E-3	7.687612537E-2
4.208333333E-3	7.531968139E-2
4.229166667E-3	7.272560808E-2
4.250000000E-3	6.936857204E-2
4.270833333E-3	6.711020234E-2
4.291666667E-3	6.421094394E-2
4.312500000E-3	6.039613025E-2
4.333333333E-3	5.697805719E-2
4.354166667E-3	5.273598437E-2
4.375000000E-3	4.971465194E-2
4.395833333E-3	4.492324595E-2
4.416666667E-3	4.107791375E-2
4.437500000E-3	3.631702628E-2
4.458333333E-3	3.250221259E-2
4.479166667E-3	2.771080660E-2
4.500000000E-3	2.301095614E-2
4.520833333E-3	1.812799463E-2
4.541666667E-3	1.361125523E-2
4.562500000E-3	8.514664144E-3
4.583333333E-3	3.540147099E-3
4.604166667E-3	-9.765923032E-4
4.625000000E-3	-6.347849971E-3
4.645833333E-3	-1.107821894E-2
4.666666667E-3	-1.590014344E-2
4.687500000E-3	-2.059999390E-2
4.708333333E-3	-2.542191839E-2
4.729166667E-3	-2.990813929E-2
4.750000000E-3	-3.439436018E-2
4.770833333E-3	-3.854487747E-2
4.791666667E-3	-4.287850581E-2
4.812500000E-3	-4.742576373E-2
4.833333333E-3	-5.148472549E-2
4.854166667E-3	-5.511642811E-2
4.875000000E-3	-5.862605670E-2
4.895833333E-3	-6.271553697E-2
4.916666667E-3	-6.543168432E-2
4.937500000E-3	-6.820886868E-2
4.958333333E-3	-7.165746025E-2
4.979166667E-3	-7.394634846E-2
5.000000000E-3	-7.586901456E-2
5.020833333E-3	-7.840205084E-2
5.041666667E-3	-7.971434675E-2
5.062500000E-3	-8.133182775E-2
5.083333333E-3	-8.252204962E-2
5.104166667E-3	-8.362071596E-2
5.125000000E-3	-8.496353038E-2
5.145833333E-3	-8.462782678E-2
5.166666667E-3	-8.511612293E-2
5.187500000E-3	-8.536027100E-2
5.208333333E-3	-8.404797510E-2
5.229166667E-3	-8.377330851E-2
5.250000000E-3	-8.276619770E-2
5.270833333E-3	-8.178960540E-2
5.291666667E-3	-8.056886502E-2
5.312500000E-3	-7.812738426E-2
5.333333333E-3	-7.641834773E-2
5.354166667E-3	-7.422101505E-2
5.375000000E-3	-7.116916410E-2
5.395833333E-3	-6.863612781E-2
5.416666667E-3	-6.546220283E-2
5.437500000E-3	-6.271553697E-2
5.458333333E-3	-5.887020478E-2
5.479166667E-3	-5.526902066E-2
5.500000000E-3	-5.145420698E-2
