"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.993824162E-2
4.687500000E1	3.630910356E-2
7.031250000E1	7.635047991E-2
9.375000000E1	6.188132673E-3
1.171875000E2	9.910735615E-2
1.406250000E2	6.258704937E-2
1.640625000E2	2.791063566E-2
1.875000000E2	7.188927143E-2
2.109375000E2	9.068423791E-3
2.343750000E2	4.439059393E-2
2.578125000E2	3.458296067E-2
2.812500000E2	2.296102083E-2
3.046875000E2	5.210580562E-2
3.281250000E2	2.938734771E-2
3.515625000E2	4.235587858E-2
3.750000000E2	3.512841259E-2
3.984375000E2	1.628920341E-2
4.218750000E2	4.909533593E-3
4.453125000E2	2.599548980E-2
4.687500000E2	2.919957587E-2
4.921875000E2	3.801953855E-2
5.156250000E2	3.667730236E-2
5.390625000E2	2.526739849E-2
5.625000000E2	1.348576883E-2
5.859375000E2	2.147415900E-2
6.093750000E2	3.316546317E-2
6.328125000E2	2.265261242E-2
6.562500000E2	2.788825559E-2
6.796875000E2	1.971356165E-2
7.031250000E2	1.338349577E-2
7.265625000E2	9.858840579E-3
7.500000000E2	2.195873275E-3
7.734375000E2	4.267691775E-2
7.968750000E2	1.078050276E-2
8.203125000E2	6.895394407E-3
8.437500000E2	7.997162787E-3
8.671875000E2	1.421758659E-2
8.906250000E2	2.300131583E-2
9.140625000E2	1.579181784E-2
9.375000000E2	2.583116999E-2
9.609375000E2	8.676858488E-3
9.843750000E2	7.299067208E-3
1.007812500E3	1.108984372E-2
1.031250000E3	4.772060590E-2
1.054687500E3	3.655154828E-2
1.078125000E3	1.390878081E-2
1.101562500E3	2.842690012E-2
1.125000000E3	2.276822399E-2
1.148437500E3	2.426965629E-2
1.171875000E3	1.631054591E-2
1.195312500E3	2.302309299E-2
1.218750000E3	2.181588306E-2
1.242187500E3	1.828456399E-2
1.265625000E3	2.045244529E-2
1.289062500E3	1.059371086E-2
1.312500000E3	1.292528280E-2
1.335937500E3	3.140013459E-2
1.359375000E3	2.697883912E-2
1.382812500E3	3.676487019E-2
1.406250000E3	2.762557190E-2
1.429687500E3	1.919188196E-2
1.453125000E3	3.051886775E-2
1.476562500E3	3.271383196E-2
1.500000000E3	8.293348528E-3
1.523437500E3	2.163818906E-2
1.546875000E3	7.813105234E-3
1.570312500E3	3.344373951E-2
1.593750000E3	1.896688833E-2
1.617187500E3	3.280925788E-2
1.640625000E3	2.637520984E-3
1.664062500E3	3.640440334E-2
1.687500000E3	1.811451572E-2
1.710937500E3	2.081558726E-2
1.734375000E3	4.233905612E-2
1.757812500E3	3.587990599E-2
1.781250000E3	2.821721616E-2
1.804687500E3	3.598784483E-2
1.828125000E3	1.209196314E-2
1.851562500E3	1.156095389E-2
1.875000000E3	1.563969697E-2
1.898437500E3	2.777612864E-2
1.921875000E3	2.874645110E-2
1.945312500E3	2.839617549E-2
1.968750000E3	3.661427013E-2
1.992187500E3	2.828395432E-2
2.015625000E3	2.430267133E-2
2.039062500E3	2.186758131E-2
2.062500000E3	3.491012125E-2
2.085937500E3	3.020357463E-2
2.109375000E3	3.784950246E-2
2.132812500E3	3.862212970E-2
2.156250000E3	3.123034660E-2
2.179687500E3	3.390358840E-2
2.203125000E3	3.458300286E-2
2.226562500E3	3.370284328E-2
2.250000000E3	4.263593208E-2
2.273437500E3	3.824042027E-2
2.296875000E3	4.195467714E-2
2.320312500E3	4.249366897E-2
2.343750000E3	3.239983129E-2
2.367187500E3	3.203152591E-2
2.390625000E3	3.900066280E-2
2.414062500E3	4.197657808E-2
2.437500000E3	4.204397188E-2
2.460937500E3	4.099031483E-2
2.484375000E3	5.314413839E-2
2.507812500E3	3.704582828E-2
2.531250000E3	4.280601110E-2
2.554687500E3	5.980636957E-2
2.578125000E3	4.710068080E-2
2.601562500E3	4.796974159E-2
2.625000000E3	4.142279438E-2
2.648437500E3	6.201007318E-2
2.671875000E3	4.017117935E-2
2.695312500E3	5.742914750E-2
2.718750000E3	5.353438391E-2
2.742187500E3	4.930980752E-2
2.765625000E3	5.240747246E-2
2.789062500E3	5.110685815E-2
2.812500000E3	5.734922786E-2
2.835937500E3	5.684940732E-2
2.859375000E3	5.609517453E-2
2.882812500E3	4.646522871E-2
2.906250000E3	5.612416035E-2
2.929687500E3	6.511910911E-2
2.953125000E3	7.303506801E-2
2.976562500E3	6.002953094E-2
3.000000000E3	5.530688849E-2
