"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	1.557398459E-1
4.687500000E1	3.475233797E-2
7.031250000E1	1.068307614E-1
9.375000000E1	2.638905693E-1
1.171875000E2	2.499357701E-1
1.406250000E2	2.516756346E-1
1.640625000E2	2.832994038E-1
1.875000000E2	2.870982260E-1
2.109375000E2	3.956835886E-1
2.343750000E2	3.807647249E-1
2.578125000E2	4.020611818E-1
2.812500000E2	4.301549372E-1
3.046875000E2	4.815299665E-1
3.281250000E2	5.147482700E-1
3.515625000E2	5.883930491E-1
3.750000000E2	6.371759379E-1
3.984375000E2	6.779411602E-1
4.218750000E2	7.248967810E-1
4.453125000E2	7.425775229E-1
4.687500000E2	8.176777115E-1
4.921875000E2	8.802392247E-1
5.156250000E2	9.415777360E-1
5.390625000E2	1.009379814E0
5.625000000E2	1.183559025E0
5.859375000E2	1.220817958E0
6.093750000E2	1.329641450E0
6.328125000E2	1.452625227E0
6.562500000E2	1.552443897E0
6.796875000E2	1.689575351E0
7.031250000E2	1.851302313E0
7.265625000E2	2.020640326E0
7.500000000E2	2.318694663E0
7.734375000E2	2.529751466E0
7.968750000E2	2.971343439E0
8.203125000E2	3.355096879E0
8.437500000E2	3.913802441E0
8.671875000E2	4.737925014E0
8.906250000E2	5.806920758E0
9.140625000E2	7.519122249E0
9.375000000E2	1.058262173E1
9.609375000E2	1.731469933E1
9.843750000E2	4.651501807E1
1.007812500E3	7.211489656E1
1.031250000E3	2.068007915E1
1.054687500E3	1.207625894E1
1.078125000E3	8.706077980E0
1.101562500E3	6.687521852E0
1.125000000E3	5.544540684E0
1.148437500E3	4.705000255E0
1.171875000E3	4.105924699E0
1.195312500E3	3.682460107E0
1.218750000E3	3.302167873E0
1.242187500E3	3.034862610E0
1.265625000E3	2.736431146E0
1.289062500E3	2.589533225E0
1.312500000E3	2.340690203E0
1.335937500E3	2.287123127E0
1.359375000E3	2.109016971E0
1.382812500E3	2.026213383E0
1.406250000E3	1.905085402E0
1.429687500E3	1.812222410E0
1.453125000E3	1.709527539E0
1.476562500E3	1.674952790E0
1.500000000E3	1.609942613E0
1.523437500E3	1.529009174E0
1.546875000E3	1.464894084E0
1.570312500E3	1.433275471E0
1.593750000E3	1.367385114E0
1.617187500E3	1.330336736E0
1.640625000E3	1.289310336E0
1.664062500E3	1.250579541E0
1.687500000E3	1.212824268E0
1.710937500E3	1.178222729E0
1.734375000E3	1.137968342E0
1.757812500E3	1.135859275E0
1.781250000E3	1.092969862E0
1.804687500E3	1.056537201E0
1.828125000E3	1.037738568E0
1.851562500E3	1.008398141E0
1.875000000E3	9.927462936E-1
1.898437500E3	9.629079756E-1
1.921875000E3	9.464627761E-1
1.945312500E3	9.218129762E-1
1.968750000E3	9.093240691E-1
1.992187500E3	8.917970914E-1
2.015625000E3	8.730062241E-1
2.039062500E3	8.540609201E-1
2.062500000E3	8.406827314E-1
2.085937500E3	8.255530698E-1
2.109375000E3	8.063698005E-1
2.132812500E3	7.974420164E-1
2.156250000E3	7.872684011E-1
2.179687500E3	7.672308630E-1
2.203125000E3	7.681730219E-1
2.226562500E3	7.479422529E-1
2.250000000E3	7.336896294E-1
2.273437500E3	7.298963910E-1
2.296875000E3	7.132761602E-1
2.320312500E3	7.013183632E-1
2.343750000E3	6.962720770E-1
2.367187500E3	6.925716358E-1
2.390625000E3	6.845833015E-1
2.414062500E3	6.742502014E-1
2.437500000E3	6.450277404E-1
2.460937500E3	6.473371191E-1
2.484375000E3	6.384942986E-1
2.507812500E3	6.464257984E-1
2.531250000E3	6.222283139E-1
2.554687500E3	6.073236477E-1
2.578125000E3	6.123714535E-1
2.601562500E3	6.046496408E-1
2.625000000E3	6.081590470E-1
2.648437500E3	5.988176009E-1
2.671875000E3	5.919140494E-1
2.695312500E3	5.971487545E-1
2.718750000E3	5.663503972E-1
2.742187500E3	5.456762622E-1
2.765625000E3	5.713140856E-1
2.789062500E3	5.452023150E-1
2.812500000E3	5.599244199E-1
2.835937500E3	5.433367821E-1
2.859375000E3	5.600699586E-1
2.882812500E3	5.563677551E-1
2.906250000E3	5.575075725E-1
2.929687500E3	5.858439478E-1
2.953125000E3	6.582541940E-1
2.976562500E3	8.149711519E-1
3.000000000E3	1.722320886E0
3.023437500E3	4.537004123E-1
