"Time (s)"	"Recording (a.u.)"
0.000000000E0	3.857539598E-2
2.083333333E-5	3.176976836E-2
4.166666667E-5	2.502517777E-2
6.250000000E-5	1.855525376E-2
8.333333333E-5	1.687673574E-2
1.041666667E-4	1.190221870E-2
1.250000000E-4	4.699850459E-3
1.458333333E-4	-8.239997559E-4
1.666666667E-4	-5.798516800E-3
1.875000000E-4	-1.031525620E-2
2.083333333E-4	-1.223792230E-2
2.291666667E-4	-1.455732902E-2
2.500000000E-4	-1.748710593E-2
2.708333333E-4	-1.477095859E-2
2.916666667E-4	-9.979552599E-3
3.125000000E-4	-1.583910642E-2
3.333333333E-4	-2.749717704E-2
3.541666667E-4	-3.222754601E-2
3.750000000E-4	-3.598132267E-2
3.958333333E-4	-4.800561541E-2
4.166666667E-4	-5.807672353E-2
4.375000000E-4	-5.932798242E-2
4.583333333E-4	-6.213568529E-2
4.791666667E-4	-6.955168310E-2
5.000000000E-4	-7.431257057E-2
5.208333333E-4	-7.901242103E-2
5.416666667E-4	-8.377330851E-2
5.625000000E-4	-8.539078951E-2
5.833333333E-4	-8.725241859E-2
6.041666667E-4	-8.893093661E-2
6.250000000E-4	-8.868678854E-2
6.458333333E-4	-8.810693686E-2
6.666666667E-4	-8.432264168E-2
6.875000000E-4	-7.763908811E-2
7.083333333E-4	-7.358012635E-2
7.291666667E-4	-7.382427442E-2
7.500000000E-4	-7.425153356E-2
7.708333333E-4	-7.593005158E-2
7.916666667E-4	-8.096560564E-2
8.125000000E-4	-8.450575274E-2
8.333333333E-4	-8.618427076E-2
8.541666667E-4	-8.505508591E-2
8.750000000E-4	-7.846308786E-2
8.958333333E-4	-7.193212683E-2
9.166666667E-4	-7.129123814E-2
9.375000000E-4	-7.046723838E-2
9.583333333E-4	-6.921597949E-2
9.791666667E-4	-7.272560808E-2
1.000000000E-3	-7.763908811E-2
1.020833333E-3	-7.947019868E-2
1.041666667E-3	-7.296975616E-2
1.062500000E-3	-5.951109348E-2
1.083333333E-3	-5.127109592E-2
1.104166667E-3	-4.837183752E-2
1.125000000E-3	-4.162724693E-2
1.145833333E-3	-3.573717460E-2
1.166666667E-3	-2.786339915E-2
1.187500000E-3	-2.069154942E-2
1.208333333E-3	-1.895199438E-2
1.229166667E-3	-1.516769921E-2
1.250000000E-3	-7.629627369E-3
1.270833333E-3	-2.075258644E-3
1.291666667E-3	1.953184606E-3
1.312500000E-3	1.004058962E-2
1.333333333E-3	1.120029298E-2
1.354166667E-3	1.315347758E-2
1.375000000E-3	1.806695761E-2
1.395833333E-3	1.699880978E-2
1.416666667E-3	1.086458937E-2
1.437500000E-3	1.138340403E-2
1.458333333E-3	2.307199316E-2
1.479166667E-3	3.143406476E-2
1.500000000E-3	3.262428663E-2
1.520833333E-3	4.104739525E-2
1.541666667E-3	5.447553941E-2
1.562500000E-3	5.813776055E-2
1.583333333E-3	5.874813074E-2
1.604166667E-3	6.445509201E-2
1.625000000E-3	7.196264534E-2
1.645833333E-3	7.647938475E-2
1.666666667E-3	8.090456862E-2
1.687500000E-3	8.270516068E-2
1.708333333E-3	8.557390057E-2
1.729166667E-3	8.810693686E-2
1.750000000E-3	8.758812220E-2
1.770833333E-3	8.801538133E-2
1.791666667E-3	8.703878903E-2
1.812500000E-3	8.145390179E-2
1.833333333E-3	7.473982971E-2
1.854166667E-3	7.248146001E-2
1.875000000E-3	7.278664510E-2
1.895833333E-3	7.458723716E-2
1.916666667E-3	7.748649556E-2
1.937500000E-3	8.154545732E-2
1.958333333E-3	8.600115970E-2
1.979166667E-3	8.520767846E-2
2.000000000E-3	7.962279122E-2
2.020833333E-3	7.458723716E-2
2.041666667E-3	7.003997925E-2
2.062500000E-3	6.814783166E-2
2.083333333E-3	6.982634968E-2
2.104166667E-3	6.952116459E-2
2.125000000E-3	7.245094150E-2
2.145833333E-3	7.827997681E-2
2.166666667E-3	7.818842128E-2
2.187500000E-3	6.595049898E-2
2.208333333E-3	5.233924375E-2
2.229166667E-3	4.901272622E-2
2.250000000E-3	4.510635701E-2
2.270833333E-3	3.811761834E-2
2.291666667E-3	3.061006500E-2
2.312500000E-3	2.417065950E-2
2.333333333E-3	1.953184606E-2
2.354166667E-3	1.608325449E-2
2.375000000E-3	1.171910764E-2
2.395833333E-3	6.469924009E-3
2.416666667E-3	-2.746665853E-4
2.437500000E-3	-8.697775201E-3
2.458333333E-3	-1.205481124E-2
2.479166667E-3	-9.704886013E-3
2.500000000E-3	-1.373332926E-2
2.520833333E-3	-2.127140110E-2
2.541666667E-3	-1.641895810E-2
2.562500000E-3	-4.974517045E-3
2.583333333E-3	-1.431318094E-2
2.604166667E-3	-3.231910154E-2
2.625000000E-3	-3.244117557E-2
2.645833333E-3	-3.167821284E-2
2.666666667E-3	-4.843287454E-2
2.687500000E-3	-6.158635212E-2
2.708333333E-3	-5.700857570E-2
2.729166667E-3	-5.923642689E-2
2.750000000E-3	-7.095553453E-2
2.770833333E-3	-7.412945952E-2
2.791666667E-3	-7.599108860E-2
2.812500000E-3	-8.291879025E-2
2.833333333E-3	-8.566545610E-2
2.854166667E-3	-8.624530778E-2
2.875000000E-3	-8.810693686E-2
2.895833333E-3	-8.951078829E-2
2.916666667E-3	-8.832056642E-2
2.937500000E-3	-8.413953063E-2
2.958333333E-3	-7.876827296E-2
2.979166667E-3	-7.422101505E-2
3.000000000E-3	-7.232886746E-2
3.020833333E-3	-7.419049654E-2
3.041666667E-3	-7.733390301E-2
3.062500000E-3	-8.020264290E-2
3.083333333E-3	-8.395641957E-2
3.104166667E-3	-8.774071474E-2
3.125000000E-3	-8.523819697E-2
3.145833333E-3	-7.748649556E-2
3.166666667E-3	-7.257301553E-2
3.187500000E-3	-7.168797876E-2
3.208333333E-3	-6.961272011E-2
3.229166667E-3	-6.918546098E-2
3.250000000E-3	-7.327494125E-2
3.270833333E-3	-7.770012513E-2
3.291666667E-3	-7.968382824E-2
3.312500000E-3	-7.394634846E-2
3.333333333E-3	-6.039613025E-2
3.354166667E-3	-5.185094760E-2
3.375000000E-3	-4.852443007E-2
3.395833333E-3	-4.278695029E-2
3.416666667E-3	-3.616443373E-2
3.437500000E-3	-2.920621357E-2
3.458333333E-3	-2.175969726E-2
3.479166667E-3	-1.916562395E-2
3.500000000E-3	-1.580858791E-2
3.520833333E-3	-8.514664144E-3
3.541666667E-3	-3.204443495E-3
3.562500000E-3	2.563554796E-3
3.583333333E-3	8.850367748E-3
3.604166667E-3	1.181066317E-2
3.625000000E-3	1.290932951E-2
3.645833333E-3	1.742606891E-2
3.666666667E-3	1.849421674E-2
3.687500000E-3	1.089510788E-2
3.708333333E-3	9.918515580E-3
3.729166667E-3	2.264473403E-2
3.750000000E-3	3.149510178E-2
3.770833333E-3	2.984710227E-2
3.791666667E-3	3.946043275E-2
3.812500000E-3	5.487228004E-2
3.833333333E-3	5.771050142E-2
3.854166667E-3	5.798516800E-2
3.875000000E-3	6.591998047E-2
3.895833333E-3	7.229834895E-2
3.916666667E-3	7.550279244E-2
3.937500000E-3	8.087405011E-2
3.958333333E-3	8.432264168E-2
3.979166667E-3	8.572649312E-2
4.000000000E-3	8.703878903E-2
4.020833333E-3	8.923612171E-2
4.041666667E-3	8.813745537E-2
4.062500000E-3	8.618427076E-2
4.083333333E-3	8.172856838E-2
4.104166667E-3	7.489242225E-2
4.125000000E-3	7.181005280E-2
4.145833333E-3	7.147434919E-2
4.166666667E-3	7.403790399E-2
4.187500000E-3	7.696768090E-2
4.208333333E-3	8.008056887E-2
4.229166667E-3	8.529923399E-2
