"Time (s)"	"Recording (a.u.)"
0.000000000E0	-4.660176397E-2
2.083333333E-5	-4.556413465E-2
4.166666667E-5	-4.321420942E-2
6.250000000E-5	-4.132206183E-2
8.333333333E-5	-3.903317362E-2
1.041666667E-4	-3.650013733E-2
1.250000000E-4	-3.387554552E-2
1.458333333E-4	-3.118991668E-2
1.666666667E-4	-2.804651021E-2
1.875000000E-4	-2.597125156E-2
2.083333333E-4	-2.276680807E-2
2.291666667E-4	-2.096621601E-2
2.500000000E-4	-1.690725425E-2
2.708333333E-4	-1.403851436E-2
2.916666667E-4	-1.147495956E-2
3.125000000E-4	-8.270516068E-3
3.333333333E-4	-4.638813440E-3
3.541666667E-4	-2.014221625E-3
3.750000000E-4	1.281777398E-3
3.958333333E-4	5.005035554E-3
4.166666667E-4	7.904293954E-3
4.375000000E-4	1.190221870E-2
4.583333333E-4	1.455732902E-2
4.791666667E-4	1.791436506E-2
5.000000000E-4	2.145451216E-2
5.208333333E-4	2.343821528E-2
5.416666667E-4	2.710043641E-2
5.625000000E-4	3.067110202E-2
5.833333333E-4	3.283791620E-2
6.041666667E-4	3.607287820E-2
6.250000000E-4	3.888058107E-2
6.458333333E-4	4.071169164E-2
6.666666667E-4	4.412976470E-2
6.875000000E-4	4.583880123E-2
7.083333333E-4	4.809717093E-2
7.291666667E-4	5.032502213E-2
7.500000000E-4	5.243079928E-2
7.708333333E-4	5.398724326E-2
7.916666667E-4	5.584887234E-2
8.125000000E-4	5.658131657E-2
8.333333333E-4	5.789361248E-2
8.541666667E-4	5.929746391E-2
8.750000000E-4	5.951109348E-2
8.958333333E-4	5.929746391E-2
9.166666667E-4	5.963316752E-2
9.375000000E-4	6.042664876E-2
9.583333333E-4	5.941953795E-2
9.791666667E-4	5.764946440E-2
1.000000000E-3	5.807672353E-2
1.020833333E-3	5.633716849E-2
1.041666667E-3	5.545213172E-2
1.062500000E-3	5.288857692E-2
1.083333333E-3	5.215613269E-2
1.104166667E-3	5.066072573E-2
1.125000000E-3	4.849391156E-2
1.145833333E-3	4.577776421E-2
1.166666667E-3	4.434339427E-2
1.187500000E-3	4.156620991E-2
1.208333333E-3	3.970458083E-2
1.229166667E-3	3.695791498E-2
1.250000000E-3	3.466902676E-2
1.270833333E-3	3.155613880E-2
1.291666667E-3	2.996917631E-2
1.312500000E-3	2.609332560E-2
1.333333333E-3	2.346873379E-2
1.354166667E-3	2.111880856E-2
1.375000000E-3	1.767021699E-2
1.395833333E-3	1.455732902E-2
1.416666667E-3	1.187170019E-2
1.437500000E-3	8.148442030E-3
1.458333333E-3	5.676442763E-3
1.479166667E-3	2.288888211E-3
1.500000000E-3	-1.098666341E-3
1.520833333E-3	-4.242072817E-3
1.541666667E-3	-7.415997803E-3
1.562500000E-3	-1.077303385E-2
1.583333333E-3	-1.376384777E-2
1.604166667E-3	-1.718192083E-2
1.625000000E-3	-2.041688284E-2
1.645833333E-3	-2.270577105E-2
1.666666667E-3	-2.642902921E-2
1.687500000E-3	-2.920621357E-2
1.708333333E-3	-3.222754601E-2
1.729166667E-3	-3.448591571E-2
1.750000000E-3	-3.762932218E-2
1.770833333E-3	-4.025391400E-2
1.791666667E-3	-4.248176519E-2
1.812500000E-3	-4.492324595E-2
1.833333333E-3	-4.779198584E-2
1.854166667E-3	-4.943998535E-2
1.875000000E-3	-5.166783654E-2
1.895833333E-3	-5.346842860E-2
1.916666667E-3	-5.539109470E-2
1.937500000E-3	-5.642872402E-2
1.958333333E-3	-5.777153844E-2
1.979166667E-3	-5.880916776E-2
2.000000000E-3	-5.932798242E-2
2.020833333E-3	-6.030457472E-2
2.041666667E-3	-6.030457472E-2
2.062500000E-3	-5.984679708E-2
2.083333333E-3	-6.042664876E-2
2.104166667E-3	-5.899227882E-2
2.125000000E-3	-5.807672353E-2
2.145833333E-3	-5.774101993E-2
2.166666667E-3	-5.615405744E-2
2.187500000E-3	-5.465865047E-2
2.208333333E-3	-5.371257668E-2
2.229166667E-3	-5.099642933E-2
2.250000000E-3	-4.968413343E-2
2.270833333E-3	-4.721213416E-2
2.291666667E-3	-4.449598682E-2
2.312500000E-3	-4.324472793E-2
2.333333333E-3	-4.083376568E-2
2.354166667E-3	-3.765984069E-2
2.375000000E-3	-3.579821162E-2
2.395833333E-3	-3.286843471E-2
2.416666667E-3	-3.070162053E-2
2.437500000E-3	-2.752769555E-2
2.458333333E-3	-2.502517777E-2
2.479166667E-3	-2.255317850E-2
2.500000000E-3	-1.934873501E-2
2.520833333E-3	-1.718192083E-2
2.541666667E-3	-1.272621845E-2
2.562500000E-3	-9.430219428E-3
2.583333333E-3	-7.629627369E-3
2.604166667E-3	-3.326517533E-3
2.625000000E-3	-1.220740379E-3
2.645833333E-3	2.227851192E-3
2.666666667E-3	5.676442763E-3
2.687500000E-3	8.270516068E-3
2.708333333E-3	1.257362590E-2
2.729166667E-3	1.513718070E-2
2.750000000E-3	1.855525376E-2
2.770833333E-3	2.072206793E-2
2.791666667E-3	2.377391888E-2
2.812500000E-3	2.755821406E-2
2.833333333E-3	2.981658376E-2
2.854166667E-3	3.247169408E-2
2.875000000E-3	3.610339671E-2
2.895833333E-3	3.863643300E-2
2.916666667E-3	4.092532121E-2
2.937500000E-3	4.287850581E-2
2.958333333E-3	4.544206061E-2
2.979166667E-3	4.773094882E-2
3.000000000E-3	4.998931852E-2
3.020833333E-3	5.240028077E-2
3.041666667E-3	5.355998413E-2
3.062500000E-3	5.511642811E-2
3.083333333E-3	5.728324229E-2
3.104166667E-3	5.804620502E-2
3.125000000E-3	5.838190863E-2
3.145833333E-3	5.935850093E-2
3.166666667E-3	5.987731559E-2
3.187500000E-3	5.975524155E-2
3.208333333E-3	5.896176031E-2
3.229166667E-3	5.929746391E-2
3.250000000E-3	5.761894589E-2
3.270833333E-3	5.749687185E-2
3.291666667E-3	5.606250191E-2
3.312500000E-3	5.471968749E-2
3.333333333E-3	5.380413221E-2
3.354166667E-3	5.096591082E-2
3.375000000E-3	4.989776299E-2
3.395833333E-3	4.730368969E-2
3.416666667E-3	4.568620869E-2
