"Frequency (Hz)"	"Absolute Amplitude (a.u.)"
2.343750000E1	5.167439421E-2
4.687500000E1	7.732785791E-2
7.031250000E1	1.475247987E-1
9.375000000E1	1.166406648E-1
1.171875000E2	1.002522105E-1
1.406250000E2	5.719731469E-2
1.640625000E2	6.442922760E-2
1.875000000E2	4.841766363E-2
2.109375000E2	9.217397443E-3
2.343750000E2	3.841523253E-2
2.578125000E2	3.899746753E-2
2.812500000E2	3.689777143E-2
3.046875000E2	2.999350617E-2
3.281250000E2	5.156565916E-2
3.515625000E2	3.276694439E-2
3.750000000E2	4.078369940E-2
3.984375000E2	4.228866318E-2
4.218750000E2	5.825369744E-2
4.453125000E2	3.613860840E-2
4.687500000E2	4.203908234E-2
4.921875000E2	2.355787154E-2
5.156250000E2	6.385485193E-2
5.390625000E2	1.285791955E-2
5.625000000E2	2.453590252E-3
5.859375000E2	4.899096058E-2
6.093750000E2	3.996947937E-2
6.328125000E2	3.873317671E-2
6.562500000E2	1.359735523E-2
6.796875000E2	2.375097679E-2
7.031250000E2	3.509875353E-2
7.265625000E2	4.166229000E-2
7.500000000E2	1.647824673E-2
7.734375000E2	3.380045948E-2
7.968750000E2	4.046523965E-2
8.203125000E2	1.905223361E-2
8.437500000E2	2.390298870E-2
8.671875000E2	1.051308900E-2
8.906250000E2	1.641347916E-2
9.140625000E2	1.897808843E-2
9.375000000E2	3.133170911E-2
9.609375000E2	2.967325923E-2
9.843750000E2	3.230623390E-2
1.007812500E3	2.783846040E-2
1.031250000E3	2.773324793E-2
1.054687500E3	1.871471422E-2
1.078125000E3	9.099305665E-3
1.101562500E3	5.881246629E-2
1.125000000E3	4.002694819E-2
1.148437500E3	2.365922728E-2
1.171875000E3	4.327451478E-2
1.195312500E3	1.232289927E-2
1.218750000E3	3.675357414E-2
1.242187500E3	6.730758132E-3
1.265625000E3	3.432293720E-2
1.289062500E3	3.420680573E-2
1.312500000E3	3.734649672E-2
1.335937500E3	3.944618327E-2
1.359375000E3	2.237088822E-2
1.382812500E3	3.020252966E-2
1.406250000E3	2.919540871E-2
1.429687500E3	3.759127735E-2
1.453125000E3	4.779968187E-2
1.476562500E3	3.357389475E-2
1.500000000E3	3.758111390E-2
1.523437500E3	1.763084610E-2
1.546875000E3	4.057784095E-2
1.570312500E3	3.211450816E-2
1.593750000E3	2.560761929E-2
1.617187500E3	2.868992937E-2
1.640625000E3	2.741027526E-2
1.664062500E3	4.114157610E-2
1.687500000E3	2.174197920E-2
1.710937500E3	4.882895289E-2
1.734375000E3	3.809293100E-2
1.757812500E3	2.851744853E-2
1.781250000E3	3.941137296E-2
1.804687500E3	2.817907268E-2
1.828125000E3	3.094769914E-2
1.851562500E3	1.449506222E-2
1.875000000E3	3.831091523E-2
1.898437500E3	3.408388455E-2
1.921875000E3	3.438483726E-2
1.945312500E3	2.711237585E-2
1.968750000E3	2.758071216E-2
1.992187500E3	3.779733752E-2
2.015625000E3	2.047625779E-2
2.039062500E3	3.715447751E-2
2.062500000E3	2.510420847E-2
2.085937500E3	3.378063104E-2
2.109375000E3	2.393838002E-2
2.132812500E3	2.499426296E-2
2.156250000E3	4.298178573E-2
2.179687500E3	2.287907229E-2
2.203125000E3	3.515605734E-2
2.226562500E3	3.261683523E-2
2.250000000E3	2.533398908E-2
2.273437500E3	3.057947790E-2
2.296875000E3	3.790233335E-2
2.320312500E3	4.101032988E-2
2.343750000E3	3.791624212E-2
2.367187500E3	5.007868316E-2
2.390625000E3	3.817466206E-2
2.414062500E3	2.735912199E-2
2.437500000E3	3.437315903E-2
2.460937500E3	3.573864620E-2
2.484375000E3	2.038008502E-2
2.507812500E3	3.120113821E-2
2.531250000E3	3.438316785E-2
2.554687500E3	4.607340301E-2
2.578125000E3	5.196893999E-2
2.601562500E3	1.996677069E-2
2.625000000E3	3.911775058E-2
2.648437500E3	3.351383395E-2
2.671875000E3	4.555143621E-2
2.695312500E3	3.200698472E-2
2.718750000E3	3.362904999E-2
2.742187500E3	4.693645116E-2
2.765625000E3	3.931332939E-2
2.789062500E3	4.958909062E-2
2.812500000E3	3.167749573E-2
2.835937500E3	3.244512317E-2
2.859375000E3	4.096152357E-2
2.882812500E3	4.187755003E-2
2.906250000E3	4.134217186E-2
2.929687500E3	4.359328355E-2
2.953125000E3	5.395902862E-2
2.976562500E3	4.291196642E-2
3.000000000E3	4.385633857E-2
3.023437500E3	4.099877845E-2
3.046875000E3	4.986017195E-2
3.070312500E3	5.580158394E-2
3.093750000E3	4.539940542E-2
3.117187500E3	4.825947881E-2
3.140625000E3	3.783640665E-2
3.164062500E3	5.467628510E-2
3.187500000E3	4.475992089E-2
3.210937500E3	3.842484117E-2
3.234375000E3	4.076129836E-2
3.257812500E3	6.060877835E-2
3.281250000E3	5.472972913E-2
3.304687500E3	3.973159458E-2
3.328125000E3	6.031767583E-2
3.351562500E3	4.312314832E-2
3.375000000E3	5.643112618E-2
3.398437500E3	5.655605343E-2
3.421875000E3	4.250659761E-2
3.445312500E3	6.062175354E-2
3.468750000E3	4.953936836E-2
3.492187500E3	6.108798282E-2
3.515625000E3	4.000645230E-2
3.539062500E3	4.638634929E-2
3.562500000E3	6.294556906E-2
3.585937500E3	5.893347246E-2
3.609375000E3	4.988614429E-2
3.632812500E3	5.817738622E-2
3.656250000E3	5.626497246E-2
3.679687500E3	6.233853856E-2
3.703125000E3	6.673643760E-2
3.726562500E3	5.569451967E-2
3.750000000E3	6.743034956E-2
3.773437500E3	6.203716786E-2
3.796875000E3	7.937299381E-2
3.820312500E3	7.971723424E-2
3.843750000E3	8.942951185E-2
3.867187500E3	6.623272046E-2
3.890625000E3	5.424450901E-2
3.914062500E3	7.142360786E-2
3.937500000E3	8.561632819E-2
3.960937500E3	7.391820020E-2
3.984375000E3	8.298531109E-2
4.007812500E3	7.479205810E-2
4.031250000E3	8.360590913E-2
4.054687500E3	8.292030389E-2
4.078125000E3	9.448038240E-2
4.101562500E3	1.014218935E-1
4.125000000E3	1.048306768E-1
4.148437500E3	1.028616323E-1
4.171875000E3	1.137164004E-1
4.195312500E3	8.890851552E-2
4.218750000E3	1.129765100E-1
4.242187500E3	7.470273775E-2
4.265625000E3	9.768136810E-2
4.289062500E3	1.271381530E-1
4.312500000E3	1.142247373E-1
4.335937500E3	1.129521542E-1
4.359375000E3	1.306986943E-1
4.382812500E3	1.234463604E-1
4.406250000E3	1.237800894E-1
4.429687500E3	1.338614488E-1
4.453125000E3	1.416255025E-1
4.476562500E3	1.589415930E-1
4.500000000E3	1.547779637E-1
4.523437500E3	1.610418960E-1
4.546875000E3	1.749558150E-1
4.570312500E3	2.091698657E-1
4.593750000E3	1.931813452E-1
4.617187500E3	2.088040651E-1
4.640625000E3	2.151037025E-1
4.664062500E3	2.349519455E-1
4.687500000E3	2.661143331E-1
4.710937500E3	2.974686826E-1
4.734375000E3	2.923143383E-1
4.757812500E3	3.305703408E-1
4.781250000E3	3.690814621E-1
4.804687500E3	3.909703406E-1
4.828125000E3	4.823645744E-1
4.851562500E3	5.400615863E-1
4.875000000E3	6.121589858E-1
4.898437500E3	7.593434514E-1
4.921875000E3	1.021276763E0
4.945312500E3	1.405001560E0
4.968750000E3	2.478665304E0
4.992187500E3	9.942749817E0
5.015625000E3	5.114337296E0
5.039062500E3	2.039501284E0
5.062500000E3	1.267771023E0
5.085937500E3	9.086945597E-1
5.109375000E3	7.038381729E-1
5.132812500E3	6.060115737E-1
5.156250000E3	4.882678856E-1
5.179687500E3	4.524738228E-1
5.203125000E3	3.978528355E-1
5.226562500E3	3.550584453E-1
5.250000000E3	3.233536227E-1
5.273437500E3	3.003357181E-1
5.296875000E3	2.819752236E-1
5.320312500E3	2.257133272E-1
5.343750000E3	2.651647071E-1
5.367187500E3	1.888035056E-1
5.390625000E3	1.995631334E-1
5.414062500E3	1.879201548E-1
5.437500000E3	1.770843486E-1
5.460937500E3	1.689684019E-1
5.484375000E3	1.664861649E-1
5.507812500E3	1.595149042E-1
5.531250000E3	1.451658040E-1
5.554687500E3	1.359276563E-1
5.578125000E3	1.314024540E-1
5.601562500E3	1.414525674E-1
5.625000000E3	1.223450362E-1
5.648437500E3	1.245055655E-1
5.671875000E3	1.082935541E-1
5.695312500E3	1.207437410E-1
5.718750000E3	1.082818404E-1
5.742187500E3	1.057923160E-1
5.765625000E3	1.040394095E-1
5.789062500E3	1.010208337E-1
5.812500000E3	1.043754049E-1
5.835937500E3	1.048774402E-1
5.859375000E3	8.928239836E-2
5.882812500E3	8.962037981E-2
5.906250000E3	9.657700712E-2
5.929687500E3	7.694395565E-2
5.953125000E3	8.184369307E-2
5.976562500E3	7.114511090E-2
6.000000000E3	7.649999663E-2
6.023437500E3	8.018883249E-2
6.046875000E3	7.145552935E-2
6.070312500E3	6.558038630E-2
6.093750000E3	6.690487066E-2
6.117187500E3	6.627608446E-2
6.140625000E3	6.441899666E-2
6.164062500E3	6.665059401E-2
6.187500000E3	6.877061064E-2
6.210937500E3	6.568387343E-2
6.234375000E3	5.294485484E-2
6.257812500E3	6.532892083E-2
6.281250000E3	6.032780958E-2
6.304687500E3	6.844658321E-2
6.328125000E3	6.099088789E-2
6.351562500E3	5.532084983E-2
6.375000000E3	4.707593417E-2
6.398437500E3	7.122780432E-2
6.421875000E3	5.075030945E-2
6.445312500E3	5.195341367E-2
6.468750000E3	4.533242478E-2
6.492187500E3	5.372956328E-2
6.515625000E3	4.751901292E-2
6.539062500E3	5.568516853E-2
6.562500000E3	3.878972086E-2
6.585937500E3	4.791731739E-2
6.609375000E3	3.851385417E-2
6.632812500E3	4.526454176E-2
6.656250000E3	2.427042194E-2
6.679687500E3	5.008143390E-2
6.703125000E3	4.125134950E-2
6.726562500E3	4.435961995E-2
6.750000000E3	4.509938386E-2
6.773437500E3	4.393333102E-2
